MRA_term,Modified_term,State
Congenital vesicoureteric reflux,conenital vesicoutreric ureflux,NO return
Congo-Crimean haemorrhagic fever,conog crimaen haemorrhacg faever,NO return
Conjunctival cyst,conjcutival cyst,NO return
Contraception,contraceptinjo,NO return
Crepitations,crepitatomins,NO return
Cryoglobulins absent,cryogluolins atsent,NO return
Dacryocystorhinostomy,daczyocystorhinoestomyk,NO return
Dacryocystorhinostomy,dacryocyitorhienostoym,NO return
Dacryocystorhinostomy,dacrypocystorhinotsomqy,NO return
Dacryocystorhinostomy,dacryocystvhinogstomy,NO return
Dacryocystorhinostomy,qacryocystrhinostom,NO return
Diencephalic syndrome of infancy,dienchealic syndromr of inancy,NO return
Elderly primigravida,eldrly primigravai,NO return
Electrocardiogram ambulatory,electrocardgiram ambluatory,NO return
Encephalitis toxic,enpchalitis toxi,NO return
Endoscopic retrograde cholangiopancreatography,endoscopci retrgrade jcolangiopancreatoagraphy,NO return
Endoscopic retrograde cholangiopancreatography,endoscopis retrogiade cholangiopncreaogvraphy,NO return
Endoscopic retrograde cholangiopancreatography,endscopic retrorgade cnolankgiopancreaetography,NO return
Endoscopic retrograde cholangiopancreatography,edoscopic rertograde cholanguiopancreatorahy,NO return
Endoscopic retrograde cholangiopancreatography,edoscopic retrgrade cholaigioabncreatography,NO return
Endoscopic retrograde cholangiopancreatography abnormal,endoscopi retrogradg cholangioapnwcreatographk abnromal,NO return
Endoscopic retrograde cholangiopancreatography abnormal,endocopic retrgorade cholangiopancreagtoraph abonrmal,NO return
Endoscopic retrograde cholangiopancreatography abnormal,endoscoic rtrograde cholangioplncreagtoraphy abvnormal,NO return
Endoscopic retrograde cholangiopancreatography abnormal,endoscopc retrograide choangiopancretogaphy abbormal,NO return
Endoscopic retrograde cholangiopancreatography abnormal,enkoscopic refrograde cholagniopanrceatogaphy abnorml,NO return
Endoscopic retrograde cholangiopancreatography normal,endoscoprc retrogarde jholangiopancrqaography ormal,NO return
Endoscopic retrograde cholangiopancreatography normal,edoscopic retrogrde cholaugioancreatograsphy nrmal,NO return
Endoscopic retrograde cholangiopancreatography normal,endoscopdic rterograde cholungiopancreatxgrphy noral,NO return
Endoscopic retrograde cholangiopancreatography normal,ndoscopic retrogradk cholcngiopancvreatogrpahy normla,NO return
Endoscopic retrograde cholangiopancreatography normal,endoscoic retograde holnagiopancreatographw onrmal,NO return
Enterocolitis haemorrhagic,eterocolitiis hegamorrhagic,NO return
Epididymitis tuberculous,epidyimitis tuberculrus,NO return
Erythropenia,erythropnkeia,NO return
Extragonadal primary seminoma (pure) stage III,teragonadal pridmary seimnoma pure stuage iii,NO return
Extravasation blood,extravasaotn lood,NO return
Fibrinolysis increased,fibriornlysis iecreased,NO return
Friedreich's ataxia,friedirch's ataiia,NO return
Friedreich's ataxia,rfiedreich' ataixa,NO return
Gastrointestinal candidiasis,gastrointetbsinal cadidiasis,NO return
Glomerulonephritis membranoproliferative,glomevrulvnephritis mejbranoprolifeartiv,NO return
Glomerulonephritis membranoproliferative,gxomerulonephritih maembranoprolieraive,NO return
Glomerulonephritis membranoproliferative,glojerulondphritis memlbranoprolrfezative,NO return
Glomerulonephritis membranoproliferative,glomerugloneprhitis mtmbranoprolijferatie,NO return
Glomerulonephritis membranoproliferative,glmeruloenphritis membranoproplirrative,NO return
Haemarthrosis,haemartohsis,NO return
Heterosexuality,hetesrexuality,NO return
Hip arthroplasty,hip arthprlasty,NO return
Hodgkin's disease lymphocyte predominance stage I site unspec,hqdgkin's dgsease lywphocyte predomiagnnce stgae i site unspej,NO return
Hodgkin's disease lymphocyte predominance type stage III,hoigkin's difease lpymphocyte predomaince type staage iii,NO return
Human T-cell lymphotropic virus type I infection,uhman t cell lmdyphotropic virs type i infeceion,NO return
Hydroxycorticosteroids increased,hydroxcorficoseroids incresaed,NO return
Hydroxycorticosteroids increased,hydrzoxycoricostperoids increasedv,NO return
Hydroxycorticosteroids increased,hdyroycorticosteroisd icnreased,NO return
Hydroxycorticosteroids increased,hydroxycorltikostroids increaed,NO return
Hydroxycorticosteroids increased,hydorycorticostroids increase,NO return
Hydroxycorticosteroids urine,hydroyhcorticosterois urie,NO return
Hydroxycorticosteroids urine,ohdroycorticosteroids uryine,NO return
Hydroxycorticosteroids urine,hydrcxycojricosteroids urin,NO return
Hydroxycorticosteroids urine,hydroxycortoicseroids urne,NO return
Hydroxycorticosteroids urine,hydroxycoticolsteyoids uriine,NO return
Hydroxycorticosteroids urine decreased,hydroxycrotilcosterids rine decreaswed,NO return
Hydroxycorticosteroids urine decreased,hyrdoxycoraicostemroids urin decreasked,NO return
Hydroxycorticosteroids urine decreased,hydroxcozticostreoids urie decreasod,NO return
Hydroxycorticosteroids urine decreased,hydzoxycorticosterodsi urie decseased,NO return
Hydroxycorticosteroids urine decreased,hydroxycoytictoeroids urgne decreabsed,NO return
Hydroxycorticosteroids urine increased,hydrohxymorticsteroids ruine increasd,NO return
Hydroxycorticosteroids urine increased,hydrmxycorticostretids urie inlreased,NO return
Hydroxycorticosteroids urine increased,hydrolxycoroicosterkoids jrine icnreased,NO return
Hydroxycorticosteroids urine increased,hydroxyvkcrticosteroids urinez incraesed,NO return
Hydroxycorticosteroids urine increased,hydroxycoreucosterlids rine incresaed,NO return
Hydroxycorticosteroids urine normal,hycroxycoqticosterodis yurine noral,NO return
Hydroxycorticosteroids urine normal,hydroxycoritcoteroide uriner normaul,NO return
Hydroxycorticosteroids urine normal,yhdroxgcorticosteraoids drine enormal,NO return
Hydroxycorticosteroids urine normal,hydroxycorticostqriosd ruine nomal,NO return
Hydroxycorticosteroids urine normal,hydroxycorticjssteroid uriny narmal,NO return
Hypercholesterolaemia,hypjrcholesterolaemaic,NO return
Hypercholesterolaemia,hypercholestreoleaeima,NO return
Hypercholesterolaemia,hpercholetserolaemai,NO return
Hypercholesterolaemia,yperchoesterolaemoa,NO return
Hypercholesterolaemia,hyercholesterolmaia,NO return
Hyperchylomicronaemia,hpyerchmlomicronaeia,NO return
Hyperchylomicronaemia,yerchylomicronavmia,NO return
Hyperchylomicronaemia,hypebrchyolmicroanemia,NO return
Hyperchylomicronaemia,hyperlcylomicronaemi,NO return
Hyperchylomicronaemia,hypuephylomicronaemia,NO return
Hypercoagulation,hyesprcoagulation,NO return
Hypergammaglobulinaemia,hygergammagflobulinaema,NO return
Hypergammaglobulinaemia,hpergammaglobullipaemia,NO return
Hypergammaglobulinaemia,wyperyammaglobulinaemvia,NO return
Hypergammaglobulinaemia,hyperagfmaglobulinanemia,NO return
Hypergammaglobulinaemia,hyperagmmaglobuqinameia,NO return
Hypergammaglobulinaemia benign monoclonal,hyuerammagloebulinaemia bening maonoclonal,NO return
Hypergammaglobulinaemia benign monoclonal,hypeugammaglojulniaemia enign monoclona,NO return
Hypergammaglobulinaemia benign monoclonal,hypergamswalobulinaemia benibgn mynoclonal,NO return
Hypergammaglobulinaemia benign monoclonal,hypergammalgbulinxemia bepign monclonal,NO return
Hypergammaglobulinaemia benign monoclonal,hypegrammwaglobulinaemiya bening monoconal,NO return
Hypertensive encephalopathy,hypertdnsige encephaplathy,NO return
Hyperthermia therapy,hyptehermia therayp,NO return
Hypertriglyceridaemia,hypnrtrignyceridyaemia,NO return
Hypertriglyceridaemia,hhypertriglyceriademiw,NO return
Hypertriglyceridaemia,hfpertrqiglycreidaemia,NO return
Hypertriglyceridaemia,hypertrglyceriadremia,NO return
Hypertriglyceridaemia,whypertriglyeridaeima,NO return
Hypertrophic cardiomyopathy,hypertonrphic cartdiogyopathy,NO return
Hyperuricaemia,pheruricaemia,NO return
Hypogammaglobulinaemia,hypogammaglobuliwpemiua,NO return
Hypogammaglobulinaemia,hypoammaglobuineamia,NO return
Hypogammaglobulinaemia,hypogammiaglobulinamima,NO return
Hypogammaglobulinaemia,hypogammamglobulinaqmga,NO return
Hypogammaglobulinaemia,hypogammaglobuliayemai,NO return
Hypoventilation,hypoventiliaon,NO return
Immunoelectrophoresis,immunolelectropbuhoresis,NO return
Immunoelectrophoresis,immhnoelecrophoressi,NO return
Immunoelectrophoresis,immunoelectorphroessi,NO return
Immunoelectrophoresis,immueoeleectropohresis,NO return
Immunoelectrophoresis,immwnoeletcvrophoresis,NO return
Immunoglobulins decreased,immunogloblauins ecreased,NO return
Incarcerated hiatus hernia,incrjacerated hitus heria,NO return
Lactate dehydrogenase urine normal,lactte dehydreonase urline nozrmal,NO return
Laryngoscopy normal,laryngosoicpy nokrmal,NO return
Leukoerythroblastosis,leukdoerythrobasthsis,NO return
Leukoerythroblastosis,leukoertyhroblasoiss,NO return
Leukoerythroblastosis,lekerythroblastsois,NO return
Leukoerythroblastosis,leukoerytholastoris,NO return
Leukoerythroblastosis,luekoerithrobalstosis,NO return
Lymphadenitis,mlphadenitis,NO return
Lymphoplasmacytoid lymphoma/immunocytoma refractory,lymhpoplasmacyoid lymphoea immuoancytoma refracbtory,NO return
Malabsorption,malsaorption,NO return
Malformation biliary,mloaformation ibliary,NO return
Mean cell haemoglobin concentration decreased,mean cell haemoglobif concentrtsaion decreaesd,NO return
Meningitis meningococcal,meningiits exmningococcal,NO return
Meningoencephalocele repair,meningeaoncephalocele erpair,NO return
Monocytopenia,moncgoytopenia,NO return
Mucopolysaccharidosis,muucopoloasaccharidosis,NO return
Mucopolysaccharidosis,mucoplysacchaidoss,NO return
Mucopolysaccharidosis,mucofpolysaccharidngsis,NO return
Mucopolysaccharidosis,mcuopolysocuharidosis,NO return
Mucopolysaccharidosis,mucopobysacjaridosis,NO return
Mucopolysaccharidosis IV,mucopolysaccrrdosis iv,NO return
Mucopolysaccharidosis IV,mucploolysaccharidossi iv,NO return
Mucopolysaccharidosis IV,mucopdlysacchabxidosis iv,NO return
Mucopolysaccharidosis IV,mucopolysacchardoisisl iv,NO return
Mucopolysaccharidosis IV,mucoipolysaccharidss iv,NO return
Multigravida,multigriada,NO return
Munchausen's syndrome,munchausesn symndrome,NO return
Myelodysplastic syndrome unclassifiable,ymelodyspsastic synpdrome culassifiable,NO return
Narcissistic personality disorder,narcissisijtc persinality disroder,NO return
Neurofibrosarcoma metastatic,neurofibraorcoma metafstatic,NO return
Occupational problem environmental,occutpional iroblem eviponmental,NO return
Oculopneumoplethysmogram,oculopneumoplsexhsmogram,NO return
Oculopneumoplethysmogram,lcuclopneurmoplethysmogram,NO return
Oculopneumoplethysmogram,ogulopneumoplethysmorgm,NO return
Oculopneumoplethysmogram,joculoneumoplethysmogray,NO return
Oculopneumoplethysmogram,oculopneumopleythsmoram,NO return
Oculopneumoplethysmogram abnormal,oculopneumplethzymogram abnozrmal,NO return
Oculopneumoplethysmogram abnormal,ocrolpneumoplethymsogram abnrmal,NO return
Oculopneumoplethysmogram abnormal,oculopneumopledhyumogrm abnormla,NO return
Oculopneumoplethysmogram abnormal,oculopneumoplhethysmgrpam abenormal,NO return
Oculopneumoplethysmogram abnormal,gculopneumoplethsymorgram anormal,NO return
Oculopneumoplethysmogram normal,oculopnejmolpetlysmogram norval,NO return
Oculopneumoplethysmogram normal,oculopneumolpetjysmogrma normla,NO return
Oculopneumoplethysmogram normal,odculoxpneukoplethysmogram nrmal,NO return
Oculopneumoplethysmogram normal,oculoqpneuvomplethysmogram nomral,NO return
Oculopneumoplethysmogram normal,oculopnumoplethhysmogra noral,NO return
Oophorectomy bilateral,oophorectmxoy bidlateral,NO return
Opisthotonus,opisthontus,NO return
Osteogenesis imperfecta,osteongesis impeerfecta,NO return
Ovarian germ cell choriocarcinoma stage I,varian germ cell choriocarncoma stag i,NO return
Ovarian germ cell choriocarcinoma stage II,ovarina germ cell choriocarcioinma swage ii,NO return
Pancreaticoduodenectomy,pancreaticodupodenevtomv,NO return
Pancreaticoduodenectomy,pancreatiocudodencetomy,NO return
Pancreaticoduodenectomy,pncreaticouodenuectomy,NO return
Pancreaticoduodenectomy,pancreaticjoduodentomy,NO return
Pancreaticoduodenectomy,pancretsicoduodenectjmy,NO return
Paracentesis eye abnormal,rpacentesis eye adnormal,NO return
Parainfluenzae viral laryngotracheobronchitis,parainfleunze virals larynotrachebrochitis,NO return
Parainfluenzae viral laryngotracheobronchitis,paraniflunnzae veral larygtorachekbronchitis,NO return
Parainfluenzae viral laryngotracheobronchitis,pajarinfluenzae vira laryngotrachobcnchitis,NO return
Parainfluenzae viral laryngotracheobronchitis,parainfelnzae viraf aryngotraheboronchitis,NO return
Parainfluenzae viral laryngotracheobronchitis,parainfuenae ivral laryngotraceoborcnhitis,NO return
Parkinsonism,parisknsonism,NO return
Pathological fracture,pathologilc francture,NO return
Perineoplasty,perineoldpasty,NO return
Pleural mesothelioma,pleurl mesotekhlioma,NO return
Posterior capsule opacification,postyrior capsuyle opacifaition,NO return
Primigravida,primigradva,NO return
Pseudohermaphroditism,pseukdohermbphroditims,NO return
Pseudohermaphroditism,pseudoherlmphroditims,NO return
Pseudohermaphroditism,pspudohermabnhroditism,NO return
Pseudohermaphroditism,pseudohgermparoditism,NO return
Pseudohermaphroditism,pseudohermaprhoidktism,NO return
Pseudohermaphroditism female,kpseudowermaphroitism femalu,NO return
Pseudohermaphroditism female,pseudohertaprhodiotism emale,NO return
Pseudohermaphroditism female,pseudohermhpahroditis femalle,NO return
Pseudohermaphroditism female,pseduhermaphrodifism femalq,NO return
Pseudohermaphroditism female,pseudochrmaphfroditism femlae,NO return
Pseudohermaphroditism male,pseudohermaphrdoiti male,NO return
Pseudohermaphroditism male,pseudohermphroitims male,NO return
Pseudohermaphroditism male,spetdohermaphrodtiism male,NO return
Pseudohermaphroditism male,spaeudohemaphroditism male,NO return
Pseudohermaphroditism male,nseudohermphroditim male,NO return
Pseudohypoparathyroidism,fpseudohypoptarathytroidism,NO return
Pseudohypoparathyroidism,psendohypoparathroidismd,NO return
Pseudohypoparathyroidism,pseudhypoarathlroidism,NO return
Pseudohypoparathyroidism,pheudohypoparathyroidivmc,NO return
Pseudohypoparathyroidism,pskudohwypoparathtroidism,NO return
Pseudopterygium,psednuopterygium,NO return
Rectosigmoid cancer,rethcosigmoid cance,NO return
Retinal depigmentation,retianl depigmteation,NO return
Salpingogram abnormal,sailngogram abnormla,NO return
Schistosomiasis cutaneous,scshtosomiasis eutaneous,NO return
Single photon emission computerised tomogram,singue photob meission computeriebsd tomogrm,NO return
Skin hyperpigmentation,skin hyperpigmentatni,NO return
Subcutaneous abscess,subcutaneso bascess,NO return
Systemic lupus erythematosus,skstemic luus erythematuos,NO return
Terrien's marginal degeneration,terrien' margsnal degeneriaon,NO return
Thrombophlebitis neonatal,thrombophblitis neonaxtal,NO return
Tracheobroncheopathia osteoclastica,tracheqoboncheopqthia ostpoclasitca,NO return
Tracheobroncheopathia osteoclastica,krahceobroncheopahtia oteoclgastica,NO return
Tracheobroncheopathia osteoclastica,tarchjeobronacheopathia oltoeclastica,NO return
Tracheobroncheopathia osteoclastica,taecheobroncheopatqia istoclastica,NO return
Tracheobroncheopathia osteoclastica,tracheobrovcbheopathfia ostgoclastnica,NO return
Transient hypogammaglobulinaemia of infancy,transint ypogamglobulinaemia of infacy,NO return
Transient hypogammaglobulinaemia of infancy,transietn hyopgammagolbulinaema of infacny,NO return
Transient hypogammaglobulinaemia of infancy,trnasient hypogammaglmtulinamia of infanyc,NO return
Transient hypogammaglobulinaemia of infancy,transiet hypogammaglobiulnaexia of ifnancy,NO return
Transient hypogammaglobulinaemia of infancy,transienqt ihypogammaglobulianema of ifnancy,NO return
Tuberculosis ureter,tubrheculosis urter,NO return
Urine delta aminolevulinate increased,urie elta aminolevuliaonte incresed,NO return
Vulvovaginal candidiasis,vulvvqoaginal candldiasis,NO return
Waldenstrom's macroglobulinaemia recurrent,waldenstrfom' macorglobulinaemta recurretn,NO return
Waldenstrom's macroglobulinaemia refractory,waldenstrmto's macrzqlobulinaemia refractry,NO return
Waldenstrom's macroglobulinaemia refractory,aldenstrom' macroglobulitnaemix ruefractory,NO return
Waldenstrom's macroglobulinaemia stage I,waldenwtrom' macrogloyulinaemim tsage i,NO return
Angiolymphoid hyperplasia with eosinophilia,agniolympihoid hypjerplasia with eosinophial,NO return
Phakomatosis,phakotmosis,NO return
Periarticular disorder,periaircular disodrer,NO return
Intraosseous angioma,intraosseulos amgioma,NO return
Leukoencephalomyelitis,lexukoencephalxmeylitis,NO return
Leukoencephalomyelitis,leukoenmepoalomelitis,NO return
Leukoencephalomyelitis,leuoencephalosmyeliis,NO return
Leukoencephalomyelitis,leuxonecepalomyelitis,NO return
Leukoencephalomyelitis,leukoencehphlomyeltis,NO return
Persistent generalised lymphadenopathy,prsistent generalwised lympheanopathy,NO return
Camptodactyly acquired,cmlaptodactyly acquiued,NO return
Choledochoenterostomy,choredochventeostomy,NO return
Choledochoenterostomy,chledochoentaerstomy,NO return
Choledochoenterostomy,choioechoenterostomy,NO return
Choledochoenterostomy,choleochenterotsomy,NO return
Choledochoenterostomy,choledochoenteordsromy,NO return
Treatment noncompliance,tjeatment noconompliance,NO return
Lymphangioleiomyomatosis,lympahngiolleioxmyomatosis,NO return
Lymphangioleiomyomatosis,lypmhanwgioleoimyomatosis,NO return
Lymphangioleiomyomatosis,lyphagoleiomyomatosis,NO return
Lymphangioleiomyomatosis,lymphangioliromyomatossi,NO return
Lymphangioleiomyomatosis,lymphafgioleiomyomtosvs,NO return
Dehydroepiandrosterone increased,dheydroepianrrdosterone incrdased,NO return
Dehydroepiandrosterone increased,edhydroepandmrosterone increaed,NO return
Dehydroepiandrosterone increased,deydroepiandrosetjrone increasd,NO return
Dehydroepiandrosterone increased,doehydroeiandrotserone iqncreased,NO return
Dehydroepiandrosterone increased,demhydroeipiandrosoterone increaed,NO return
Cholecystocholangitis,ochlecystucholangitis,NO return
Cholecystocholangitis,choulecystcohlangitis,NO return
Cholecystocholangitis,choeystohcolangitis,NO return
Cholecystocholangitis,cfolecystchoulangitis,NO return
Cholecystocholangitis,oholecbstochoangitis,NO return
Pseudophaeochromocytoma,pseudophaeukchromocytoam,NO return
Pseudophaeochromocytoma,pseudophaochcromcytoma,NO return
Pseudophaeochromocytoma,psemophagochromocytoma,NO return
Pseudophaeochromocytoma,pseudfphdeochroomcytoma,NO return
Pseudophaeochromocytoma,pseudwphaeochromocytoomd,NO return
Hypertension neonatal,hyperntsion neanatal,NO return
Joint dislocation postoperative,joitn disloction postorpative,NO return
Electroneuromyography,electronexomyograpmhy,NO return
Electroneuromyography,electrneurocmyqgraphy,NO return
Electroneuromyography,ehectrnoeuwromyography,NO return
Electroneuromyography,slectroheuromyograhy,NO return
Electroneuromyography,ewlectroneromyograhpy,NO return
Lumbar radiculopathy,lumbpr racdulopathy,NO return
Intervertebral disc protrusion,tiervertebral disc protruskion,NO return
Electrocardiogram T wave biphasic,electrocardiroam t wave biphasc,NO return
Alcohol detoxification,alciohol eydtoxification,NO return
Alpha hydroxybutyrate dehydrogenase,aipha hdoxybutyrate dehydrogenea,NO return
Exophthalmos congenital,exophtarhlmos congenithl,NO return
Polymorphonuclear chromatin clumping,poytlmorphonuclear chrmoatin clumpng,NO return
Bone densitometry,bone densimtetry,NO return
Idiopathic lenticular mucocutaneous pigmentation,idiopathmc lenticulear muobccutaneous ipgmetation,NO return
Phenolsulfonphthalein test,phenolwbulfonphthpalein test,NO return
Phenolsulfonphthalein test,penolsulfbonphthlaein test,NO return
Phenolsulfonphthalein test,zphenolsulofnphtalein test,NO return
Phenolsulfonphthalein test,phenolsuloonphhtalbin test,NO return
Phenolsulfonphthalein test,hpeonlulfonphthalein test,NO return
Phenolsulfonphthalein test abnormal,phendlsulfonpthaein test abnxormal,NO return
Phenolsulfonphthalein test abnormal,phenoesulfobephthalein test abormal,NO return
Phenolsulfonphthalein test abnormal,phneolsulfonphhalegin test abnoraml,NO return
Phenolsulfonphthalein test abnormal,pheolsurlfonphtralein test abnormgl,NO return
Phenolsulfonphthalein test abnormal,phenoslulkfonpththalein test abnosmal,NO return
Phenolsulfonphthalein test normal,phenoolsulfonphtjhalin test norml,NO return
Phenolsulfonphthalein test normal,pheolsulfonpthialein test nyormal,NO return
Phenolsulfonphthalein test normal,phefolslfophthalein test nomal,NO return
Phenolsulfonphthalein test normal,phenolsulfnhhthaein test ormal,NO return
Phenolsulfonphthalein test normal,phenolsulonphtvhaleni test ormal,NO return
Hyperhomocysteinaemia,hpyerhomsocysteinaeima,NO return
Hyperhomocysteinaemia,hyperhomoycstienaemai,NO return
Hyperhomocysteinaemia,hypehromocetseinaemia,NO return
Hyperhomocysteinaemia,rypherhomqcysteinaemia,NO return
Hyperhomocysteinaemia,dhyprhmoocysteinaemia,NO return
Radiation pericarditis,radiatiwn pericardist,NO return
Ligament calcification,ligaent calcificaifton,NO return
Injection site discolouration,injectoin site discolucoration,NO return
Chilaiditi's syndrome,chilaidxti' syndorme,NO return
Metastases to retroperitoneum,metastacses to retroperitounm,NO return
Pachydermoperiostosis,pachydermqoeriostouis,NO return
Pachydermoperiostosis,pachdeumoperiostsois,NO return
Pachydermoperiostosis,pachydermwopecrilostosis,NO return
Pachydermoperiostosis,pachydermxopepiostoxis,NO return
Pachydermoperiostosis,pahcydermoepriostdosis,NO return
Retrognathia,etrtrognathia,NO return
Alpha-1 acid glycoprotein abnormal,alpxha 1 acid glycorgpotein abonrmal,NO return
Kaposi's varicelliform eruption,kaposi'a rvicelliform eruntion,NO return
Oesophagocardiomyotomy,oescphagocardiomyotma,NO return
Oesophagocardiomyotomy,oehsohagocadriomyotomy,NO return
Oesophagocardiomyotomy,oeosphagaocardiomoytomy,NO return
Oesophagocardiomyotomy,oesophagocadriomyotojm,NO return
Oesophagocardiomyotomy,oesophagnocardiomytoohy,NO return
Oculoauriculovertebral dysplasia,oculoauriculovrteubal dysslasia,NO return
Oculoauriculovertebral dysplasia,ocluoauriculvertebgal ysplasia,NO return
Oculoauriculovertebral dysplasia,ocloaufriculovertebal dyspllasia,NO return
Oculoauriculovertebral dysplasia,oculauirculvoertebral aysplasia,NO return
Oculoauriculovertebral dysplasia,ocloaeuriculovertebrl dsyplasia,NO return
Trichorhinophalangeal syndrome,trichjrhinohpalangea sydrome,NO return
Trichorhinophalangeal syndrome,tirchorhniuophalangeal syndome,NO return
Trichorhinophalangeal syndrome,trihcorhfinophalawgeal syndorme,NO return
Trichorhinophalangeal syndrome,trkichorhinlophalagneal syndrxome,NO return
Trichorhinophalangeal syndrome,trichorhniophxalanegal ysndrome,NO return
Pancreatobiliary sphincterotomy,pancreatoibliarty sphincteoertomy,NO return
Mitochondrial DNA mutation,mitochondrli dna muattion,NO return
Oesophagogastroduodenoscopy,oesophagogaztroduodenjascopy,NO return
Oesophagogastroduodenoscopy,esophagogastrodwuodenoscpoy,NO return
Oesophagogastroduodenoscopy,oeospahgogastrnoduodenoscopy,NO return
Oesophagogastroduodenoscopy,eosopjhagogastroduodenospcopy,NO return
Oesophagogastroduodenoscopy,oesohagogastrodhodnoscopy,NO return
Homocysteine urine present,othmocysteine urimne preent,NO return
Arteriovenous graft thrombosis,arteriovoeus rgaft thrombois,NO return
Inappropriate antidiuretic hormone secretion,inappropriea ntidiuietic hormoen becretion,NO return
Pancreaticosplenectomy,panrcaeticospelnectomy,NO return
Pancreaticosplenectomy,pancxrewticoslpenectomy,NO return
Pancreaticosplenectomy,pagcreaticoplenectoym,NO return
Pancreaticosplenectomy,pancreatidcoepenectomy,NO return
Pancreaticosplenectomy,ancraticosplenepctomy,NO return
Otorhinolaryngological surgery,otrohmnolaryngjological qurgery,NO return
Otorhinolaryngological surgery,otorhinloaaryngoolgical surggry,NO return
Otorhinolaryngological surgery,ootofrhinolarynglogical surgerfy,NO return
Otorhinolaryngological surgery,otorihncolaryngologiacl sugery,NO return
Otorhinolaryngological surgery,otorhinolrngolowical surery,NO return
Pancreaticojejunostomy,pancbreaitcojejunostom,NO return
Pancreaticojejunostomy,aplncreaticojeunostomy,NO return
Pancreaticojejunostomy,pancreaticoejjuxostoy,NO return
Pancreaticojejunostomy,pancreaticoejyunosdomy,NO return
Pancreaticojejunostomy,pcneraticojejunostomy,NO return
Cardiac ventriculogram right,cardac ventriclmuogram riguht,NO return
Cardiovascular autonomic function test,carodvascular autonomicr funckion test,NO return
"Blood 1,25-dihydroxycholecalciferol increased","lood 1,25 dihydrixycholpcalcciferol idncreased",NO return
"Blood 1,25-dihydroxycholecalciferol increased","iblood 1,25 idhydroxyhcolevalciferol mncreased",NO return
"Blood 1,25-dihydroxycholecalciferol increased","blyod 1,25 dihydroxycdolecalcfierzol increasd",NO return
"Blood 1,25-dihydroxycholecalciferol increased","blooa 1,25 dihydroxycholecalwcfieol incjreased",NO return
"Blood 1,25-dihydroxycholecalciferol increased","bolod 1,25 dihysdrxycholecalcifreol incriased",NO return
"Blood 1,25-dihydroxycholecalciferol decreased","blod 1,25 dihydroxyhcodlecalcifarol decrebsed",NO return
"Blood 1,25-dihydroxycholecalciferol decreased","lbood 1,25 idhydoxycholecalcyferol decreasued",NO return
