pt_col1,pt_col2
Acral lentiginous melanoma stage I,Acral lentiginous melanoma stage I
Acral lentiginous melanoma stage II,Acral lentiginous melanoma stage II
Acral lentiginous melanoma stage III,Acral lentiginous melanoma stage III
Acral lentiginous melanoma stage IV,Acral lentiginous melanoma stage IV
Acrocephalosyndactyly,Acrocephalosyndactyly
Acrochordon,Acrochordon
Acrodermatitis chronica atrophicans,Acrodermatitis chronica atrophicans
Acrodermatitis enteropathica,Acrodermatitis enteropathica
Acrodynia,Acrodynia
Acromegaly,Acromegaly
Acrophobia,Acrophobia
ACTH-producing pituitary tumour,ACTH-producing pituitary tumour
Actinic keratosis,Actinic keratosis
Actinic prurigo,Actinic prurigo
Actinomycosis,Actinomycosis
Actinomycotic abdominal infection,Actinomycotic abdominal infection
Actinomycotic pulmonary infection,Actinomycotic pulmonary infection
Actinomycotic skin infection,Actinomycotic skin infection
Activated partial thromboplastin time,Activated partial thromboplastin time
Activated partial thromboplastin time abnormal,Activated partial thromboplastin time abnormal
Activated partial thromboplastin time normal,Activated partial thromboplastin time normal
Activated partial thromboplastin time prolonged,Activated partial thromboplastin time prolonged
Activated partial thromboplastin time shortened,Activated partial thromboplastin time shortened
Acupuncture,Acupuncture
Acute abdomen,Acute abdomen
Acute disseminated encephalomyelitis,Acute disseminated encephalomyelitis
Acute erythroid leukaemia,Acute erythroid leukaemia
Acute fatty liver of pregnancy,Acute fatty liver of pregnancy
Acute febrile neutrophilic dermatosis,Acute febrile neutrophilic dermatosis
Acute hepatic failure,Acute hepatic failure
Acute HIV infection,Acute HIV infection
Acute leukaemia,Acute leukaemia
Acute lymphocytic leukaemia,Acute lymphocytic leukaemia
Acute lymphocytic leukaemia (in remission),Acute lymphocytic leukaemia (in remission)
Acute megakaryocytic leukaemia,Acute megakaryocytic leukaemia
Acute monocytic leukaemia,Acute monocytic leukaemia
Acute monocytic leukaemia (in remission),Acute monocytic leukaemia (in remission)
Acute myeloid leukaemia,Acute myeloid leukaemia
Acute myeloid leukaemia (in remission),Acute myeloid leukaemia (in remission)
Acute myelomonocytic leukaemia,Acute myelomonocytic leukaemia
Acute myocardial infarction,Acute myocardial infarction
Acute promyelocytic leukaemia,Acute promyelocytic leukaemia
Acute psychosis,Acute psychosis
Acute pulmonary histoplasmosis,Acute pulmonary histoplasmosis
Acute pulmonary oedema,Acute pulmonary oedema
Acute respiratory distress syndrome,Acute respiratory distress syndrome
Acute respiratory failure,Acute respiratory failure
Acute sinusitis,Acute sinusitis
Acute stress disorder,Acute stress disorder
Adams-Stokes syndrome,Adams-Stokes syndrome
Addison's disease,Addison's disease
Adductor vocal cord weakness,Adductor vocal cord weakness
Adenocarcinoma,Adenocarcinoma
Adenocarcinoma gastric,Adenocarcinoma gastric
Adenocarcinoma of colon,Adenocarcinoma of colon
Adenocarcinoma of the cervix,Adenocarcinoma of the cervix
Adenoidal hypertrophy,Adenoidal hypertrophy
Adenoidectomy,Adenoidectomy
Adenoma benign,Adenoma benign
Adenopathy syphilitic,Adenopathy syphilitic
Adenosquamous carcinoma of the cervix,Adenosquamous carcinoma of the cervix
Adenosquamous cell lung cancer,Adenosquamous cell lung cancer
Adenosquamous cell lung cancer recurrent,Adenosquamous cell lung cancer recurrent
Adenosquamous cell lung cancer stage 0,Adenosquamous cell lung cancer stage 0
Adenosquamous cell lung cancer stage I,Adenosquamous cell lung cancer stage I
Adenosquamous cell lung cancer stage II,Adenosquamous cell lung cancer stage II
Adenosquamous cell lung cancer stage III,Adenosquamous cell lung cancer stage III
Adenosquamous cell lung cancer stage IV,Adenosquamous cell lung cancer stage IV
Adenotonsillectomy,Adenotonsillectomy
Adenoviral conjunctivitis,Adenoviral conjunctivitis
Adenoviral upper respiratory infection,Adenoviral upper respiratory infection
Adiposis dolorosa,Adiposis dolorosa
Adjustment disorder with anxiety,Adjustment disorder with anxiety
Adjustment disorder with depressed mood,Adjustment disorder with depressed mood
Adjustment disorder with disturbance of conduct,Adjustment disorder with disturbance of conduct
Adjustment disorder with mixed anxiety and depressed mood,Adjustment disorder with mixed anxiety and depressed mood
Adjustment disorder with mixed disturbance of emotion and conduct,Adjustment disorder with mixed disturbance of emotion and conduct
Administration site reaction,Administration site reaction
Adolescence,Adolescence
Adoption,Adoption
Adrenal adenoma,Adrenal adenoma
Adrenal atrophy,Adrenal atrophy
Adrenal blockade therapy,Adrenal blockade therapy
Adrenal cortex dysplasia,Adrenal cortex dysplasia
Adrenal cortex necrosis,Adrenal cortex necrosis
Adrenal disorder,Adrenal disorder
Adrenal gland injury,Adrenal gland injury
Adrenal gland tuberculosis,Adrenal gland tuberculosis
Adrenal glomerular zone abnormal,Adrenal glomerular zone abnormal
Adrenal haemorrhage,Adrenal haemorrhage
Adrenal insufficiency,Adrenal insufficiency
Adrenal insufficiency neonatal,Adrenal insufficiency neonatal
Adrenal medulla hyperfunction,Adrenal medulla hyperfunction
Adrenal rest tumour of the testis,Adrenal rest tumour of the testis
Adrenal suppression,Adrenal suppression
Adrenergic syndrome,Adrenergic syndrome
Adrenocortical carcinoma,Adrenocortical carcinoma
Adrenocortical insufficiency acute,Adrenocortical insufficiency acute
Adrenocortical insufficiency neonatal,Adrenocortical insufficiency neonatal
Adrenocortical steroid therapy,Adrenocortical steroid therapy
Adrenolytic syndrome,Adrenolytic syndrome
Adult T-cell lymphoma/leukaemia,Adult T-cell lymphoma/leukaemia
Adult T-cell lymphoma/leukaemia recurrent,Adult T-cell lymphoma/leukaemia recurrent
Adult T-cell lymphoma/leukaemia refractory,Adult T-cell lymphoma/leukaemia refractory
Adult T-cell lymphoma/leukaemia stage I,Adult T-cell lymphoma/leukaemia stage I
Adult T-cell lymphoma/leukaemia stage II,Adult T-cell lymphoma/leukaemia stage II
Adult T-cell lymphoma/leukaemia stage III,Adult T-cell lymphoma/leukaemia stage III
Adult T-cell lymphoma/leukaemia stage IV,Adult T-cell lymphoma/leukaemia stage IV
Advanced sleep phase,Advanced sleep phase
Aesthesioneuroblastoma,Aesthesioneuroblastoma
Affective disorder,Affective disorder
African trypanosomiasis,African trypanosomiasis
Aged parent,Aged parent
Ageusia,Ageusia
Aggression,Aggression
Agitated depression,Agitated depression
Agitation,Agitation
Agitation neonatal,Agitation neonatal
Aglossia,Aglossia
Agoraphobia,Agoraphobia
Agranulocytosis,Agranulocytosis
Agraphia,Agraphia
AIDS related complex,AIDS related complex
Ainhum,Ainhum
Air embolism,Air embolism
Air-borne transmission,Air-borne transmission
Akathisia,Akathisia
Akinesia,Akinesia
Alanine aminotransferase,Alanine aminotransferase
Alanine aminotransferase abnormal,Alanine aminotransferase abnormal
Alanine aminotransferase decreased,Alanine aminotransferase decreased
Alanine aminotransferase increased,Alanine aminotransferase increased
Alanine aminotransferase normal,Alanine aminotransferase normal
Albinism,Albinism
Albumin globulin ratio,Albumin globulin ratio
Albumin globulin ratio abnormal,Albumin globulin ratio abnormal
Albumin globulin ratio decreased,Albumin globulin ratio decreased
Albumin globulin ratio increased,Albumin globulin ratio increased
Albumin globulin ratio normal,Albumin globulin ratio normal
Albumin urine,Albumin urine
Albuminuria,Albuminuria
Albumin urine absent,Albumin urine absent
Albumin urine present,Albumin urine present
Alcohol abuse,Alcohol abuse
Alcohol induced persisting dementia,Alcohol induced persisting dementia
Alcohol interaction,Alcohol interaction
Alcohol intolerance,Alcohol intolerance
Alcohol poisoning,Alcohol poisoning
Alcohol problem,Alcohol problem
Alcoholic,Alcoholic
Alcoholic hangover,Alcoholic hangover
Alcoholic liver disease,Alcoholic liver disease
Alcoholic pseudo Cushing's syndrome,Alcoholic pseudo Cushing's syndrome
Alcoholic psychosis,Alcoholic psychosis
Alcoholic relative,Alcoholic relative
Alcoholism,Alcoholism
Aldolase decreased,Aldolase decreased
Aldolase increased,Aldolase increased
Aldolase normal,Aldolase normal
Aldosterone urine,Aldosterone urine
Aldosterone urine decreased,Aldosterone urine decreased
Aldosterone urine increased,Aldosterone urine increased
Aldosterone urine normal,Aldosterone urine normal
Aleukaemic leukaemia,Aleukaemic leukaemia
Alexia,Alexia
Alice in wonderland syndrome,Alice in wonderland syndrome
Alkalosis,Alkalosis
Alkalosis hypochloraemic,Alkalosis hypochloraemic
Alkalosis hypokalaemic,Alkalosis hypokalaemic
Alkaptonuria,Alkaptonuria
Allergy to animal,Allergy to animal
Allergy to sting,Allergy to sting
Allergy to venom,Allergy to venom
Allescheriosis,Allescheriosis
Allogenic bone marrow transplantation therapy,Allogenic bone marrow transplantation therapy
Alopecia,Alopecia
Alopecia areata,Alopecia areata
Alopecia scarring,Alopecia scarring
Alopecia syphilitic,Alopecia syphilitic
Alopecia totalis,Alopecia totalis
Alopecia universalis,Alopecia universalis
Alpha 1 foetoprotein,Alpha 1 foetoprotein
Alpha 1 foetoprotein abnormal,Alpha 1 foetoprotein abnormal
Alpha 1 foetoprotein amniotic fluid,Alpha 1 foetoprotein amniotic fluid
Alpha 1 foetoprotein amniotic fluid abnormal,Alpha 1 foetoprotein amniotic fluid abnormal
Alpha 1 foetoprotein amniotic fluid increased,Alpha 1 foetoprotein amniotic fluid increased
Alpha 1 foetoprotein amniotic fluid normal,Alpha 1 foetoprotein amniotic fluid normal
Alpha 1 foetoprotein decreased,Alpha 1 foetoprotein decreased
Alpha 1 foetoprotein increased,Alpha 1 foetoprotein increased
Alpha 1 foetoprotein normal,Alpha 1 foetoprotein normal
Alpha 1 globulin,Alpha 1 globulin
Alpha 1 globulin abnormal,Alpha 1 globulin abnormal
Alpha 1 globulin decreased,Alpha 1 globulin decreased
Alpha 1 globulin increased,Alpha 1 globulin increased
Alpha 1 globulin normal,Alpha 1 globulin normal
Alpha 2 globulin,Alpha 2 globulin
Alpha 2 globulin abnormal,Alpha 2 globulin abnormal
Alpha 2 globulin decreased,Alpha 2 globulin decreased
Alpha 2 globulin increased,Alpha 2 globulin increased
Alpha 2 globulin normal,Alpha 2 globulin normal
Alpha interferon therapy,Alpha interferon therapy
Alpha-1 anti-trypsin,Alpha-1 anti-trypsin
Alpha-1 anti-trypsin abnormal,Alpha-1 anti-trypsin abnormal
Alpha-1 anti-trypsin decreased,Alpha-1 anti-trypsin decreased
Alpha-1 anti-trypsin increased,Alpha-1 anti-trypsin increased
Alpha-1 anti-trypsin normal,Alpha-1 anti-trypsin normal
Alpha-2 macroglobulin,Alpha-2 macroglobulin
Alpha-2 macroglobulin increased,Alpha-2 macroglobulin increased
Alpha-2 macroglobulin normal,Alpha-2 macroglobulin normal
Alport's syndrome,Alport's syndrome
Altered state of consciousness,Altered state of consciousness
Alveolar aeration excessive,Alveolar aeration excessive
Alveolar proteinosis,Alveolar proteinosis
Alveolar soft part sarcoma,Alveolar soft part sarcoma
Alveolar soft part sarcoma metastatic,Alveolar soft part sarcoma metastatic
Alveolar soft part sarcoma recurrent,Alveolar soft part sarcoma recurrent
Alveolitis,Alveolitis
Amalgam tattoo,Amalgam tattoo
Amaurosis,Amaurosis
Amaurosis fugax,Amaurosis fugax
Amblyopia,Amblyopia
Amblyopia alcohol,Amblyopia alcohol
Amblyopia congenital,Amblyopia congenital
Amblyopia strabismic,Amblyopia strabismic
Amblyopia tobacco,Amblyopia tobacco
Amenorrhoea,Amenorrhoea
American trypanosomiasis,American trypanosomiasis
Amino acid catabolism disorder,Amino acid catabolism disorder
Amino acid metabolism disorder,Amino acid metabolism disorder
Aminoaciduria,Aminoaciduria
Ammonia abnormal,Ammonia abnormal
Ammonia decreased,Ammonia decreased
Ammonia increased,Ammonia increased
Ammonia normal,Ammonia normal
Amnesia,Amnesia
Amniocentesis,Amniocentesis
Amniocentesis abnormal,Amniocentesis abnormal
Amniocentesis normal,Amniocentesis normal
Amnioscopy,Amnioscopy
Amnioscopy abnormal,Amnioscopy abnormal
Amnioscopy normal,Amnioscopy normal
Amoebiasis,Amoebiasis
Amoebic brain abscess,Amoebic brain abscess
Amoebic colitis,Amoebic colitis
Amoebic dysentery,Amoebic dysentery
Amoebic lung abscess,Amoebic lung abscess
Amoebic skin ulcer,Amoebic skin ulcer
Amputation of penis,Amputation of penis
Amylase,Amylase
Amylase decreased,Amylase decreased
Amylase increased,Amylase increased
Amyloidosis,Amyloidosis
Amyloidosis senile,Amyloidosis senile
Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis
Amyotrophy,Amyotrophy
Anaemia,Anaemia
Anaemia folate deficiency,Anaemia folate deficiency
Anaemia Heinz body,Anaemia Heinz body
Anaemia macrocytic,Anaemia macrocytic
Anaemia megaloblastic,Anaemia megaloblastic
Anaemia neonatal,Anaemia neonatal
Anaemia of chronic disease,Anaemia of chronic disease
Anaemia vitamin B12 deficiency,Anaemia vitamin B12 deficiency
Anaemia vitamin B6 deficiency,Anaemia vitamin B6 deficiency
Anaesthesia,Anaesthesia
Anaesthetic complication cardiac,Anaesthetic complication cardiac
Anaesthetic complication neurological,Anaesthetic complication neurological
Anaesthetic complication pulmonary,Anaesthetic complication pulmonary
Anal atresia,Anal atresia
Anal cancer recurrent,Anal cancer recurrent
Anal cancer stage 0,Anal cancer stage 0
Anal cancer stage I,Anal cancer stage I
Anal cancer stage II,Anal cancer stage II
Anal cancer stage III,Anal cancer stage III
Anal cancer stage IV,Anal cancer stage IV
Anal candidiasis,Anal candidiasis
Anal chlamydia infection,Anal chlamydia infection
Anal dilatation,Anal dilatation
Anal fissure,Anal fissure
Anal fissure excision,Anal fissure excision
Anal fistula,Anal fistula
Anal lesion excision,Anal lesion excision
Anal leukoplakia,Anal leukoplakia
Anal polyp,Anal polyp
Anal polypectomy,Anal polypectomy
Anal skin tag excision,Anal skin tag excision
Anal skin tags,Anal skin tags
Anal spasm,Anal spasm
Anal sphincterotomy,Anal sphincterotomy
Anal stenosis,Anal stenosis
Anal tinea,Anal tinea
Anal ulcer,Anal ulcer
Anaphylactic reaction,Anaphylactic reaction
Anaphylactic shock,Anaphylactic shock
Anaphylactoid reaction,Anaphylactoid reaction
Anaphylaxis treatment,Anaphylaxis treatment
Anaplastic astrocytoma,Anaplastic astrocytoma
Anaplastic large cell lymphoma T- and null-cell types,Anaplastic large cell lymphoma T- and null-cell types
Anaplastic large cell lymphoma T- and null-cell types recurrent,Anaplastic large cell lymphoma T- and null-cell types recurrent
Anaplastic large cell lymphoma T- and null-cell types refractory,Anaplastic large cell lymphoma T- and null-cell types refractory
Anaplastic large cell lymphoma T- and null-cell types stage I,Anaplastic large cell lymphoma T- and null-cell types stage I
Anaplastic large cell lymphoma T- and null-cell types stage II,Anaplastic large cell lymphoma T- and null-cell types stage II
Anaplastic large cell lymphoma T- and null-cell types stage III,Anaplastic large cell lymphoma T- and null-cell types stage III
Anaplastic large cell lymphoma T- and null-cell types stage IV,Anaplastic large cell lymphoma T- and null-cell types stage IV
Anaplastic thyroid cancer,Anaplastic thyroid cancer
Anastomotic ulcer,Anastomotic ulcer
Anastomotic ulcer haemorrhage,Anastomotic ulcer haemorrhage
Anastomotic ulcer perforation,Anastomotic ulcer perforation
"Anastomotic ulcer, obstructive","Anastomotic ulcer, obstructive"
Androgen deficiency,Androgen deficiency
Androgen replacement therapy,Androgen replacement therapy
Androgen therapy,Androgen therapy
Androgens increased,Androgens increased
Anencephaly,Anencephaly
Aneurysm,Aneurysm
Aneurysm arteriovenous,Aneurysm arteriovenous
Aneurysmal bone cyst,Aneurysmal bone cyst
Anger,Anger
Angina gangrenous,Angina gangrenous
Angina pectoris,Angina pectoris
Angina unstable,Angina unstable
Angiocentric lymphoma,Angiocentric lymphoma
Angiocentric lymphoma recurrent,Angiocentric lymphoma recurrent
Angiocentric lymphoma refractory,Angiocentric lymphoma refractory
Angiocentric lymphoma stage I,Angiocentric lymphoma stage I
Angiocentric lymphoma stage II,Angiocentric lymphoma stage II
Angiocentric lymphoma stage III,Angiocentric lymphoma stage III
Angiocentric lymphoma stage IV,Angiocentric lymphoma stage IV
Angioedema,Angioedema
Angiofibroma,Angiofibroma
Angiogram pulmonary,Angiogram pulmonary
Angiogram pulmonary abnormal,Angiogram pulmonary abnormal
Angiogram pulmonary normal,Angiogram pulmonary normal
Angiogram retina,Angiogram retina
Angiogram retina abnormal,Angiogram retina abnormal
Angiogram retina normal,Angiogram retina normal
Angioimmunoblastic T-cell lymphoma,Angioimmunoblastic T-cell lymphoma
Angioimmunoblastic T-cell lymphoma recurrent,Angioimmunoblastic T-cell lymphoma recurrent
Angioimmunoblastic T-cell lymphoma refractory,Angioimmunoblastic T-cell lymphoma refractory
Angioimmunoblastic T-cell lymphoma stage I,Angioimmunoblastic T-cell lymphoma stage I
Angioimmunoblastic T-cell lymphoma stage II,Angioimmunoblastic T-cell lymphoma stage II
Angioimmunoblastic T-cell lymphoma stage III,Angioimmunoblastic T-cell lymphoma stage III
Angioimmunoblastic T-cell lymphoma stage IV,Angioimmunoblastic T-cell lymphoma stage IV
Angioplasty,Angioplasty
Angiosarcoma,Angiosarcoma
Angiosarcoma metastatic,Angiosarcoma metastatic
Angiosarcoma recurrent,Angiosarcoma recurrent
Angiosclerosis,Angiosclerosis
Angiotensin I,Angiotensin I
Angiotensin I abnormal,Angiotensin I abnormal
Angiotensin I decreased,Angiotensin I decreased
Angiotensin I increased,Angiotensin I increased
Angiotensin I normal,Angiotensin I normal
Angiotensin II,Angiotensin II
Angiotensin II abnormal,Angiotensin II abnormal
Angiotensin II decreased,Angiotensin II decreased
Angiotensin II increased,Angiotensin II increased
Angiotensin II normal,Angiotensin II normal
Angle closure glaucoma,Angle closure glaucoma
Angular cheilitis,Angular cheilitis
Anhedonia,Anhedonia
Anhidrosis,Anhidrosis
Anicteric leptospirosis,Anicteric leptospirosis
Animal bite,Animal bite
Animal phobia,Animal phobia
Animal scratch,Animal scratch
Anion gap,Anion gap
Anion gap abnormal,Anion gap abnormal
Anion gap decreased,Anion gap decreased
Anion gap increased,Anion gap increased
Anion gap normal,Anion gap normal
Aniridia,Aniridia
Anisakiasis,Anisakiasis
Aniseikonia,Aniseikonia
Anisocytosis,Anisocytosis
Anisometropia,Anisometropia
Ankle fracture,Ankle fracture
Ankylosing spondylitis,Ankylosing spondylitis
Anorectal stenosis,Anorectal stenosis
Anorectal ulcer,Anorectal ulcer
Anodontia,Anodontia
Anomalous atrioventricular excitation,Anomalous atrioventricular excitation
"Anomaly of orbit, congenital","Anomaly of orbit, congenital"
Anophthalmos,Anophthalmos
Anorchism,Anorchism
Anorectal cellulitis,Anorectal cellulitis
Anorectal disorder,Anorectal disorder
Anorexia and bulimia syndrome,Anorexia and bulimia syndrome
Anorexia nervosa,Anorexia nervosa
Anorgasmia,Anorgasmia
Anosmia,Anosmia
Anotia,Anotia
Anovulatory cycle,Anovulatory cycle
Anoxia,Anoxia
Antabuse implant,Antabuse implant
Anterior chamber degeneration,Anterior chamber degeneration
Anterior chamber opacity,Anterior chamber opacity
Anterior spinal artery syndrome,Anterior spinal artery syndrome
Anterograde amnesia,Anterograde amnesia
Anthrax,Anthrax
Antiandrogen therapy,Antiandrogen therapy
Anticachectic therapy,Anticachectic therapy
Anticholinergic syndrome,Anticholinergic syndrome
Anticipatory anxiety,Anticipatory anxiety
Antidiuretic hormone abnormality,Antidiuretic hormone abnormality
Antiemetic supportive care,Antiemetic supportive care
Antigonadotrophins present,Antigonadotrophins present
Antimicrobial susceptibility test,Antimicrobial susceptibility test
Antimicrobial susceptibility test intermediate,Antimicrobial susceptibility test intermediate
Antimicrobial susceptibility test resistant,Antimicrobial susceptibility test resistant
Antimicrobial susceptibility test sensitive,Antimicrobial susceptibility test sensitive
Antimitochondrial antibody,Antimitochondrial antibody
Antimitochondrial antibody normal,Antimitochondrial antibody normal
Antimitochondrial antibody positive,Antimitochondrial antibody positive
Antinuclear antibody,Antinuclear antibody
Antinuclear antibody negative,Antinuclear antibody negative
Antioestrogen therapy,Antioestrogen therapy
Antiphospholipid syndrome,Antiphospholipid syndrome
Antiprogestational therapy,Antiprogestational therapy
Antiprolactin therapy,Antiprolactin therapy
Antisocial behaviour,Antisocial behaviour
Antisocial personality disorder,Antisocial personality disorder
Antithrombin III deficiency,Antithrombin III deficiency
Antral lavage,Antral lavage
Anuria,Anuria
Anxiety,Anxiety
Anxiety disorder due to a general medical condition,Anxiety disorder due to a general medical condition
Anxious parent,Anxious parent
Aorta coarctation repair,Aorta coarctation repair
Aortic aneurysm,Aortic aneurysm
Aortic aneurysm repair,Aortic aneurysm repair
Aortic aneurysm rupture,Aortic aneurysm rupture
Aortic aneurysm syphilitic,Aortic aneurysm syphilitic
Aortic dissection,Aortic dissection
Aortic embolus,Aortic embolus
Aortic injury,Aortic injury
Aortic necrosis,Aortic necrosis
Aortic stenosis,Aortic stenosis
Aortic thrombosis,Aortic thrombosis
Aortic valve disease mixed,Aortic valve disease mixed
Aortic valve incompetence,Aortic valve incompetence
Aortic valve replacement,Aortic valve replacement
Aortic valve sclerosis,Aortic valve sclerosis
Aortic valve stenosis,Aortic valve stenosis
Aortic valvotomy,Aortic valvotomy
Aortitis,Aortitis
Aortitis syphilitic,Aortitis syphilitic
Apallic syndrome,Apallic syndrome
Apathy,Apathy
Apgar score low,Apgar score low
Aphakia,Aphakia
Aphakia congenital,Aphakia congenital
Aphasia,Aphasia
Aphonia,Aphonia
Aphonia psychogenic,Aphonia psychogenic
Aphthous ulcer,Aphthous ulcer
Apicectomy,Apicectomy
Aplasia,Aplasia
Aplasia cutis congenita,Aplasia cutis congenita
Aplasia pure red cell,Aplasia pure red cell
Aplastic anaemia,Aplastic anaemia
Apnoea,Apnoea
Apnoeic attack,Apnoeic attack
Apocrine miliaria,Apocrine miliaria
Apolipoprotein A-I,Apolipoprotein A-I
Apolipoprotein A-I abnormal,Apolipoprotein A-I abnormal
Apolipoprotein A-I decreased,Apolipoprotein A-I decreased
Apolipoprotein A-I increased,Apolipoprotein A-I increased
Apolipoprotein A-I normal,Apolipoprotein A-I normal
Apolipoprotein A-II,Apolipoprotein A-II
Apolipoprotein A-II decreased,Apolipoprotein A-II decreased
Apolipoprotein A-II increased,Apolipoprotein A-II increased
Apolipoprotein A-II normal,Apolipoprotein A-II normal
Apolipoprotein B,Apolipoprotein B
Apolipoprotein B abnormal,Apolipoprotein B abnormal
Apolipoprotein B decreased,Apolipoprotein B decreased
Apolipoprotein B increased,Apolipoprotein B increased
Apolipoprotein B normal,Apolipoprotein B normal
Appendicectomy,Appendicectomy
Appendicitis,Appendicitis
Appendicitis perforated,Appendicitis perforated
Application site anaesthesia,Application site anaesthesia
Application site atrophy,Application site atrophy
Application site dermatitis,Application site dermatitis
Application site erythema,Application site erythema
Application site irritation,Application site irritation
Application site necrosis,Application site necrosis
Application site oedema,Application site oedema
Application site pain,Application site pain
Application site pruritus,Application site pruritus
Application site rash,Application site rash
Application site reaction,Application site reaction
Application site ulcer,Application site ulcer
Application site warmth,Application site warmth
Apraxia,Apraxia
Aprosody,Aprosody
Aptyalism,Aptyalism
APUDoma,APUDoma
Aquagenic pruritus,Aquagenic pruritus
Arachnoiditis,Arachnoiditis
Areflexia,Areflexia
Arenaviral haemorrhagic fever,Arenaviral haemorrhagic fever
Argentine haemorrhagic fever,Argentine haemorrhagic fever
Argyll-Robertson pupils,Argyll-Robertson pupils
Argyria,Argyria
Arm amputation,Arm amputation
Arnold-Chiari malformation,Arnold-Chiari malformation
Aromatase inhibition therapy,Aromatase inhibition therapy
Aromatherapy,Aromatherapy
Arrested labour,Arrested labour
Arrhythmia,Arrhythmia
Arrhythmia neonatal,Arrhythmia neonatal
Arrhythmia supraventricular,Arrhythmia supraventricular
