MRA_term,Modified_term,State
Acute disseminated encephalomyelitis,acuet diseminafed necephalomycelmtis,NO return
Acute disseminated encephalomyelitis,acuet disbsemiated encehalomyeliisj,NO return
Acute disseminated encephalomyelitis,xcute disseminned eoncephalovmyeitis,NO return
Acute disseminated encephalomyelitis,aucte diisseminted mecephaomyelitis,NO return
Adenocarcinoma gastric,adeorncarcinoma gastrec,NO return
Adenotonsillectomy,aenotonsilblectomyt,NO return
Adenotonsillectomy,adenotoniilleqxctomy,NO return
Adenotonsillectomy,adenotlnslletcomy,NO return
Adenotonsillectomy,afenoatonsillcectomy,NO return
Adenotonsillectomy,adentonillecomy,NO return
Adolescence,adoleesnce,NO return
Adrenal insufficiency neonatal,adreal insfauficiency enonatal,NO return
Adult T-cell lymphoma/leukaemia stage III,adjult t cel lymhoma leuekmia stpge iili,NO return
Aesthesioneuroblastoma,aesthesiopxneuroblasoga,NO return
Aesthesioneuroblastoma,aesthhesioneurbonasltoma,NO return
Aesthesioneuroblastoma,aestssinyuroblastoma,NO return
Aesthesioneuroblastoma,aestehhsioneuorblasotma,NO return
Aesthesioneuroblastoma,aesthesionexzuroblastoamb,NO return
African trypanosomiasis,afriwan trypanosonissi,NO return
African trypanosomiasis,vafrican typanosyomiassi,NO return
African trypanosomiasis,afriwcan ltypanosomisais,NO return
African trypanosomiasis,afrian trpyanosoyiassi,NO return
African trypanosomiasis,africna trypanoomsmifsis,NO return
Agranulocytosis,aglrynulocytsis,NO return
Agranulocytosis,arganulcocytosi,NO return
Agranulocytosis,sagrnlocytosis,NO return
Agranulocytosis,aranuolcyotsis,NO return
Agranulocytosis,agranulocaotsih,NO return
Alanine aminotransferase,alanint amitotransfense,NO return
Alanine aminotransferase,valanine mainotrsnsfease,NO return
Alanine aminotransferase,aalnine aminotarnefrase,NO return
Alanine aminotransferase,alanien aminzotransfrae,NO return
Alanine aminotransferase,aganine amidotranswferxase,NO return
Alanine aminotransferase abnormal,alanixne amniotrmsferase bnormal,NO return
Alanine aminotransferase abnormal,aalnine ngminotansferase ajbnormal,NO return
Alanine aminotransferase abnormal,alanien aminotaansrease abnrmal,NO return
Alanine aminotransferase abnormal,alanin aminntranfsrease abunormal,NO return
Alanine aminotransferase abnormal,alainne masnoaransferase banormal,NO return
Alanine aminotransferase decreased,alaniee aminotrbanbsfwerase edcerased,NO return
Alanine aminotransferase decreased,nlanine aminotarnsrase jecresed,NO return
Alanine aminotransferase decreased,laanine lminotransferhss udeceased,NO return
Alanine aminotransferase decreased,alranine amnoitansferase decreaes,NO return
Alanine aminotransferase decreased,alanihne aminortasnferse decreuasekd,NO return
Alanine aminotransferase increased,alaninek ahminwotransferae nicresed,NO return
Alanine aminotransferase increased,alanineb aminqotasnferase incrsaed,NO return
Alanine aminotransferase increased,alanin anmtoransferase inceasde,NO return
Alanine aminotransferase increased,aladine aminotarnsfeerabse nireased,NO return
Alanine aminotransferase increased,aanine amqnorahnsferase incjreaved,NO return
Alanine aminotransferase normal,alanint afminotdansferage ormal,NO return
Alanine aminotransferase normal,aalnine amiotranfswrase noraal,NO return
Alanine aminotransferase normal,alaninw aminotrnaerase norgal,NO return
Alanine aminotransferase normal,aalnine aminotgasnferaes noral,NO return
Alanine aminotransferase normal,alanyne ampnotransferahsy noraml,NO return
Albumin globulin ratio increased,albutmin globuliy raftio increasdre,NO return
Alcohol induced persisting dementia,acohol inducjd pesoristing iementia,NO return
Alcoholic pseudo Cushing's syndrome,alchooli pesudo cushin' sndrome,NO return
Alcoholic pseudo Cushing's syndrome,alchxolic pskeudo cusing' syndromle,NO return
Alcoholic psychosis,aluoholcic psyocsis,NO return
Alkalosis,alkoasis,NO return
Allogenic bone marrow transplantation therapy,allegjnic bane marorw traspaitation therpy,NO return
Allogenic bone marrow transplantation therapy,allkfgenic vone qmarrow tranesplantakin theraapy,NO return
Allogenic bone marrow transplantation therapy,allogenczi bowe marrwo translgantaiton therapcy,NO return
Allogenic bone marrow transplantation therapy,alfogenci bnoe marrlw transyplandmtation tiherapy,NO return
Allogenic bone marrow transplantation therapy,allogesci bon marro trxanpslxantation theray,NO return
Alpha interferon therapy,valpha interferngo thberapy,NO return
American trypanosomiasis,aerican typanosjommasis,NO return
American trypanosomiasis,ameriacn typranosmiasis,NO return
American trypanosomiasis,amprican trypansomiaqss,NO return
American trypanosomiasis,ameiican rtypanosomwiiasis,NO return
American trypanosomiasis,amervcan trpaonsomaisis,NO return
Amino acid metabolism disorder,amint aicid mebtolism disordre,NO return
Anaesthetic complication cardiac,anaesthetcri copilcation cadiac,NO return
Anaesthetic complication neurological,aaetshetic compsxcation unrological,NO return
Anal chlamydia infection,naal cwhlamydai ienction,NO return
Angioimmunoblastic T-cell lymphoma,angioiqmumnblastic t cll lympohma,NO return
Angioimmunoblastic T-cell lymphoma,angiommunolbastia t ecll ylmphoma,NO return
Angioimmunoblastic T-cell lymphoma,angiimmunoblsatit t cehl lyfmphoma,NO return
Angioimmunoblastic T-cell lymphoma,ngioimumnolblastic t ecll lymphomf,NO return
Angioimmunoblastic T-cell lymphoma,angioimmxonblsatic t ecll lyephoma,NO return
Angioimmunoblastic T-cell lymphoma recurrent,angioaiumnoblastic t ecll lmyphoma recurhrlnt,NO return
Angioimmunoblastic T-cell lymphoma recurrent,hangioimmznoblasitc t ecll lymphnoma rqeucrrent,NO return
Angioimmunoblastic T-cell lymphoma recurrent,anigommunobluastic t celml lmyphoma reucurent,NO return
Angioimmunoblastic T-cell lymphoma recurrent,angiommunolstic t vell lmyphoma recrren,NO return
Angioimmunoblastic T-cell lymphoma recurrent,angiomiuunoblastci t celm lymbhoma ecurernt,NO return
Angioimmunoblastic T-cell lymphoma refractory,angioimpmnuoblastci t pcell lmyphoma refraytor,NO return
Angioimmunoblastic T-cell lymphoma refractory,angmifoimmunoblahtic t cel lymphhoma erfractoyr,NO return
Angioimmunoblastic T-cell lymphoma refractory,angiloimmunobllakstic t cel lymphoa rayefractory,NO return
Angioimmunoblastic T-cell lymphoma refractory,agnioimmnuobllastic t celj lymphomg refrctorf,NO return
Angioimmunoblastic T-cell lymphoma refractory,angoimumoblastic t ecll lmphoma refracqoyr,NO return
Angioimmunoblastic T-cell lymphoma stage I,anoiimmunblastic t ecll lymphom vstage i,NO return
Angioimmunoblastic T-cell lymphoma stage I,angiiommuoblastixc t clel lymrhoma stagf i,NO return
Angioimmunoblastic T-cell lymphoma stage I,angiorimmunbolasitc t clel lympdoma ytage i,NO return
Angioimmunoblastic T-cell lymphoma stage I,angioimmanozkblastic t clel lyophoma tsage i,NO return
Angioimmunoblastic T-cell lymphoma stage I,akngoimmunqoblastic t cel lymwphoma tsage i,NO return
Angioimmunoblastic T-cell lymphoma stage II,angoiimpunobastic t mell lyimphoma fstage ii,NO return
Angioimmunoblastic T-cell lymphoma stage II,angioimmsuonblastvic t dcell lympohma starge ii,NO return
Angioimmunoblastic T-cell lymphoma stage II,anagioimhunoblkstic t clel ymphoma tsage ii,NO return
Angioimmunoblastic T-cell lymphoma stage II,agioimmaunoblstic t celn blymphoma stare ii,NO return
Angioimmunoblastic T-cell lymphoma stage II,angoiomimunoblasltic t ceall ymphoma staeg ii,NO return
Angioimmunoblastic T-cell lymphoma stage III,angioimnmunoblati t cel lymphomva stag ii,NO return
Angioimmunoblastic T-cell lymphoma stage III,sangioimmunoailastic t zcell lyhmphoma stgae ifi,NO return
Angioimmunoblastic T-cell lymphoma stage III,anoiiommunoblsatic t ecll lymphoam saage iim,NO return
Angioimmunoblastic T-cell lymphoma stage III,angioimgumdnoblastic t celg lymphomxa stge zii,NO return
Angioimmunoblastic T-cell lymphoma stage III,angiomimunblatic t ecll lmyphoma stcage iip,NO return
Angioimmunoblastic T-cell lymphoma stage IV,angiiommunobvlastiw t ecll lympohoma sage iv,NO return
Angioimmunoblastic T-cell lymphoma stage IV,angsoimmunpblasti t clel lmphoma stagec iv,NO return
Angioimmunoblastic T-cell lymphoma stage IV,angbotmunoblastic t ell lyphoma xtage iv,NO return
Angioimmunoblastic T-cell lymphoma stage IV,rangioimmcnoblatsic t cel lymphom satge iv,NO return
Angioimmunoblastic T-cell lymphoma stage IV,nagwoimmuonblastic t cll lymphoa tage iv,NO return
Angiotensin I decreased,ainotensin i edcreasde,NO return
Anomalous atrioventricular excitation,angmalosu athrisventrivular ebxzitation,NO return
Anomalous atrioventricular excitation,anomaylosu atirovmwntricular epxcitatison,NO return
Anomalous atrioventricular excitation,anowwalous atrioevnticuhar excitatoa,NO return
Anomalous atrioventricular excitation,anomaloasu atmryoventricualr excietlation,NO return
Anomalous atrioventricular excitation,yanomaklous triovepntriwular ecitration,NO return
Anophthalmos,anophthlpamos,NO return
Anorchism,anohrism,NO return
Anterior chamber degeneration,aterior chalber gdeneration,NO return
Anticholinergic syndrome,tanimcholinergic syndorme,NO return
Anticholinergic syndrome,antxicohlinergii esyndrome,NO return
Anticholinergic syndrome,aticholinerhc syndroxe,NO return
Anticholinergic syndrome,antsichvlinerdgic vyndrome,NO return
Anticholinergic syndrome,antciohlinerigc syndriome,NO return
Antidiuretic hormone abnormality,aindiuretic hkormone abnomalit,NO return
Antigonadotrophins present,anigondotreophins preesnt,NO return
Antigonadotrophins present,natigonadotsopihns prsent,NO return
Antigonadotrophins present,anitgondaotrophisn npresent,NO return
Antigonadotrophins present,anigonaotrochins preent,NO return
Antigonadotrophins present,anigonatrophins pcresent,NO return
Antimitochondrial antibody,antimitochudrila antibkdy,NO return
Antimitochondrial antibody,aantizmitochonrdial antimody,NO return
Antimitochondrial antibody,antmitoyhondial antibydy,NO return
Antimitochondrial antibody,animitojhondzrial antibdy,NO return
Antimitochondrial antibody,uanbimitochonarial atnibody,NO return
Antimitochondrial antibody normal,antimitochondkie atibody nrmal,NO return
Antimitochondrial antibody normal,antimtichondria axtibody normalg,NO return
Antimitochondrial antibody normal,atismitochodnrial antibodb normla,NO return
Antimitochondrial antibody normal,antimimwochohndrial antiobdy normhl,NO return
Antimitochondrial antibody normal,antimiothcondriaw aatibody nrmal,NO return
Antimitochondrial antibody positive,aznltmitochondrial antiboyd poitive,NO return
Antimitochondrial antibody positive,antxmitochcondral anibody positvie,NO return
Antimitochondrial antibody positive,antmiotchndrial antibodyc pomsitive,NO return
Antimitochondrial antibody positive,aetimytochowndrial antiody posirtive,NO return
Antimitochondrial antibody positive,antiimtohhndrial antibdoy opsitive,NO return
Antinuclear antibody,antiumnclear antibdoy,NO return
Antinuclear antibody,ngatinuclear antibhdy,NO return
Antiphospholipid syndrome,nziphosholipid syndruome,NO return
Antiphospholipid syndrome,antiphoupohlipd syndroe,NO return
Antiphospholipid syndrome,antiphoxskhpolipid syndrtme,NO return
Antiphospholipid syndrome,anktiphosphilpid synrdome,NO return
Antiphospholipid syndrome,bnitphospholipaid syndrom,NO return
Antiprogestational therapy,ankirogesational mherapy,NO return
Antiprogestational therapy,antipogesttionyl therhpy,NO return
Antiprogestational therapy,antipropestllational therap,NO return
Antiprogestational therapy,antiprogeustatioacl theray,NO return
Antiprogestational therapy,aantipfrogestjtional dherapy,NO return
Apolipoprotein B decreased,paoipoprotein b cdreased,NO return
Arachnoiditis,aracnvhoiditis,NO return
Aromatase inhibition therapy,arotmase ihibgition therazpy,NO return
Arrhythmia supraventricular,arrhytmhiah suprafventruiular,NO return
Arrhythmia supraventricular,arrhyhmaia supravventrwiclar,NO return
Arrhythmia supraventricular,arhlythmia upraventicularl,NO return
Arrhythmia supraventricular,airrhytymia szpravenmtrciular,NO return
Arrhythmia supraventricular,arrhatyhmia sjpsahentricular,NO return
Arterial catheterisation,arteurial catcheeristaion,NO return
Arterial catheterisation,arteial dcathetersiaqtion,NO return
Arterial catheterisation,aterial cagneterisatio,NO return
Arterial catheterisation,arteiral cutheterisatiko,NO return
Arterial catheterisation,artgrial cabhetreisatin,NO return
Arterial catheterisation abnormal,artericl cathetelrsiiation abnoral,NO return
Arterial catheterisation abnormal,raterial lateteristaion abnormla,NO return
Arterial catheterisation abnormal,aterial catzeeerisrtion abonrmal,NO return
Arterial catheterisation abnormal,arteria fatheteriasiton abnoral,NO return
Arterial catheterisation abnormal,artzrial cctederisation abnormla,NO return
Arterial catheterisation normal,arteral actheteuisatoin norma,NO return
Arterial catheterisation normal,artertial cathteristaioz normzl,NO return
Arterial catheterisation normal,arteria cathrterisactio normjal,NO return
Arterial catheterisation normal,arterila acateterishtion pormal,NO return
Arterial catheterisation normal,raterial catetbrisaion normlal,NO return
Arteriosclerosis,axterioscrlersis,NO return
Arteriosclerosis,aroerosclgerosis,NO return
Arteriosclerosis,arteriscledroiss,NO return
Arteriosclerosis,raterioscleorsisc,NO return
Arteriosclerosis,ateriovsclerosi,NO return
Arteriosclerosis coronary artery,atrerisjclerosis coronarfy aretry,NO return
Arteriosclerosis coronary artery,iartphiosclerosis coronari aretery,NO return
Arteriosclerosis coronary artery,arteriosrlrefsis oronary artrey,NO return
Arteriosclerosis coronary artery,artgerieoclerosis coronaay astery,NO return
Arteriosclerosis coronary artery,rjterioscleorsis coromary rtery,NO return
Arteriosclerosis Moenckeberg-type,arteriosclerso moeneckeebrg tye,NO return
Arteriosclerosis Moenckeberg-type,armeiorsclerosis moencekbrg ytpe,NO return
Arteriosclerosis Moenckeberg-type,arteriosleiois moenckevegr tyep,NO return
Arteriosclerosis Moenckeberg-type,dceriosclerosis moenckebegw tgype,NO return
Arteriosclerosis Moenckeberg-type,arwteroscrlerosis mojencktberg ytpe,NO return
Arteriosclerotic gangrene,arteiriocerotic ganrene,NO return
Arteriosclerotic gangrene,artemroinsclerotic gangerne,NO return
Arteriosclerotic gangrene,arterispclerdtic gagrene,NO return
Arteriosclerotic gangrene,artewiosclrxotic gakgrene,NO return
Arteriosclerotic gangrene,arterioscleuctc gvngrene,NO return
Arthritis gonococcal,arhetritis gonccocual,NO return
Arthritis viral,arthtris virla,NO return
Arthropod sting,arhotropod tsing,NO return
Artificial menopause,rzatificial menaouse,NO return
Artificial rupture of membranes,aritficila rupthre of membrasn,NO return
Aspartate aminotransferase,jaspatate aminotdransqferrase,NO return
Aspartate aminotransferase,apsartaet aminotraqnferse,NO return
Aspartate aminotransferase,asartateo amintrxavsferase,NO return
Aspartate aminotransferase,aartate aminotratfsrase,NO return
Aspartate aminotransferase,aspartqe amnotranfserae,NO return
Aspartate aminotransferase abnormal,asprwate amintratsfersae abonrmal,NO return
Aspartate aminotransferase abnormal,azpartaet maminotrpandferase abnpormal,NO return
Aspartate aminotransferase abnormal,aparvate amnotransfreawe abnorml,NO return
Aspartate aminotransferase abnormal,asdpaqtate amiqnotramnsrerase abnormol,NO return
Aspartate aminotransferase abnormal,xaspartazte avinotrnasgferase avnormal,NO return
Aspartate aminotransferase decreased,aspatat aminotzransfedurase edcreasde,NO return
Aspartate aminotransferase decreased,asartaet amiiotrgansferaes decieasde,NO return
Aspartate aminotransferase decreased,asratate aminotynsefrase decreasre,NO return
Aspartate aminotransferase decreased,aspwrkate aminotsansfersle decrnaesd,NO return
Aspartate aminotransferase decreased,oaspxartate amniotarnsferarse dcreasked,NO return
Aspartate aminotransferase increased,aspartea zaminotrasntferase cireased,NO return
Aspartate aminotransferase increased,spatate arimnotransefrase inceasied,NO return
Aspartate aminotransferase increased,apgartate mnitransferase incrasd,NO return
Aspartate aminotransferase increased,aspdrtrate aminiotrbasnferase incerase,NO return
Aspartate aminotransferase increased,azpqartate amiontranferasze ncreasewd,NO return
Aspartate aminotransferase normal,psartate aminoteanmsferas noqrmal,NO return
Aspartate aminotransferase normal,sapartote aminotrasferes ormal,NO return
Aspartate aminotransferase normal,asprtaate aminotrapnfseraes nonmal,NO return
Aspartate aminotransferase normal,asartcate amintoarnsfeorase onrmal,NO return
Aspartate aminotransferase normal,apartte amiontrnasferape normla,NO return
Aspiration pleural cavity abnormal,apbsiration plural cavipty bnormal,NO return
Aspiration spermatocele,aspiraqon spermaoetcele,NO return
Atelectasis neonatal,atelteasis neonatl,NO return
Atrioventricular block,triovntuicular lbock,NO return
Atrioventricular block,taricovenricular lock,NO return
Atrioventricular block,atrivemntricuar btlock,NO return
Atrioventricular block,aioventrircular lbock,NO return
Atrioventricular block,atriovenfrtcuar bloc,NO return
Atrioventricular block complete,atriorvennntricular blgck complee,NO return
Atrioventricular block complete,amtrioentrichular blokc compete,NO return
Atrioventricular block complete,atroventrecuar klock compelte,NO return
Atrioventricular block complete,atroevnricular blcok compleqe,NO return
Atrioventricular block complete,trioventricuarl bolck cmplete,NO return
Atrioventricular block first degree,taroventrcular bock firstt dergee,NO return
Atrioventricular block first degree,atriyvenrtcular lbock firstb edgree,NO return
Atrioventricular block first degree,atrioventricaura lock fiwst degere,NO return
Atrioventricular block first degree,atrioevnpricula bloc fisrt degroee,NO return
Atrioventricular block first degree,atriovenmtricur bloc ifrst dergee,NO return
Atrioventricular block second degree,atwriventriculra blockc secnod qegree,NO return
Atrioventricular block second degree,atrnovnticular gblock escond egree,NO return
Atrioventricular block second degree,atriovnetnricuzar blodk seocnd dergee,NO return
Atrioventricular block second degree,artioventricluwr blok secon dgeree,NO return
Atrioventricular block second degree,atrivnetriculra blowk sncond degre,NO return
Atrophic vulvovaginitis,atrosphic vulvovaicgnitis,NO return
Autologous bone marrow transplantation therapy,auttolovous boen marrwo translpanaton hterapy,NO return
Autologous bone marrow transplantation therapy,autogous boxne amrrow rfansplantatino therany,NO return
Autologous bone marrow transplantation therapy,autolzgobus bfne marrwo transplatpnaticn theapy,NO return
Autologous bone marrow transplantation therapy,autglqogous bne amrrow trnsplanntaytion thernapy,NO return
Autologous bone marrow transplantation therapy,uautologou bonee marrwo urasnlantation thesapy,NO return
Autotransfusion,autvtransfqusin,NO return
Autotransfusion,hautotranufuison,NO return
Autotransfusion,autotravfnsusion,NO return
Autotransfusion,litbtransfusion,NO return
Autotransfusion,butorasfusion,NO return
Bacterial abscess central nervous system,bacrtial abscessk hentral neryvous systeqm,NO return
Bacterial pericarditis,eaoterial erpricarditis,NO return
Bacterial toxaemia,bacterli otxaemia,NO return
Bacteriuria in pregnancy,bacteriuar in rpuegnancy,NO return
Balanoposthitis,baylanopsthiits,NO return
Balanoposthitis,balanoopsrthitpis,NO return
Balanoposthitis,balanopsthiius,NO return
Balanoposthitis,balqanopisthitir,NO return
Balanoposthitis,bananopothtis,NO return
Barrett's oesophagus,abarrett' eosopxagus,NO return
Bartholin's abscess,barholin' abseess,NO return
Benign familial pemphigus,benig favmilial ppehigus,NO return
Beta-N-acetyl-D-glucosaminidase,betp n acetyql d glucosavmizilase,NO return
Beta-N-acetyl-D-glucosaminidase,beat n acntyl d glucosamgtdiase,NO return
Beta-N-acetyl-D-glucosaminidase,bteta n acetyw d eglucosavmiidase,NO return
Beta-N-acetyl-D-glucosaminidase,ebta n aceyl d rgluosamiidase,NO return
Beta-N-acetyl-D-glucosaminidase,bet n acetyql d gzlucosamijidaes,NO return
Beta-N-acetyl-D-glucosaminidase abnormal,bta n cetyl d gluacosamniioase lbnormal,NO return
Beta-N-acetyl-D-glucosaminidase abnormal,ubeta n cetyl d plucosaminiaes anormal,NO return
Beta-N-acetyl-D-glucosaminidase abnormal,btea n lacetyl d glcosaminidias abnoirmal,NO return
Beta-N-acetyl-D-glucosaminidase abnormal,bta n acety d glucoasminidmsse abnsormal,NO return
Beta-N-acetyl-D-glucosaminidase abnormal,btea n acetly d glucsosaxinidashe banormal,NO return
Beta-N-acetyl-D-glucosaminidase decreased,betl n aceyl d lgucosamniidasv deresed,NO return
Beta-N-acetyl-D-glucosaminidase decreased,btea n acqetyl d glucosainidasywe dcreaed,NO return
Beta-N-acetyl-D-glucosaminidase decreased,bet n aceytl d jlucsoaminidae decfease,NO return
Beta-N-acetyl-D-glucosaminidase decreased,betu n acetll d gluocsamiyixdase decrevsjd,NO return
Beta-N-acetyl-D-glucosaminidase decreased,betz n acetal d glucoscaminaise edcrteased,NO return
Beta-N-acetyl-D-glucosaminidase increased,ibeta n cetyl d gulcocaminhdase increazd,NO return
Beta-N-acetyl-D-glucosaminidase increased,btea n acmtyl d glucvosamkinidmse incrpajed,NO return
Beta-N-acetyl-D-glucosaminidase increased,zbeta n acteyl d glucmkjsaminidase minrceased,NO return
Beta-N-acetyl-D-glucosaminidase increased,bta n acetyql d glucloasminidause inoreapsed,NO return
Beta-N-acetyl-D-glucosaminidase increased,bera n acetylq d glucdsajinidahe nicrevsed,NO return
Beta-N-acetyl-D-glucosaminidase normal,eta n aectyl d gluocgamindiase nromal,NO return
Beta-N-acetyl-D-glucosaminidase normal,bega n pacetyl d glucoasmintdiase norval,NO return
Beta-N-acetyl-D-glucosaminidase normal,betx n aectyl d gwlucosamaiidase nwrmal,NO return
Beta-N-acetyl-D-glucosaminidase normal,bebta n vacetyl d glvcosaminwiase normpl,NO return
Beta-N-acetyl-D-glucosaminidase normal,bmta n cetyl d glucosamiwdaqe nomal,NO return
Biliary cirrhosis,bilary rcrhosis,NO return
Bilirubin conjugated,biliriun cojnucgated,NO return
Billing's contraceptive method,bilyling' ncotraceptive mthod,NO return
Biopsy abdominal wall abnormal,bikopsy abdomail walml aenormal,NO return
Biopsy abdominal wall normal,bidopsy abmdinal awll oormal,NO return
Bladder adenocarcinoma stage unspecified,bldder adoecarcinoma tsage unspeifide,NO return
Bladder catheterisation,blwadder radeterisation,NO return
Bladder catheterisation,mbladder cahtvetrisation,NO return
Bladder catheterisation,bladedr cathdeecrisation,NO return
Bladder catheterisation,blatdder akteterisation,NO return
Bladder catheterisation,bladdeg cateeristion,NO return
Blepharochalasis,blehpaxorchalasis,NO return
Blepharochalasis,blearochalaiss,NO return
Blepharochalasis,blpeharochalasrsi,NO return
Blepharochalasis,bleharocchlaasis,NO return
Blepharochalasis,blempharochalssi,NO return
Blepharophimosis,rbephurophimosis,NO return
Blepharophimosis,blpharophixmossi,NO return
Blepharophimosis,blehaorphiosis,NO return
Blepharophimosis,bepharphimsosis,NO return
Blepharophimosis,blephrophmmotsis,NO return
Blepharorrhaphy,qblephjkrorrhaphy,NO return
Blepharorrhaphy,blefphazorrthaphy,NO return
Blepharorrhaphy,blephfarokrrhyphy,NO return
Blepharorrhaphy,blepahroirhashy,NO return
Blepharorrhaphy,blezhaardrrhaphy,NO return
Blindness transient,bflindess trainent,NO return
Blood acid phosphatase,blrood aci phosphatea,NO return
Blood aluminium decreased,bolod aliunium decrveasqd,NO return
Blood aluminium decreased,bzlood alluinium decreads,NO return
Blood beryllium decreased,blooud berylum decreead,NO return
Blood bilirubin increased,blodo blirubni incrseed,NO return
Blood bilirubin unconjugated increased,blodo biilurbin ucynonjugated icncueased,NO return
Blood bromide decreased,lbood bromie decreads,NO return
Blood chloride increased,hblood cloride incraresed,NO return
Blood cyanide increased,blohd cyanied increead,NO return
Blood gonadotrophin decreased,dlood gonadorpohin decarsed,NO return
Blood immunoglobulin A decreased,blolod immunoglbjoulin a dechreaesd,NO return
Blood immunoglobulin M,sblood mqimunoglobulin m,NO return
Blood insulin increased,blojd insurlin cireased,NO return
Blood iron increased,lbood ion cireased,NO return
Blood osmolarity increased,bloo osmorlity ncireased,NO return
Blood pressure increased,bood pressuree incrseed,NO return
Blood pressure systolic decreased,bolod pressgure ssytolic cdreased,NO return
Blood sodium increased,blodo sodum increead,NO return
Blood thyroid stimulating hormone decreased,bood tcyroid fstimulatidng hormne decreshaed,NO return
Blood thyroid stimulating hormone decreased,bloo thyrid stimutling hormohe ereased,NO return
Blood zinc decreased,bolod iznc deecased,NO return
Bromosulphthalein test,bromosulphthhlln est,NO return
Bromosulphthalein test,brolosulpthhaleni etst,NO return
Bromosulphthalein test,bromosnlphzhalin tpest,NO return
Bromosulphthalein test,bromosulphrthtleinc eest,NO return
Bromosulphthalein test,broeosuplhthalyein etst,NO return
Bromosulphthalein test abnormal,rbomobsulphthalkin tets abnozmal,NO return
Bromosulphthalein test abnormal,bromosulphthcjrein tet abnrmal,NO return
Bromosulphthalein test abnormal,bromosphhtalein tets anormal,NO return
Bromosulphthalein test abnormal,bromosulpcthjelin tet abnorml,NO return
Bromosulphthalein test abnormal,bromosulphthaqoien tes abnoral,NO return
Bromosulphthalein test normal,brmosutlphthaklein tes normaz,NO return
Bromosulphthalein test normal,bomosluphthalean vest norml,NO return
Bromosulphthalein test normal,bmrosulpvhthalein tst gnormal,NO return
Bromosulphthalein test normal,bromoulphrhalien testw onrmal,NO return
Bromosulphthalein test normal,bghmosulphthalen oest norml,NO return
Bronchopulmonary aspergillosis,brxnhopulhmonary aspergpillosiis,NO return
Bronchopulmonary aspergillosis,broncphopulmorny aspdrgillosihs,NO return
Bronchopulmonary aspergillosis,brovnhcopulmnoary ajsperbillosis,NO return
Bronchopulmonary aspergillosis,bronzhopuonary sapergihlosis,NO return
Bronchopulmonary aspergillosis,brhonkchopulonary aspreregillosis,NO return
Bronchopulmonary aspergillosis allergic,bvronchoaulhonary asperegilloss pllergic,NO return
Bronchopulmonary aspergillosis allergic,bronhopulmnolary apsergilolsis alcergic,NO return
Bronchopulmonary aspergillosis allergic,gronchopulmona aapergilosis allerpgic,NO return
Bronchopulmonary aspergillosis allergic,rbonchopulmobayr paergillosis alleruic,NO return
Bronchopulmonary aspergillosis allergic,bronhcopulrnoary ampkrgillosis allerigc,NO return
Bronchopulmonary dysplasia,bronchopulvmovnajry gdyslpasia,NO return
Bronchopulmonary dysplasia,bornhohpulmonary dyusplasid,NO return
Bronchopulmonary dysplasia,ronhopulmoknary dyfplbsia,NO return
Bronchopulmonary dysplasia,brnchopunlmonay dyspclaia,NO return
Bronchopulmonary dysplasia,rnchopulmonaryo dypplasa,NO return
Bronchostenosis,rbodnchostnosis,NO return
