MRA_term,Modified_term,State
Acral lentiginous melanoma stage III,acra llentigibnou amelavoma tsage iiii,NO return
Acral lentiginous melanoma stage III,cral lhntigijnoas melaom stge iwi,NO return
Acral lentiginous melanoma stage IV,wacral lenitginsu meanom tage iv,NO return
Acral lentiginous melanoma stage IV,cral xlgentigindus meanoam stqage iv,NO return
Acral lentiginous melanoma stage IV,acrla leliigbinous melaoema sage iv,NO return
Acral lentiginous melanoma stage IV,acreal letnignuos muxlanoma sage iv,NO return
Acral lentiginous melanoma stage IV,avcral lencignouh melaqnom sage iv,NO return
Acrocephalosyndactyly,nacrocephlaozsndactylyo,NO return
Acrocephalosyndactyly,acorjefhalotynbactyly,NO return
Acrocephalosyndactyly,aqrocpholovmyndactyly,NO return
Acrocephalosyndactyly,acrocehasndactyl,NO return
Acrocephalosyndactyly,iacrocephaosodaytyly,NO return
Acrochordon,acozrchordoi,NO return
Acrochordon,achohodon,NO return
Acrochordon,ayrochodjn,NO return
Acrochordon,acrzochordpo,NO return
Acrochordon,caochordn,NO return
Acrodermatitis chronica atrophicans,acroqdemrbtitisz chrioca tnarophicansr,NO return
Acrodermatitis chronica atrophicans,acrodemratitcaisu honica atrpoxcians,NO return
Acrodermatitis chronica atrophicans,racoedrmmatitis croniac trophiansv,NO return
Acrodermatitis chronica atrophicans,acrrematitisn crhonwca tarophincas,NO return
Acrodermatitis chronica atrophicans,caroduematmitis hcrsnica atdrphican,NO return
Acrodermatitis enteropathica,carodevmaittiq enteprathiac,NO return
Acrodermatitis enteropathica,acreromatiis enetropkahhica,NO return
Acrodermatitis enteropathica,acrodueratis enteroptahbia,NO return
Acrodermatitis enteropathica,acrodereamtitxi enterzpatxihca,NO return
Acrodermatitis enteropathica,vcjodemrattiis enterolaxhicj,NO return
Actinic prurigo,actniii uprigo,NO return
Actinomycosis,actniomicsis,NO return
Actinomycosis,atinomycaorsis,NO return
Actinomycosis,actiomyycoqis,NO return
Actinomycosis,catniomycosics,NO return
Actinomycosis,aftioomcyosis,NO return
Actinomycotic abdominal infection,achnomycotci bdomsnal infciton,NO return
Actinomycotic abdominal infection,tatcinomycoic abmoinal infewctlon,NO return
Actinomycotic abdominal infection,aitpnomcotic abdeominla cinfectoin,NO return
Actinomycotic abdominal infection,actifnomsypcotic agbdmoinal infectmn,NO return
Actinomycotic abdominal infection,actimnycotic abyominmal xnfectino,NO return
Actinomycotic pulmonary infection,acinmouycotic plmonayr inmction,NO return
Actinomycotic pulmonary infection,acinogycitic pumnary iwndection,NO return
Actinomycotic pulmonary infection,actfinmycoti pmulonary inafevction,NO return
Actinomycotic pulmonary infection,actiznokecotic plumbonary ixnfeccion,NO return
Actinomycotic pulmonary infection,ucinomycbotic pulmzonray iynfectino,NO return
Actinomycotic skin infection,tacinomycoftic sikn inlectionx,NO return
Actinomycotic skin infection,aitcinomcotic skyin nection,NO return
Actinomycotic skin infection,acthinomycaitic skn infecnton,NO return
Actinomycotic skin infection,actinomyckica ksin ifectijon,NO return
Actinomycotic skin infection,catinomycotxmic sin inqectino,NO return
Activated partial thromboplastin time,acaivatd piartia hqromolastin tbime,NO return
Activated partial thromboplastin time,acivaed paroiam trhomrbolatin timx,NO return
Activated partial thromboplastin time,ativvated upertial thrimoboplasfni tim,NO return
Activated partial thromboplastin time,cactivategd aprtia thrmbodasrtin mtime,NO return
Activated partial thromboplastin time,acstiated aprtiaul htkomboiplabtin ime,NO return
Activated partial thromboplastin time abnormal,ativate partilla htrmobopaatin tidme abnormlay,NO return
Activated partial thromboplastin time abnormal,actzsivated paital thtrmboplstni ime abnormls,NO return
Activated partial thromboplastin time abnormal,activaqtey prial rhmboplashin tiime abnowrmla,NO return
Activated partial thromboplastin time abnormal,activtzed pvartialj thrumsbpolasin tme abnormut,NO return
Activated partial thromboplastin time abnormal,bctmvated paxial tcqrombopalstian tiem abznomrmal,NO return
Activated partial thromboplastin time normal,activatre pairtila imhromboplzastgin tiie nolal,NO return
Activated partial thromboplastin time normal,actcgvated apwtial ivhrombopostin tzime normmay,NO return
Activated partial thromboplastin time normal,auctivatde anrtial throbolsatlin timeb nogrmah,NO return
Activated partial thromboplastin time normal,actikvafted partli rthomhoplasti itme nrmhal,NO return
Activated partial thromboplastin time normal,actqixvated prial hsombopastni itme noramf,NO return
Activated partial thromboplastin time prolonged,achtivatfd patia tyhrombpylastfn tie prlovnged,NO return
Activated partial thromboplastin time prolonged,csivated paritanl uthoxmboplasutin timge xrblonged,NO return
Activated partial thromboplastin time prolonged,acitvatde partiha tombolstin tme poronged,NO return
Activated partial thromboplastin time prolonged,autivatede parxtail thrmopolastir tie prloongbd,NO return
Activated partial thromboplastin time prolonged,atgvated pargtiabl ihrdoxbopilastin tie proglonegd,NO return
Activated partial thromboplastin time shortened,actizvjated apreial trhoambpllastin twime syhortzened,NO return
Activated partial thromboplastin time shortened,activtwd pwrtil thrmombosltin ttime shwortkened,NO return
Activated partial thromboplastin time shortened,actviatsd patril thgromiboplostn itme sorteend,NO return
Activated partial thromboplastin time shortened,ativatew parisl htrdombgopastin ime hsortende,NO return
Activated partial thromboplastin time shortened,acizvated paial dthrmbuophastin tme shorteedn,NO return
Acupuncture,acuupncuter,NO return
Acupuncture,gacupunstpre,NO return
Acupuncture,acupsunctubr,NO return
Acupuncture,cpupuincture,NO return
Acupuncture,acupntcugre,NO return
Acute disseminated encephalomyelitis,acutd disskemiatde encealmylitis,NO return
Acute disseminated encephalomyelitis,actue dikemintaed encephaolmyeliixts,NO return
Acute disseminated encephalomyelitis,acutf diseysminaned ecnephromyelities,NO return
Acute disseminated encephalomyelitis,acte dybsexinated encehloomyelilis,NO return
Acute disseminated encephalomyelitis,acyte diseimqnated enecpabmyelitis,NO return
Acute febrile neutrophilic dermatosis,caute fbrie neruutrophilqic ldfrmatosis,NO return
Acute febrile neutrophilic dermatosis,caute aebrise neutronphihi dermatosjic,NO return
Acute febrile neutrophilic dermatosis,aucte febrli neuyrolphlic udermatogis,NO return
Acute febrile neutrophilic dermatosis,actue febijle nutrophli edrmatois,NO return
Acute febrile neutrophilic dermatosis,acte febrriwe enurtophilc dematodsis,NO return
Acute lymphocytic leukaemia,acut lymphoyotirc lkaukaemia,NO return
Acute lymphocytic leukaemia,acue lgmhoctyic leulaeima,NO return
Acute lymphocytic leukaemia,avcute lmmyphoctic leiukasmia,NO return
Acute lymphocytic leukaemia,acuste limphoctip lebkaemai,NO return
Acute lymphocytic leukaemia,acte lyqmhocyti lqyukaemia,NO return
Acute lymphocytic leukaemia (in remission),cute limhcytic leuskaemai in remissitno,NO return
Acute lymphocytic leukaemia (in remission),acte lymsphovytio lecukagmia in rgemissoin,NO return
Acute lymphocytic leukaemia (in remission),caute hyrmhocytic leuameia in remissinh,NO return
Acute lymphocytic leukaemia (in remission),acue lymithpocytic leuakaemai in remtsson,NO return
Acute lymphocytic leukaemia (in remission),acuet lmympzhocytci leukamea in sremissoin,NO return
Acute megakaryocytic leukaemia,cute megarkaroeycytc leukzremia,NO return
Acute megakaryocytic leukaemia,acte merakaroyctyci leukayia,NO return
Acute megakaryocytic leukaemia,acuhe megaekryocmlic lequakemia,NO return
Acute megakaryocytic leukaemia,gacute egakrocytyc lxukaeuia,NO return
Acute megakaryocytic leukaemia,aute meatkdaryopcytic lsukaeia,NO return
Acute myelomonocytic leukaemia,aucute myleomvnuocyitc lefkakemia,NO return
Acute myelomonocytic leukaemia,aute myleomzonbcyteic lmeukarmia,NO return
Acute myelomonocytic leukaemia,auute myojmonocytci keuoaemia,NO return
Acute myelomonocytic leukaemia,actue ymeouoncytic fukaemia,NO return
Acute myelomonocytic leukaemia,caute yhelomonsjytic lekuaeia,NO return
Acute promyelocytic leukaemia,aucte pqromyvlocvytic leumkaemua,NO return
Acute promyelocytic leukaemia,sacute promnloyctic lekuaemib,NO return
Acute promyelocytic leukaemia,actue promsylocytci lenuaemia,NO return
Acute promyelocytic leukaemia,aucte pomyeocyutic ljmukaemia,NO return
Acute promyelocytic leukaemia,acume rpdmyeloctyic elcukaemia,NO return
Acute pulmonary histoplasmosis,aucte pumnoary pjtsoplasmosi,NO return
Acute pulmonary histoplasmosis,acupte dulmonjry eirtoplagqosis,NO return
Acute pulmonary histoplasmosis,acuhte pnlmocary hiyotpjlasmojsis,NO return
Acute pulmonary histoplasmosis,acut pimlmonary istsoplakmsois,NO return
Acute pulmonary histoplasmosis,acue pulmornay hibtplajmomis,NO return
Acute respiratory distress syndrome,cacute rehpirtoyr dstreus synjdome,NO return
Acute respiratory distress syndrome,pcute fesiratpory disres ssndsrome,NO return
Acute respiratory distress syndrome,actute respramoy dstryess ydnrome,NO return
Acute respiratory distress syndrome,acutm resipracor fdistrses ynfrome,NO return
Acute respiratory distress syndrome,accte rrefspiratroy ndilstress sxyndromce,NO return
Acute respiratory failure,accute rspiratdroy faliuer,NO return
Acute respiratory failure,acutes repdipatory failuqer,NO return
Acute respiratory failure,acmte respdzaqory faileur,NO return
Acute respiratory failure,eacute respiraprty foiluje,NO return
Acute respiratory failure,acutv resipratjyr faieture,NO return
Adenocarcinoma,adanarcinma,NO return
Adenocarcinoma,aedmocarclnmoa,NO return
Adenocarcinoma,adentocarcgicoa,NO return
Adenocarcinoma,avejnocarcidma,NO return
Adenocarcinoma,adenkonarccinolma,NO return
Adenocarcinoma gastric,ladenhcparcinoa ggasqtric,NO return
Adenocarcinoma gastric,aeeeacarciynoma gtric,NO return
Adenocarcinoma gastric,daeqncoarciioma gasrtiec,NO return
Adenocarcinoma gastric,aeocaarxinoma gatsrioc,NO return
Adenocarcinoma gastric,daenaocrcinma gantrc,NO return
Adenocarcinoma of colon,avenocacngoma of colo,NO return
Adenocarcinoma of colon,aenocactrinma of colo,NO return
Adenocarcinoma of colon,adenhocvrcnioa of colno,NO return
Adenocarcinoma of colon,vdenwscarciroma of clon,NO return
Adenocarcinoma of colon,akdnocdarcinoa of coln,NO return
Adenocarcinoma of the cervix,adencrgarciznoma of wthe cerx,NO return
Adenocarcinoma of the cervix,adlenocuartinoyma of tke crveix,NO return
Adenocarcinoma of the cervix,adenoaczcnmoa of hte ervx,NO return
Adenocarcinoma of the cervix,adsencoarcionmy of hte celix,NO return
Adenocarcinoma of the cervix,aydeoncgrcinoxma of th cervbxi,NO return
Adenoidal hypertrophy,amdenoidan hypevrropuy,NO return
Adenoidal hypertrophy,abenoipdal hypertrpxyh,NO return
Adenoidal hypertrophy,awenodal hyxprtophy,NO return
Adenoidal hypertrophy,aenoidl hxertropht,NO return
Adenoidal hypertrophy,aenodal yhvperetrophy,NO return
Adenoidectomy,adecoiectogy,NO return
Adenoidectomy,adnodiectmy,NO return
Adenoidectomy,adenonidlectmy,NO return
Adenoidectomy,adpnoidecmomyd,NO return
Adenoidectomy,eansidectomy,NO return
Adenoma benign,andoma nign,NO return
Adenosquamous carcinoma of the cervix,denogsuamous carvioma of he crevi,NO return
Adenosquamous carcinoma of the cervix,adenoiwquamousu cacrinomaa of thye creivx,NO return
Adenosquamous carcinoma of the cervix,adbonsquamou tarcionma of tie cveix,NO return
Adenosquamous carcinoma of the cervix,adenoskquamsou cajcinomua of he ecrivx,NO return
Adenosquamous carcinoma of the cervix,adeosgquaomus carcniwma of hte creivx,NO return
Adenosquamous cell lung cancer,daenoqiamous celzl lkng caazncer,NO return
Adenosquamous cell lung cancer,sdevnosquamus ecll lng anfcer,NO return
Adenosquamous cell lung cancer,vdenesquamoux cellm lhung cafncez,NO return
Adenosquamous cell lung cancer,adeonsqufamos cetl lungr canelr,NO return
Adenosquamous cell lung cancer,ltenorsquamous cele ylung cacnre,NO return
Adenosquamous cell lung cancer recurrent,adeonsiuxmous clel ulng caqcre ercurent,NO return
Adenosquamous cell lung cancer recurrent,adedosqumos ceil lunc caqcr rceurment,NO return
Adenosquamous cell lung cancer recurrent,adeosquwamou celw wung cener reucrrnet,NO return
Adenosquamous cell lung cancer recurrent,adenoscuamfws ceml lugn aner recrret,NO return
Adenosquamous cell lung cancer recurrent,adneosquumaous clel ung acucer rsecubrent,NO return
Adenosquamous cell lung cancer stage 0,adenoquamopsu ceel elung canor staeg 0,NO return
Adenosquamous cell lung cancer stage 0,adurneosquamous cehll ulng cncre spage 0,NO return
Adenosquamous cell lung cancer stage 0,aqenossquzmous clel luhg acner stagwe 0,NO return
Adenosquamous cell lung cancer stage 0,adenoqswufmous cel lnug cabner stabe 0,NO return
Adenosquamous cell lung cancer stage 0,daensouamous ecll lungs anced tsage 0,NO return
Adenosquamous cell lung cancer stage I,adenoscqamouk cll lutng cancu stgae i,NO return
Adenosquamous cell lung cancer stage I,adenosquarue celi lun cavce satge i,NO return
Adenosquamous cell lung cancer stage I,aednosqamoys cel lun clandcer staeg i,NO return
Adenosquamous cell lung cancer stage I,adenosyuwmsous cull lupg cacery staeg i,NO return
Adenosquamous cell lung cancer stage I,adenosiamuos cel ung ncer staeg i,NO return
Adenosquamous cell lung cancer stage II,adenoskqumafus cesll jlung calcre smtage ii,NO return
Adenosquamous cell lung cancer stage II,denoswnuamous cll lupg aencer stahe ii,NO return
Adenosquamous cell lung cancer stage II,adenoskgxmous qcell lng canucerd stagm ii,NO return
Adenosquamous cell lung cancer stage II,adeosqgamuos cebl luns acner stgae ii,NO return
Adenosquamous cell lung cancer stage II,aedogquamous zell lgng caccr stgae ii,NO return
Adenosquamous cell lung cancer stage III,adenposqzuamlous celd lun caher stgae isii,NO return
Adenosquamous cell lung cancer stage III,adenostoamosu czll lgng caicr stawe itii,NO return
Adenosquamous cell lung cancer stage III,adeonsquuramous ecll lnug cacr istage bii,NO return
Adenosquamous cell lung cancer stage III,adenlqsuamus celc lunc qacner satge oiii,NO return
Adenosquamous cell lung cancer stage III,aednposquamosu ceqll lugn mcancekr ystage aii,NO return
Adenosquamous cell lung cancer stage IV,adensoqumarous cefl lukng canpr staeg iv,NO return
Adenosquamous cell lung cancer stage IV,apdenosoquamus coell lnug caney sage iv,NO return
Adenosquamous cell lung cancer stage IV,adnoesqaumous sell ung lanceq stgae iv,NO return
Adenosquamous cell lung cancer stage IV,daenosquasodus cll lun cyncew utage iv,NO return
Adenosquamous cell lung cancer stage IV,adehnoqumous cel luung canrced stge iv,NO return
Adenotonsillectomy,adeotnosliletomy,NO return
Adenotonsillectomy,denootnslilelctomy,NO return
Adenotonsillectomy,adenconsillenomy,NO return
Adenotonsillectomy,badenoonsilleclom,NO return
Adenotonsillectomy,adcenbotbnsillectmoy,NO return
Adenoviral conjunctivitis,adeonvrial cbxnjunctivyytis,NO return
Adenoviral conjunctivitis,aodbenoviral ocnujnctvitir,NO return
Adenoviral conjunctivitis,adenovoiralg conjucitetis,NO return
Adenoviral conjunctivitis,adenavira cnjuncitvtiisz,NO return
Adenoviral conjunctivitis,denovirhl cojuntcijvistis,NO return
Adenoviral upper respiratory infection,adenodirl puper repiratyr icfetcion,NO return
Adenoviral upper respiratory infection,uadneoviral upger respirbaoryl nifectiwn,NO return
Adenoviral upper respiratory infection,adenovirblw upperu erspiraotyr infqotion,NO return
Adenoviral upper respiratory infection,aenviral pper resiraforu nifecton,NO return
Adenoviral upper respiratory infection,adenfpviral pper respratoh infertino,NO return
Adjustment disorder with depressed mood,adjutfsment diuordker wfth deoresed modo,NO return
Adjustment disorder with disturbance of conduct,adjustme disohjrder wiwth distuxbrlance of conxdjct,NO return
Adjustment disorder with disturbance of conduct,adjustmetq dwsordr wiht deistrbaqce of ocndsuct,NO return
Adjustment disorder with disturbance of conduct,akdjusnment disordrz lith vdisturbac of condgnct,NO return
Adjustment disorder with disturbance of conduct,dajustmynt idsroder wth disgtubralce of coxdqct,NO return
Adjustment disorder with disturbance of conduct,adjustmne idosrder wtih dsturpbanfe of ocndut,NO return
Adjustment disorder with mixed anxiety and depressed mood,adjutsmen dsiordmr withj mxied anxoeity andi eudpressed meod,NO return
Adjustment disorder with mixed disturbance of emotion and conduct,adjpstmuent disprdre wiht ixed dissubvance of emotnoo adn coyuct,NO return
