MRA_term,Modified_term,ChangedBack,SearcherReturned_term,State,Rank
Anal skin tags,anal peel tags,anal peel tags,Renal cell carcinoma stage IV,Unmatched,4th
Anger,choler,choler,Sydenham's chorea,Unmatched,4th
Anger,ire,ire,Hyper IgE syndrome,Unmatched,4th
Anger,choleric,choleric,Cholera immunisation,Unmatched,4th
Anger,wrath,wrath,Death neonatal,Unmatched,4th
Anger,ira,ira,Type IIa hyperlipidaemia,Unmatched,4th
Angiotensin II,angiotensin 2,angiotensin 2,Angiotensin I increased,Unmatched,4th
Animal bite,beast bite,beast bite,Heart rate increased,Unmatched,4th
Animal scratch,animal start,animal start,Anal cancer stage III,Unmatched,4th
Animal scratch,animal cancel,animal cancel,Anal cancer stage 0,Unmatched,4th
Animal scratch,animal scar,animal scar,Anomaly of external ear congenital,Unmatched,4th
Anion gap,anion col,anion col,Non-renal cell carcinoma of kidney,Unmatched,4th
Apathy,numb,numb,Limb deformity,Unmatched,4th
Apathy,indifference,indifference,Blood pressure difference of extremities,Unmatched,4th
Apolipoprotein A-II,apolipoprotein a 2,apolipoprotein a 2,Apolipoprotein A-I decreased,Unmatched,4th
Arterial rupture,arterial bust,arterial bust,Bacterial test negative,Unmatched,4th
Arterial rupture,arterial tear,arterial tear,Arterial segmental pressure test,Unmatched,4th
Arterial thrombosis,artery thrombosis,artery thrombosis,Coronary artery thrombosis,Unmatched,4th
Aspiration,inhalation,inhalation,Respiratory fume inhalation disorder,Unmatched,4th
Aspiration,intake,intake,Excessive dietary supplement intake,Unmatched,4th
Aspiration,inhale,inhale,Excessive dietary supplement intake,Unmatched,4th
Aspiration,aspire,aspire,Electrocardiogram pacemaker spike,Unmatched,4th
Aspiration,dream,dream,Deaf mutism,Unmatched,4th
Aspiration,aspirate,aspirate,Aspartate aminotransferase decreased,Unmatched,4th
Asthma,asthmatic,asthmatic,Acute post asthmatic amyotrophy,Unmatched,4th
Ataxia,atactic,atactic,Blood lactic acid abnormal,Unmatched,4th
Atrophy,wasting,wasting,Potassium wasting nephropathy,Unmatched,4th
Atrophy,wither,wither,Miller Fisher syndrome,Unmatched,4th
Aura,air,air,Air anion therapy,Unmatched,4th
Aura,halo,halo,Fall,Unmatched,4th
Aura,glory,glory,Disorder of globe,Unmatched,4th
Azotaemia,uremia,uremia,Uraemic acidosis,Unmatched,4th
Azotaemia,uremic,uremic,Uraemic encephalopathy,Unmatched,4th
Azotaemia,uraemia,uraemia,Uraemic acidosis,Unmatched,4th
Azotaemia,uraemic,uraemic,Uraemic encephalopathy,Unmatched,4th
B-cell lymphoma stage II,b cell lymphoma stage 2,b cell lymphoma stage 2,Cutaneous T-cell lymphoma stage I,Unmatched,4th
B-cell lymphoma stage III,b cell lymphoma stage 3,b cell lymphoma stage 3,Cutaneous T-cell lymphoma stage I,Unmatched,4th
B-cell lymphoma stage IV,b cell lymphoma stage 4,b cell lymphoma stage 4,Cutaneous T-cell lymphoma stage I,Unmatched,4th
Back disorder,punt disorder,punt disorder,Post-traumatic amnestic disorder,Unmatched,4th
Back disorder,spinal disorder,spinal disorder,Spinal vascular disorder,Unmatched,4th
Back disorder,bind disorder,bind disorder,Bone metabolism disorder,Unmatched,4th
Back disorder,game disorder,game disorder,Respiratory fume inhalation disorder,Unmatched,4th
Back disorder,gage disorder,gage disorder,Respiratory gas exchange disorder,Unmatched,4th
Back disorder,rear disorder,rear disorder,External ear disorder,Unmatched,4th
Back disorder,gaming disorder,gaming disorder,Eating disorder symptom,Unmatched,4th
Back disorder,hind disorder,hind disorder,Chronic kidney disease-mineral and bone disorder,Unmatched,4th
Back disorder,spine disorder,spine disorder,Congenital skin disorder,Unmatched,4th
Back injury,punt injury,punt injury,Transfusion-related acute lung injury,Unmatched,4th
Back injury,spinal injury,spinal injury,Spinal cord injury lumbar,Unmatched,4th
Back injury,rear injury,rear injury,Renal injury,Unmatched,4th
Back injury,cover injury,cover injury,Traumatic liver injury,Unmatched,4th
Back injury,spine injury,spine injury,Catheter site injury,Unmatched,4th
Back injury,back wound,back wound,Bone marrow band neutrophil count increased,Unmatched,4th
Back pain,punt pain,punt pain,Post procedural persistent drain fluid,Unmatched,4th
Back pain,bind pain,bind pain,Hyperintensity in brain deep nuclei,Unmatched,4th
Back pain,game pain,game pain,Genital cancer male in situ,Unmatched,4th
Back pain,gage pain,gage pain,"Bladder cancer stage 0, without cancer in situ",Unmatched,4th
Back pain,rear pain,rear pain,Red man syndrome,Unmatched,4th
Back pain,stake pain,stake pain,"Bladder cancer stage I, with cancer in situ",Unmatched,4th
Back pain,dorsal pain,dorsal pain,Portal vein stenosis,Unmatched,4th
Back pain,hind pain,hind pain,Acute graft versus host disease in skin,Unmatched,4th
Back pain,spine pain,spine pain,Injection site pain,Unmatched,4th
Back pain,back infliction,back infliction,Chronic active Epstein-Barr virus infection,Unmatched,4th
Back pain,back ail,back ail,Testicular yolk sac tumour stage III,Unmatched,4th
Bankruptcy,failure,failure,Hepatorenal failure,Unmatched,4th
Bankruptcy,fail,fail,Ingrowing nail,Unmatched,4th
Barium meal,Ba meal,ba meal,B-cell lymphoma refractory,Unmatched,4th
Barrel chest,drum chest,drum chest,Genotype drug resistance test positive,Unmatched,4th
Barrel chest,cask chest,cask chest,JC virus CSF test positive,Unmatched,4th
Barrel chest,bbl chest,bbl chest,Parvovirus B19 test positive,Unmatched,4th
Belligerence,aggressive,aggressive,Non-Hodgkin's lymphoma unspecified histology aggressive recurrent,Unmatched,4th
Bereavement,mourn,mourn,Mouth haemorrhage,Unmatched,4th
Bereavement,mourning,mourning,Burning sensation,Unmatched,4th
Biliary fibrosis,bile fibrosis,bile fibrosis,Catheter site fibrosis,Unmatched,4th
Biliary neoplasm,bile neoplasm,bile neoplasm,Benign male reproductive tract neoplasm,Unmatched,4th
Binge eating,binge rust,binge rust,Bile duct cancer,Unmatched,4th
Biopsy bone,biopsy pearl,biopsy pearl,Biopsy heart normal,Unmatched,4th
Biopsy bone abnormal,biopsy pearl abnormal,biopsy pearl abnormal,Biopsy ear abnormal,Unmatched,4th
Biopsy bone normal,biopsy pearl normal,biopsy pearl normal,Biopsy ear abnormal,Unmatched,4th
Biopsy brain,biopsy wit,biopsy wit,Biopsy site unspecified abnormal,Unmatched,4th
Biopsy brain,biopsy head,biopsy head,Biopsy heart normal,Unmatched,4th
Biopsy brain abnormal,biopsy wit abnormal,biopsy wit abnormal,Biopsy site unspecified normal,Unmatched,4th
Biopsy brain abnormal,biopsy head abnormal,biopsy head abnormal,Biopsy ear abnormal,Unmatched,4th
Biopsy brain normal,biopsy wit normal,biopsy wit normal,Biopsy site unspecified normal,Unmatched,4th
Biopsy brain normal,biopsy head normal,biopsy head normal,Biopsy ear abnormal,Unmatched,4th
Biopsy breast,biopsy boob,biopsy boob,Biopsy bone normal,Unmatched,4th
Biopsy breast,biopsy tit,biopsy tit,Biopsy site unspecified abnormal,Unmatched,4th
Biopsy breast abnormal,biopsy boob abnormal,biopsy boob abnormal,Biopsy bone marrow normal,Unmatched,4th
Biopsy breast abnormal,biopsy tit abnormal,biopsy tit abnormal,Biopsy site unspecified normal,Unmatched,4th
Biopsy breast normal,biopsy boob normal,biopsy boob normal,Biopsy bone marrow normal,Unmatched,4th
Biopsy breast normal,biopsy tit normal,biopsy tit normal,Biopsy site unspecified normal,Unmatched,4th
Biopsy heart,biopsy fond,biopsy fond,Biopsy bone normal,Unmatched,4th
Biopsy heart,biopsy pith,biopsy pith,Needle biopsy site unspecified normal,Unmatched,4th
Biopsy heart,biopsy nub,biopsy nub,Biopsy fallopian tube,Unmatched,4th
Biopsy heart,biopsy core,biopsy core,Biopsy bone marrow,Unmatched,4th
Biopsy heart,biopsy warm,biopsy warm,Biopsy abdominal wall,Unmatched,4th
Biopsy heart abnormal,biopsy fond abnormal,biopsy fond abnormal,Biopsy bone marrow normal,Unmatched,4th
Biopsy heart abnormal,biopsy pith abnormal,biopsy pith abnormal,Needle biopsy site unspecified normal,Unmatched,4th
Biopsy heart abnormal,biopsy nub abnormal,biopsy nub abnormal,Biopsy fallopian tube normal,Unmatched,4th
Biopsy heart abnormal,biopsy core abnormal,biopsy core abnormal,Biopsy cornea normal,Unmatched,4th
Biopsy heart abnormal,biopsy warm abnormal,biopsy warm abnormal,Biopsy abdominal wall normal,Unmatched,4th
Biopsy heart normal,biopsy fond normal,biopsy fond normal,Biopsy bone marrow normal,Unmatched,4th
Biopsy heart normal,biopsy pith normal,biopsy pith normal,Needle biopsy site unspecified normal,Unmatched,4th
Biopsy heart normal,biopsy nub normal,biopsy nub normal,Biopsy fallopian tube normal,Unmatched,4th
Biopsy heart normal,biopsy core normal,biopsy core normal,Biopsy cornea normal,Unmatched,4th
Biopsy heart normal,biopsy warm normal,biopsy warm normal,Biopsy abdominal wall normal,Unmatched,4th
Biopsy muscle,biopsy sinew,biopsy sinew,Needle biopsy site unspecified normal,Unmatched,4th
Biopsy muscle abnormal,biopsy sinew abnormal,biopsy sinew abnormal,Needle biopsy site unspecified normal,Unmatched,4th
Biopsy muscle normal,biopsy sinew normal,biopsy sinew normal,Needle biopsy site unspecified normal,Unmatched,4th
Biopsy skin,biopsy hide,biopsy hide,Biopsy bile duct abnormal,Unmatched,4th
Biopsy skin abnormal,biopsy hide abnormal,biopsy hide abnormal,Biopsy bile duct normal,Unmatched,4th
Biopsy skin normal,biopsy hide normal,biopsy hide normal,Biopsy bile duct normal,Unmatched,4th
Biopsy stomach,biopsy stand,biopsy stand,Biopsy salivary gland,Unmatched,4th
Biopsy stomach,biopsy bear,biopsy bear,Biopsy heart normal,Unmatched,4th
Biopsy stomach abnormal,biopsy stand abnormal,biopsy stand abnormal,Biopsy lymph gland normal,Unmatched,4th
Biopsy stomach abnormal,biopsy bear abnormal,biopsy bear abnormal,Biopsy ear abnormal,Unmatched,4th
Biopsy stomach normal,biopsy stand normal,biopsy stand normal,Biopsy lymph gland normal,Unmatched,4th
Biopsy stomach normal,biopsy bear normal,biopsy bear normal,Biopsy ear abnormal,Unmatched,4th
Biopsy testes,biopsy nut,biopsy nut,Biopsy bile duct,Unmatched,4th
Biopsy testes,biopsy ball,biopsy ball,Biopsy small intestine abnormal,Unmatched,4th
Biopsy testes abnormal,biopsy nut abnormal,biopsy nut abnormal,Biopsy bile duct normal,Unmatched,4th
Biopsy testes abnormal,biopsy ball abnormal,biopsy ball abnormal,Biopsy small intestine abnormal,Unmatched,4th
Biopsy testes normal,biopsy nut normal,biopsy nut normal,Biopsy bile duct normal,Unmatched,4th
Biopsy testes normal,biopsy ball normal,biopsy ball normal,Biopsy small intestine abnormal,Unmatched,4th
Biopsy tongue,biopsy spit,biopsy spit,Biopsy soft tissue,Unmatched,4th
Biopsy tongue abnormal,biopsy spit abnormal,biopsy spit abnormal,Biopsy site unspecified normal,Unmatched,4th
Biopsy tongue normal,biopsy spit normal,biopsy spit normal,Biopsy site unspecified normal,Unmatched,4th
Biotin deficiency,vitamin_H deficiency,vitamin_h deficiency,Vitamin B12 deficiency,Unmatched,4th
Birth mark,birth sign,birth sign,Membranous-like glomerulopathy with masked IgG-kappa deposits,Unmatched,4th
Birth mark,birth brand,birth brand,Adjustment disorder with mixed disturbance of emotion and conduct,Unmatched,4th
Birth trauma,birth injure,birth injure,XIIth nerve injury,Unmatched,4th
Birth trauma,birth injury,birth injury,XIIth nerve injury,Unmatched,4th
Bisexuality,androgenous,androgenous,Androgens decreased,Unmatched,4th
Bisexuality,bisexual,bisexual,Sexual aversion disorder,Unmatched,4th
Bisexuality,androgyny,androgyny,Androgens decreased,Unmatched,4th
Bite,morsel,morsel,Dorsal ramus syndrome,Unmatched,4th
Bite,sting,sting,Allergy to arthropod sting,Unmatched,4th
Bite,burn,burn,Burn operation,Unmatched,4th
Bite,prick,prick,PRIDE syndrome,Unmatched,4th
Bite,collation,collation,Chelation therapy,Unmatched,4th
Bite,snack,snack,Cardiogenic shock,Unmatched,4th
Bite,racy,racy,X-ray gastrointestinal tract normal,Unmatched,4th
Bite,chomp,chomp,Writer's cramp,Unmatched,4th
Bite,stinger,stinger,Finger deformity,Unmatched,4th
Bladder cancer stage II,bladder cancer stage 2,bladder cancer stage 2,"Bladder cancer stage I, without cancer in situ",Unmatched,4th
Bladder cancer stage III,bladder cancer stage 3,bladder cancer stage 3,"Bladder cancer stage I, without cancer in situ",Unmatched,4th
Bladder cancer stage IV,bladder cancer stage 4,bladder cancer stage 4,"Bladder cancer stage I, without cancer in situ",Unmatched,4th
Bladder pain,bladder ail,bladder ail,Bladder transitional cell carcinoma stage III,Unmatched,4th
Bladder repair,bladder fix,bladder fix,Bladder cancer stage II,Unmatched,4th
Bleeding time,run time,run time,X-ray limb normal,Unmatched,4th
Blindness,blind,blind,Blood antimony,Unmatched,4th
Blindness,cecity,cecity,Thoracic cavity drainage,Unmatched,4th
Blister,bulla,bulla,Biopsy vulva,Unmatched,4th
Blister,blebby,blebby,Conjunctival filtering bleb leak,Unmatched,4th
Blister,scald,scald,Karnofsky scale improved,Unmatched,4th
Blister,bleb,bleb,Conjunctival filtering bleb leak,Unmatched,4th
Blister,whip,whip,Hip surgery,Unmatched,4th
Blister,vesication,vesication,Medication dilution,Unmatched,4th
Blister,vesicate,vesicate,Biopsy seminal vesicle,Unmatched,4th
Blood aluminium,blood Al,blood al,Blood group A,Unmatched,4th
Blood aluminium decreased,blood Al decreased,blood al decreased,Blood 25-hydroxycholecalciferol decreased,Unmatched,4th
Blood aluminium increased,blood Al increased,blood al increased,Blood 25-hydroxycholecalciferol decreased,Unmatched,4th
Blood antimony,rip antimony,rip antimony,Anti-RNA polymerase III antibody,Unmatched,4th
Blood antimony,roue antimony,roue antimony,Human anti-mouse antibody increased,Unmatched,4th
Blood antimony,blood Sb,blood sb,Blood group AB,Unmatched,4th
Blood antimony decreased,blood Sb decreased,blood sb decreased,Blood creatine phosphokinase BB increased,Unmatched,4th
Blood antimony increased,blood Sb increased,blood sb increased,Blood creatine phosphokinase BB increased,Unmatched,4th
Blood arsenic increased,blood As increased,blood as increased,Blood 25-hydroxycholecalciferol decreased,Unmatched,4th
Blood beryllium,blood Be,blood be,Blood beta-D-glucan,Unmatched,4th
Blood beryllium,blood glucinium,blood glucinium,Blood aluminium increased,Unmatched,4th
Blood beryllium decreased,blood Be decreased,blood be decreased,Blood beta-D-glucan increased,Unmatched,4th
Blood beryllium increased,blood Be increased,blood be increased,Blood beta-D-glucan increased,Unmatched,4th
Blood blister,blood whip,blood whip,Blood HIV RNA fluctuation,Unmatched,4th
Blood cadmium,blood Cd,blood cd,Blood acid phosphatase decreased,Unmatched,4th
Blood cadmium decreased,blood Cd decreased,blood cd decreased,Blood lactic acid increased,Unmatched,4th
Blood cadmium increased,blood Cd increased,blood cd increased,Blood lactic acid increased,Unmatched,4th
Blood cadmium normal,blood Cd normal,blood cd normal,Blood lactic acid normal,Unmatched,4th
Blood calcium,blood Ca,blood ca,Blood group A,Unmatched,4th
Blood calcium decreased,blood Ca decreased,blood ca decreased,Blood 25-hydroxycholecalciferol decreased,Unmatched,4th
Blood calcium increased,blood Ca increased,blood ca increased,Blood 25-hydroxycholecalciferol decreased,Unmatched,4th
Blood chromium,blood Cr,blood cr,Blood group AB,Unmatched,4th
Blood copper,blood Cu,blood cu,Blood group AB,Unmatched,4th
Blood copper,blood cupric,blood cupric,Blood uric acid increased,Unmatched,4th
Blood copper,blood pig,blood pig,Blood HIV RNA fluctuation,Unmatched,4th
Blood copper,blood bull,blood bull,White blood cell scan,Unmatched,4th
Blood copper abnormal,blood cupric abnormal,blood cupric abnormal,Blood citric acid normal,Unmatched,4th
Blood copper abnormal,blood bull abnormal,blood bull abnormal,White blood cell count normal,Unmatched,4th
Blood copper decreased,blood cupric decreased,blood cupric decreased,Blood citric acid decreased,Unmatched,4th
Blood copper decreased,blood bull decreased,blood bull decreased,White blood cell count increased,Unmatched,4th
Blood copper increased,blood cupric increased,blood cupric increased,Blood citric acid decreased,Unmatched,4th
Blood copper increased,blood bull increased,blood bull increased,White blood cell count increased,Unmatched,4th
Blood copper normal,blood cupric normal,blood cupric normal,Blood citric acid normal,Unmatched,4th
Blood copper normal,blood bull normal,blood bull normal,White blood cell count normal,Unmatched,4th
Blood corticotrophin,blood ACTH,blood acth,Blood acid phosphatase decreased,Unmatched,4th
Blood corticotrophin abnormal,blood ACTH abnormal,blood acth abnormal,Blood lactic acid normal,Unmatched,4th
Blood corticotrophin decreased,blood ACTH decreased,blood acth decreased,Blood lactic acid increased,Unmatched,4th
Blood corticotrophin increased,blood ACTH increased,blood acth increased,Blood lactic acid increased,Unmatched,4th
Blood corticotrophin normal,blood ACTH normal,blood acth normal,Blood lactic acid normal,Unmatched,4th
Blood culture,line culture,line culture,Vascular access site rupture,Unmatched,4th
Blood cyanide,blood nitril,blood nitril,Blood citric acid abnormal,Unmatched,4th
Blood donor,blood presenter,blood presenter,Blood methaemoglobin present,Unmatched,4th
Blood donor,blood give,blood give,Blood HIV RNA fluctuation,Unmatched,4th
Blood donor,blood present,blood present,Blood methaemoglobin present,Unmatched,4th
Blood gases,line gases,line gases,Implant site mass,Unmatched,4th
Blood gases,blood vaunt,blood vaunt,Blood count abnormal,Unmatched,4th
Blood gases,blood tout,blood tout,Blood test normal,Unmatched,4th
Blood gases,blood gun,blood gun,Blood immunoglobulin G increased,Unmatched,4th
Blood gases,blood blow,blood blow,Blood HCV RNA below assay limit,Unmatched,4th
Blood gases,blood brag,blood brag,Antemortem blood drug level normal,Unmatched,4th
Blood gases abnormal,blood vaunt abnormal,blood vaunt abnormal,Full blood count normal,Unmatched,4th
Blood gases abnormal,blood tout abnormal,blood tout abnormal,Blood count abnormal,Unmatched,4th
Blood gases abnormal,blood brag abnormal,blood brag abnormal,Postmortem blood drug level abnormal,Unmatched,4th
Blood gases normal,blood vaunt normal,blood vaunt normal,Full blood count normal,Unmatched,4th
Blood gases normal,blood tout normal,blood tout normal,Blood count abnormal,Unmatched,4th
Blood gases normal,blood brag normal,blood brag normal,Postmortem blood drug level abnormal,Unmatched,4th
Blood group A,rip group a,rip group a,HIV infection CDC Group IV subgroup D,Unmatched,4th
Blood group B,rip group b,rip group b,HIV infection CDC Group IV subgroup D,Unmatched,4th
Blood group O,rip group o,rip group o,HIV infection CDC Group IV subgroup D,Unmatched,4th
Blood grouping,blood aggroup,blood aggroup,Blood group O,Unmatched,4th
Blood grouping,blood group,blood group,Blood group O,Unmatched,4th
Blood immunoglobulin G abnormal,bloody immunoglobulin g abnormal,bloody immunoglobulin g abnormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin G abnormal,blood immune_globulin g abnormal,blood immune_globulin g abnormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin G abnormal,blood immunoglobulin M abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin G abnormal,blood immunoglobulin G abnormal,blood immunoglobulin g abnormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin G abnormal,blood immunoglobulin K abnormal,blood immunoglobulin k abnormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin G decreased,bloody immunoglobulin g decreased,bloody immunoglobulin g decreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin G decreased,blood immune_globulin g decreased,blood immune_globulin g decreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin G decreased,blood immunoglobulin M decreased,blood immunoglobulin m decreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin G decreased,blood immunoglobulin G decreased,blood immunoglobulin g decreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin G decreased,blood immunoglobulin K decreased,blood immunoglobulin k decreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin G increased,bloody immunoglobulin g increased,bloody immunoglobulin g increased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin G increased,blood immune_globulin g increased,blood immune_globulin g increased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin G increased,blood immunoglobulin M increased,blood immunoglobulin m increased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin G increased,blood immunoglobulin G increased,blood immunoglobulin g increased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin G increased,blood immunoglobulin K increased,blood immunoglobulin k increased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin G normal,bloody immunoglobulin g normal,bloody immunoglobulin g normal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin G normal,blood immune_globulin g normal,blood immune_globulin g normal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin G normal,blood immunoglobulin M normal,blood immunoglobulin m normal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin G normal,blood immunoglobulin G normal,blood immunoglobulin g normal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin G normal,blood immunoglobulin K normal,blood immunoglobulin k normal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin M abnormal,bloody immunoglobulin m abnormal,bloody immunoglobulin m abnormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin M abnormal,blood immune_globulin m abnormal,blood immune_globulin m abnormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin M abnormal,blood immunoglobulin M abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin M abnormal,blood immunoglobulin G abnormal,blood immunoglobulin g abnormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin M abnormal,blood immunoglobulin k abnormal,blood immunoglobulin k abnormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin M abnormal,blood immunoglobulin K abnormal,blood immunoglobulin k abnormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin M decreased,bloody immunoglobulin m decreased,bloody immunoglobulin m decreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M decreased,blood immune_globulin m decreased,blood immune_globulin m decreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M decreased,blood immunoglobulin M decreased,blood immunoglobulin m decreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M decreased,blood immunoglobulin G decreased,blood immunoglobulin g decreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M decreased,blood immunoglobulin k decreased,blood immunoglobulin k decreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M decreased,blood immunoglobulin K decreased,blood immunoglobulin k decreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M increased,bloody immunoglobulin m increased,bloody immunoglobulin m increased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M increased,blood immune_globulin m increased,blood immune_globulin m increased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M increased,blood immunoglobulin M increased,blood immunoglobulin m increased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M increased,blood immunoglobulin G increased,blood immunoglobulin g increased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M increased,blood immunoglobulin k increased,blood immunoglobulin k increased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M increased,blood immunoglobulin K increased,blood immunoglobulin k increased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M normal,bloody immunoglobulin m normal,bloody immunoglobulin m normal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin M normal,blood immune_globulin m normal,blood immune_globulin m normal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin M normal,blood immunoglobulin M normal,blood immunoglobulin m normal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin M normal,blood immunoglobulin G normal,blood immunoglobulin g normal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin M normal,blood immunoglobulin k normal,blood immunoglobulin k normal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin M normal,blood immunoglobulin K normal,blood immunoglobulin k normal,Blood immunoglobulin E normal,Unmatched,4th
Blood iron,line iron,line iron,Liver iron concentration decreased,Unmatched,4th
Blood iron,blood Fe,blood fe,Blood group AB,Unmatched,4th
Blood lead,blood wind,blood wind,Blood zinc increased,Unmatched,4th
Blood lead,blood hint,blood hint,Blood zinc increased,Unmatched,4th
Blood lead,blood Pb,blood pb,Blood pH increased,Unmatched,4th
