MRA_term,Modified_term,ChangedBack,SearcherReturned_term,State,Rank
Abortion incomplete complicated,abortion uncomplete complicated,abortion uncomplete complicated,Abortion complete complicated,Unmatched,1st
Abortion incomplete complicated,abortion incomplete complicate,abortion incomplete complicate,Abortion complete complicated,Unmatched,1st
Abortion induced,abortion induction,abortion induction,Induced abortion infection,Unmatched,1st
Abortion induced,abortion make,abortion make,Abortion late,Unmatched,1st
Abortion induced,abortion have,abortion have,Abortion late,Unmatched,1st
Abortion induced incomplete complicated,abortion inducer incomplete complicated,abortion inducer incomplete complicated,Abortion induced complete complicated,Unmatched,1st
Abortion induced incomplete complicated,abortion induct incomplete complicated,abortion induct incomplete complicated,Abortion induced complete complicated,Unmatched,1st
Abortion induced incomplete complicated,abortion induce incomplete complicated,abortion induce incomplete complicated,Abortion induced complete complicated,Unmatched,1st
Abortion induced incomplete complicated,abortion induced uncomplete complicated,abortion induced uncomplete complicated,Abortion induced complete complicated,Unmatched,1st
Abortion induced incomplete complicated,abortion induced incomplete complicate,abortion induced incomplete complicate,Abortion induced complete complicated,Unmatched,1st
Abortion infected,abortion infective,abortion infective,Induced abortion infection,Unmatched,1st
Abortion infected,abortion infection,abortion infection,Induced abortion infection,Unmatched,1st
Abortion missed,abortion lack,abortion lack,Abortion late,Unmatched,1st
Abortion missed,abortion lost,abortion lost,Vitamin B12 absorption test,Unmatched,1st
Abortion missed,abortion lose,abortion lose,Abortion late,Unmatched,1st
Abortion spontaneous incomplete complicated,abortion spontaneous uncomplete complicated,abortion spontaneous uncomplete complicated,Abortion spontaneous complete complicated,Unmatched,1st
Abortion spontaneous incomplete complicated,abortion spontaneous incomplete complicate,abortion spontaneous incomplete complicate,Abortion spontaneous complete complicated,Unmatched,1st
Abscess drainage,abscess drain,abscess drain,Vascular access site pain,Unmatched,1st
Abscess intestinal,abscess enteral,abscess enteral,Bacterial abscess central nervous system,Unmatched,1st
Accessory muscle,accessory musculus,accessory musculus,Use of accessory respiratory muscles,Unmatched,1st
Accident,stroke,stroke,Embolic stroke,Unmatched,1st
Accident,fortuity,fortuity,Mycobacterium fortuitum infection,Unmatched,1st
Accident,accidental,accidental,Accidental overdose,Unmatched,1st
Accidental overdose,accidental o.d.,accidental o.d,Accidental use of placebo,Unmatched,1st
Accommodation disorder,adjustment disorder,adjustment disorder,Adjustment disorder,Unmatched,1st
Accommodation disorder,fit disorder,fit disorder,Lip disorder,Unmatched,1st
Acid base balance normal,acrid base balance normal,acrid base balance normal,Acid base balance abnormal,Unmatched,1st
Acid base balance normal,acidic base balance normal,acidic base balance normal,Acid base balance abnormal,Unmatched,1st
Acid base balance normal,acid bag balance normal,acid bag balance normal,Acid base balance abnormal,Unmatched,1st
Acid base balance normal,acid basal balance normal,acid basal balance normal,Acid base balance abnormal,Unmatched,1st
Acid base balance normal,acid Base balance normal,acid base balance normal,Acid base balance abnormal,Unmatched,1st
Acid base balance normal,acid basis balance normal,acid basis balance normal,Acid base balance abnormal,Unmatched,1st
Acid base balance normal,acid base balancer normal,acid base balancer normal,Acid base balance abnormal,Unmatched,1st
Acid base balance normal,acid base Balance normal,acid base balance normal,Acid base balance abnormal,Unmatched,1st
Acidosis,acidotic,acidotic,Coma acidotic,Unmatched,1st
Acoustic stimulation tests normal,acoustics stimulation tests normal,acoustics stimulation tests normal,Acoustic stimulation tests abnormal,Unmatched,1st
Acoustic stimulation tests normal,acoustical stimulation tests normal,acoustical stimulation tests normal,Acoustic stimulation tests abnormal,Unmatched,1st
Acoustic stimulation tests normal,acoustic stimulation tester normal,acoustic stimulation tester normal,Acoustic stimulation tests abnormal,Unmatched,1st
Acoustic stimulation tests normal,acoustic stimulation testee normal,acoustic stimulation testee normal,Acoustic stimulation tests abnormal,Unmatched,1st
Acoustic stimulation tests normal,acoustic stimulation test normal,acoustic stimulation test normal,Acoustic stimulation tests abnormal,Unmatched,1st
Acral lentiginous melanoma stage II,acral lentiginous melanoma stage 2,acral lentiginous melanoma stage 2,Acral lentiginous melanoma stage I,Unmatched,1st
Acral lentiginous melanoma stage III,acral lentiginose melanoma stage iii,acral lentiginose melanoma stage iii,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage III,acral lentiginous melanoma stagy iii,acral lentiginous melanoma stagy iii,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage III,acral lentiginous melanoma stager iii,acral lentiginous melanoma stager iii,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage III,acral lentiginous melanoma stagey iii,acral lentiginous melanoma stagey iii,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage III,acral lentiginous melanoma stage 3,acral lentiginous melanoma stage 3,Acral lentiginous melanoma stage I,Unmatched,1st
Acral lentiginous melanoma stage III,acral lentiginous melanoma stage III,acral lentiginous melanoma stage iii,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage IV,acral lentiginose melanoma stage iv,acral lentiginose melanoma stage iv,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage IV,acral lentiginous melanoma stagy iv,acral lentiginous melanoma stagy iv,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage IV,acral lentiginous melanoma stager iv,acral lentiginous melanoma stager iv,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage IV,acral lentiginous melanoma stagey iv,acral lentiginous melanoma stagey iv,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage IV,acral lentiginous melanoma stage IV,acral lentiginous melanoma stage iv,Acral lentiginous melanoma stage II,Unmatched,1st
Acral lentiginous melanoma stage IV,acral lentiginous melanoma stage 4,acral lentiginous melanoma stage 4,Acral lentiginous melanoma stage I,Unmatched,1st
Activated partial thromboplastin time normal,activate partial thromboplastin time normal,activate partial thromboplastin time normal,Activated partial thromboplastin time abnormal,Unmatched,1st
Activated partial thromboplastin time normal,activator partial thromboplastin time normal,activator partial thromboplastin time normal,Activated partial thromboplastin time abnormal,Unmatched,1st
Activated partial thromboplastin time normal,activated partial thromboplastin timely normal,activated partial thromboplastin timely normal,Activated partial thromboplastin time abnormal,Unmatched,1st
Activated partial thromboplastin time normal,activated partial thromboplastin timer normal,activated partial thromboplastin timer normal,Activated partial thromboplastin time abnormal,Unmatched,1st
Acute psychosis,sharp psychosis,sharp psychosis,Shared psychotic disorder,Unmatched,1st
Adenoidal hypertrophy,nasal hypertrophy,nasal hypertrophy,Nail hypertrophy,Unmatched,1st
Adenosquamous cell lung cancer stage I,adenosquamous cell lung Cancer stage i,adenosquamous cell lung cancer stage i,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adenosquamous cell lung cancer stage I,adenosquamous cell lung cancer stagy i,adenosquamous cell lung cancer stagy i,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adenosquamous cell lung cancer stage I,adenosquamous cell lung cancer stager i,adenosquamous cell lung cancer stager i,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adenosquamous cell lung cancer stage I,adenosquamous cell lung cancer stagey i,adenosquamous cell lung cancer stagey i,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adenosquamous cell lung cancer stage I,adenosquamous cell lung cancer stage I,adenosquamous cell lung cancer stage i,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adenosquamous cell lung cancer stage I,adenosquamous cell lung cancer stage 1,adenosquamous cell lung cancer stage 1,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adenosquamous cell lung cancer stage II,adenosquamous cell lung cancer stage 2,adenosquamous cell lung cancer stage 2,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adenosquamous cell lung cancer stage III,adenosquamous cell lung Cancer stage iii,adenosquamous cell lung cancer stage iii,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage III,adenosquamous cell lung cancer stagy iii,adenosquamous cell lung cancer stagy iii,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage III,adenosquamous cell lung cancer stager iii,adenosquamous cell lung cancer stager iii,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage III,adenosquamous cell lung cancer stagey iii,adenosquamous cell lung cancer stagey iii,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage III,adenosquamous cell lung cancer stage 3,adenosquamous cell lung cancer stage 3,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adenosquamous cell lung cancer stage III,adenosquamous cell lung cancer stage III,adenosquamous cell lung cancer stage iii,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage IV,adenosquamous cell lung Cancer stage iv,adenosquamous cell lung cancer stage iv,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage IV,adenosquamous cell lung cancer stagy iv,adenosquamous cell lung cancer stagy iv,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage IV,adenosquamous cell lung cancer stager iv,adenosquamous cell lung cancer stager iv,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage IV,adenosquamous cell lung cancer stagey iv,adenosquamous cell lung cancer stagey iv,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage IV,adenosquamous cell lung cancer stage IV,adenosquamous cell lung cancer stage iv,Adenosquamous cell lung cancer stage II,Unmatched,1st
Adenosquamous cell lung cancer stage IV,adenosquamous cell lung cancer stage 4,adenosquamous cell lung cancer stage 4,Adenosquamous cell lung cancer stage 0,Unmatched,1st
Adoption,accept,accept,Poor venous access,Unmatched,1st
Adoption,espousal,espousal,Spousal abuse,Unmatched,1st
Adoption,espouse,espouse,Cytogenetic response,Unmatched,1st
Adoption,adopt,adopt,Atopy,Unmatched,1st
Adoption,borrowing,borrowing,Joint space narrowing,Unmatched,1st
Adrenal atrophy,adrenal wasting,adrenal wasting,Renal salt-wasting syndrome,Unmatched,1st
Adrenal cortex necrosis,adrenal cortical necrosis,adrenal cortical necrosis,Renal cortical necrosis,Unmatched,1st
Adrenal insufficiency,adrenal deficiency,adrenal deficiency,Adrenal androgen deficiency,Unmatched,1st
Adrenal insufficiency,adrenal deficient,adrenal deficient,Adrenal androgen deficiency,Unmatched,1st
Adrenal suppression,adrenal quell,adrenal quell,Renal cell carcinoma,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage II,adult t cell lymphoma leukaemia stage 2,adult t cell lymphoma leukaemia stage 2,Adult T-cell lymphoma/leukaemia stage I,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage III,adult T cell lymphoma leukaemia stage iii,adult t cell lymphoma leukaemia stage iii,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage III,adult t cell lymphoma leucaemia stage iii,adult t cell lymphoma leucaemia stage iii,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage III,adult t cell lymphoma leukemia stage iii,adult t cell lymphoma leukemia stage iii,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage III,adult t cell lymphoma leukaemia stagy iii,adult t cell lymphoma leukaemia stagy iii,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage III,adult t cell lymphoma leukaemia stager iii,adult t cell lymphoma leukaemia stager iii,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage III,adult t cell lymphoma leukaemia stagey iii,adult t cell lymphoma leukaemia stagey iii,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage III,adult t cell lymphoma leukaemia stage 3,adult t cell lymphoma leukaemia stage 3,Adult T-cell lymphoma/leukaemia stage I,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage III,adult t cell lymphoma leukaemia stage III,adult t cell lymphoma leukaemia stage iii,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage IV,adult T cell lymphoma leukaemia stage iv,adult t cell lymphoma leukaemia stage iv,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage IV,adult t cell lymphoma leucaemia stage iv,adult t cell lymphoma leucaemia stage iv,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage IV,adult t cell lymphoma leukemia stage iv,adult t cell lymphoma leukemia stage iv,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage IV,adult t cell lymphoma leukaemia stagy iv,adult t cell lymphoma leukaemia stagy iv,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage IV,adult t cell lymphoma leukaemia stager iv,adult t cell lymphoma leukaemia stager iv,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage IV,adult t cell lymphoma leukaemia stagey iv,adult t cell lymphoma leukaemia stagey iv,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage IV,adult t cell lymphoma leukaemia stage IV,adult t cell lymphoma leukaemia stage iv,Adult T-cell lymphoma/leukaemia stage II,Unmatched,1st
Adult T-cell lymphoma/leukaemia stage IV,adult t cell lymphoma leukaemia stage 4,adult t cell lymphoma leukaemia stage 4,Adult T-cell lymphoma/leukaemia stage I,Unmatched,1st
Aged parent,aged raise,aged raise,Acid base balance,Unmatched,1st
Aged parent,aged rearing,aged rearing,Bed sharing,Unmatched,1st
Aged parent,aged rear,aged rear,Bed rest,Unmatched,1st
Aggression,hostility,hostility,Hostility,Unmatched,1st
Aggression,hostile,hostile,Hospice care,Unmatched,1st
Agitated depression,stir depression,stir depression,Electrocardiogram ST segment depression,Unmatched,1st
Agitated depression,push depression,push depression,Post stroke depression,Unmatched,1st
Agitation,unrest,unrest,Incest,Unmatched,1st
Agitation,ferment,ferment,Cement embolism,Unmatched,1st
Agitation,fermentation,fermentation,Gut fermentation syndrome,Unmatched,1st
Agitation neonatal,unrest neonatal,unrest neonatal,Cardiac arrest neonatal,Unmatched,1st
Agranulocytosis,granulocytopenia,granulocytopenia,Granulocytopenia,Unmatched,1st
Agranulocytosis,agranulocytic,agranulocytic,Leukaemia granulocytic,Unmatched,1st
Air embolism,aerial embolism,aerial embolism,Carotid arterial embolus,Unmatched,1st
Air embolism,send embolism,send embolism,Vena cava embolism,Unmatched,1st
Air embolism,strain embolism,strain embolism,Brain stem embolism,Unmatched,1st
Air embolism,vent embolism,vent embolism,Renal vein embolism,Unmatched,1st
Albinism,albinal,albinal,Anginal equivalent,Unmatched,1st
Albumin globulin ratio increased,albumen globulin ratio increased,albumen globulin ratio increased,Albumin globulin ratio decreased,Unmatched,1st
Albumin globulin ratio normal,albumen globulin ratio normal,albumen globulin ratio normal,Albumin globulin ratio abnormal,Unmatched,1st
Albuminuria,proteinuria,proteinuria,Proteinuria,Unmatched,1st
Alcohol poisoning,alcohol intoxication,alcohol intoxication,Idiosyncratic alcohol intoxication,Unmatched,1st
Alcoholic,souse,souse,Alcohol abuse,Unmatched,1st
Alcoholic,alky,alky,ALK gene rearrangement positive,Unmatched,1st
Alcoholic,booze,booze,Loose associations,Unmatched,1st
Alcoholic,alcohol,alcohol,Alcohol abuse,Unmatched,1st
Alcoholic,soaker,soaker,Woakes' syndrome,Unmatched,1st
Alcoholic,lush,lush,Hot flush,Unmatched,1st
Alcoholic,soak,soak,Testicular yolk sac tumour,Unmatched,1st
Alcoholic,boozer,boozer,Booster dose missed,Unmatched,1st
Alcoholic relative,soak relative,soak relative,Sick relative,Unmatched,1st
Alcoholism,potomania,potomania,Poriomania,Unmatched,1st
Aldosterone urine increased,aldosterone urinate increased,aldosterone urinate increased,Aldosterone urine decreased,Unmatched,1st
Allergy to animal,allergy to brute,allergy to brute,Allergy to arthropod bite,Unmatched,1st
Allergy to sting,allergy to bite,allergy to bite,Allergy to arthropod bite,Unmatched,1st
Allergy to venom,allergy to spite,allergy to spite,Allergy to arthropod bite,Unmatched,1st
Alpha 1 foetoprotein amniotic fluid normal,alpha i foetoprotein amniotic fluid normal,alpha i foetoprotein amniotic fluid normal,Alpha 1 foetoprotein amniotic fluid abnormal,Unmatched,1st
Alpha 1 foetoprotein amniotic fluid normal,alpha I foetoprotein amniotic fluid normal,alpha i foetoprotein amniotic fluid normal,Alpha 1 foetoprotein amniotic fluid abnormal,Unmatched,1st
Alpha 1 foetoprotein amniotic fluid normal,alpha 1 fetoprotein amniotic fluid normal,alpha 1 fetoprotein amniotic fluid normal,Alpha 1 foetoprotein amniotic fluid abnormal,Unmatched,1st
Alpha 1 foetoprotein amniotic fluid normal,alpha 1 foetoprotein amnionic fluid normal,alpha 1 foetoprotein amnionic fluid normal,Alpha 1 foetoprotein amniotic fluid abnormal,Unmatched,1st
Alpha 1 foetoprotein increased,alpha i foetoprotein increased,alpha i foetoprotein increased,Alpha 1 foetoprotein decreased,Unmatched,1st
Alpha 1 foetoprotein increased,alpha I foetoprotein increased,alpha i foetoprotein increased,Alpha 1 foetoprotein decreased,Unmatched,1st
Alpha 1 foetoprotein increased,alpha 1 fetoprotein increased,alpha 1 fetoprotein increased,Alpha 1 foetoprotein decreased,Unmatched,1st
Alpha 1 foetoprotein normal,alpha i foetoprotein normal,alpha i foetoprotein normal,Alpha 1 foetoprotein abnormal,Unmatched,1st
Alpha 1 foetoprotein normal,alpha I foetoprotein normal,alpha i foetoprotein normal,Alpha 1 foetoprotein abnormal,Unmatched,1st
Alpha 1 foetoprotein normal,alpha 1 fetoprotein normal,alpha 1 fetoprotein normal,Alpha 1 foetoprotein abnormal,Unmatched,1st
Alpha 1 globulin increased,alpha i globulin increased,alpha i globulin increased,Alpha 1 globulin decreased,Unmatched,1st
Alpha 1 globulin increased,alpha I globulin increased,alpha i globulin increased,Alpha 1 globulin decreased,Unmatched,1st
Alpha 1 globulin normal,alpha i globulin normal,alpha i globulin normal,Alpha 1 globulin abnormal,Unmatched,1st
Alpha 1 globulin normal,alpha I globulin normal,alpha i globulin normal,Alpha 1 globulin abnormal,Unmatched,1st
Alpha 2 globulin decreased,alpha 2 globulin decrease,alpha 2 globulin decrease,Alpha 1 globulin decreased,Unmatched,1st
Alpha 2 globulin increased,alpha 2 globulin increase,alpha 2 globulin increase,Alpha 1 globulin increased,Unmatched,1st
Alpha-1 anti-trypsin increased,alpha i anti trypsin increased,alpha i anti trypsin increased,Alpha-1 anti-trypsin decreased,Unmatched,1st
Alpha-1 anti-trypsin increased,alpha I anti trypsin increased,alpha i anti trypsin increased,Alpha-1 anti-trypsin decreased,Unmatched,1st
Alpha-1 anti-trypsin normal,alpha i anti trypsin normal,alpha i anti trypsin normal,Alpha-1 anti-trypsin abnormal,Unmatched,1st
Alpha-1 anti-trypsin normal,alpha I anti trypsin normal,alpha i anti trypsin normal,Alpha-1 anti-trypsin abnormal,Unmatched,1st
Amenorrhoea,amenia,amenia,Alexia,Unmatched,1st
American trypanosomiasis,American trypanosomiasis,american trypanosomiasis,African trypanosomiasis,Unmatched,1st
Amino acid metabolism disorder,aminic acid metabolism disorder,aminic acid metabolism disorder,Amino acid catabolism disorder,Unmatched,1st
Amino acid metabolism disorder,amine acid metabolism disorder,amine acid metabolism disorder,Amino acid catabolism disorder,Unmatched,1st
Amino acid metabolism disorder,amino acrid metabolism disorder,amino acrid metabolism disorder,Amino acid catabolism disorder,Unmatched,1st
Amino acid metabolism disorder,amino acidic metabolism disorder,amino acidic metabolism disorder,Amino acid catabolism disorder,Unmatched,1st
Amino acid metabolism disorder,amino acid metabolism disorderly,amino acid metabolism disorderly,Amino acid catabolism disorder,Unmatched,1st
Ammonia increased,ammoniate increased,ammoniate increased,Ammonia decreased,Unmatched,1st
Ammonia normal,ammoniate normal,ammoniate normal,Ammonia abnormal,Unmatched,1st
Amnesia,amnestic,amnestic,Amnestic disorder,Unmatched,1st
Amniocentesis,amnio,amnio,Mania,Unmatched,1st
Amniocentesis abnormal,amnio abnormal,amnio abnormal,Anion gap abnormal,Unmatched,1st
Amniocentesis normal,amnio normal,amnio normal,Anion gap abnormal,Unmatched,1st
Anaemia,anemic,anemic,Anaemic hypoxia,Unmatched,1st
Anaemia folate deficiency,anaemia vitamin_M deficiency,anaemia vitamin_m deficiency,Anaemia vitamin B12 deficiency,Unmatched,1st
Anaemia vitamin B6 deficiency,anemia vitamin b6 deficiency,anemia vitamin b6 deficiency,Anaemia vitamin B12 deficiency,Unmatched,1st
Anaemia vitamin B6 deficiency,anemic vitamin b6 deficiency,anemic vitamin b6 deficiency,Anaemia vitamin B12 deficiency,Unmatched,1st
Anaemia vitamin B6 deficiency,anaemic vitamin b6 deficiency,anaemic vitamin b6 deficiency,Anaemia vitamin B12 deficiency,Unmatched,1st
Anaemia vitamin B6 deficiency,anaemia vitamin b6 deficient,anaemia vitamin b6 deficient,Anaemia vitamin B12 deficiency,Unmatched,1st
Anaesthesia,anaesthetic,anaesthetic,Anaesthetic premedication,Unmatched,1st
Anaesthesia,anesthetic,anesthetic,Anaesthetic premedication,Unmatched,1st
Anaesthesia,anaesthetist,anaesthetist,Anaesthetic premedication,Unmatched,1st
Anal cancer recurrent,anal Crab recurrent,anal crab recurrent,Lip and/or oral cavity cancer recurrent,Unmatched,1st
Anal cancer stage 0,anal Crab stage 0,anal crab stage 0,Lip and/or oral cavity cancer stage 0,Unmatched,1st
Anal cancer stage I,anus cancer stage i,anus cancer stage i,Anal cancer stage 0,Unmatched,1st
Anal cancer stage I,anal Cancer stage i,anal cancer stage i,Anal cancer stage 0,Unmatched,1st
Anal cancer stage I,anal Crab stage i,anal crab stage i,Lip and/or oral cavity cancer stage 0,Unmatched,1st
Anal cancer stage I,anal cancer stagy i,anal cancer stagy i,Anal cancer stage 0,Unmatched,1st
Anal cancer stage I,anal cancer stager i,anal cancer stager i,Anal cancer stage 0,Unmatched,1st
Anal cancer stage I,anal cancer stagey i,anal cancer stagey i,Anal cancer stage 0,Unmatched,1st
Anal cancer stage I,anal cancer stage I,anal cancer stage i,Anal cancer stage 0,Unmatched,1st
Anal cancer stage I,anal cancer stage 1,anal cancer stage 1,Anal cancer stage 0,Unmatched,1st
Anal cancer stage II,anal Crab stage ii,anal crab stage ii,Lip and/or oral cavity cancer stage II,Unmatched,1st
Anal cancer stage II,anal cancer stage 2,anal cancer stage 2,Anal cancer stage 0,Unmatched,1st
Anal cancer stage III,anus cancer stage iii,anus cancer stage iii,Anal cancer stage II,Unmatched,1st
Anal cancer stage III,anal Cancer stage iii,anal cancer stage iii,Anal cancer stage II,Unmatched,1st
Anal cancer stage III,anal Crab stage iii,anal crab stage iii,Lip and/or oral cavity cancer stage II,Unmatched,1st
Anal cancer stage III,anal cancer stagy iii,anal cancer stagy iii,Anal cancer stage II,Unmatched,1st
Anal cancer stage III,anal cancer stager iii,anal cancer stager iii,Anal cancer stage II,Unmatched,1st
Anal cancer stage III,anal cancer stagey iii,anal cancer stagey iii,Anal cancer stage II,Unmatched,1st
Anal cancer stage III,anal cancer stage 3,anal cancer stage 3,Anal cancer stage 0,Unmatched,1st
Anal cancer stage III,anal cancer stage III,anal cancer stage iii,Anal cancer stage II,Unmatched,1st
Anal cancer stage IV,anus cancer stage iv,anus cancer stage iv,Anal cancer stage II,Unmatched,1st
Anal cancer stage IV,anal Cancer stage iv,anal cancer stage iv,Anal cancer stage II,Unmatched,1st
Anal cancer stage IV,anal Crab stage iv,anal crab stage iv,Lip and/or oral cavity cancer stage II,Unmatched,1st
Anal cancer stage IV,anal cancer stagy iv,anal cancer stagy iv,Anal cancer stage II,Unmatched,1st
Anal cancer stage IV,anal cancer stager iv,anal cancer stager iv,Anal cancer stage II,Unmatched,1st
Anal cancer stage IV,anal cancer stagey iv,anal cancer stagey iv,Anal cancer stage II,Unmatched,1st
Anal cancer stage IV,anal cancer stage IV,anal cancer stage iv,Anal cancer stage II,Unmatched,1st
Anal cancer stage IV,anal cancer stage 4,anal cancer stage 4,Anal cancer stage 0,Unmatched,1st
Anal dilatation,anal dilate,anal dilate,Cleft lip and palate,Unmatched,1st
Anal dilatation,anal distention,anal distention,Renal artery dissection,Unmatched,1st
Anal fissure,anal chap,anal chap,Anal pap smear,Unmatched,1st
Anal fistula,anal sinus,anal sinus,Nasal sinus cancer,Unmatched,1st
Anal skin tags,anal pelt tags,anal pelt tags,Renal cell carcinoma stage I,Unmatched,1st
Anal skin tags,anal peel tags,anal peel tags,Renal cell carcinoma stage I,Unmatched,1st
Anal skin tags,anal skin dog,anal skin dog,Anal skin tag excision,Unmatched,1st
Anal ulcer,anal ulceration,anal ulceration,Nasal septum ulceration,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage II,anaplastic large cell lymphoma t and null cell types stage 2,anaplastic large cell lymphoma t and null cell types stage 2,Anaplastic large cell lymphoma T- and null-cell types stage I,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage III,anaplasia large cell lymphoma t and null cell types stage iii,anaplasia large cell lymphoma t and null cell types stage iii,Anaplastic large cell lymphoma T- and null-cell types stage II,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage III,anaplastic large cell lymphoma T and null cell types stage iii,anaplastic large cell lymphoma t and null cell types stage iii,Anaplastic large cell lymphoma T- and null-cell types stage II,Unmatched,1st
Anaplastic large cell lymphoma T- and null-cell types stage III,anaplastic large cell lymphoma t and nil cell types stage iii,anaplastic large cell lymphoma t and nil cell types stage iii,Anaplastic large cell lymphoma T- and null-cell types stage II,Unmatched,1st
