MRA_term,Modified_term,ChangedBack,SearcherReturned_term,State,Rank
Biopsy brain,biopsy wit,biopsy wit,Biopsy site unspecified normal,Unmatched,5th
Biopsy brain,biopsy head,biopsy head,Biopsy ear normal,Unmatched,5th
Biopsy brain abnormal,biopsy wit abnormal,biopsy wit abnormal,Needle biopsy site unspecified abnormal,Unmatched,5th
Biopsy brain normal,biopsy wit normal,biopsy wit normal,Needle biopsy site unspecified abnormal,Unmatched,5th
Biopsy breast,biopsy boob,biopsy boob,Biopsy blood vessel,Unmatched,5th
Biopsy breast,biopsy tit,biopsy tit,Biopsy site unspecified normal,Unmatched,5th
Biopsy breast abnormal,biopsy boob abnormal,biopsy boob abnormal,Biopsy blood vessel normal,Unmatched,5th
Biopsy breast abnormal,biopsy tit abnormal,biopsy tit abnormal,Needle biopsy site unspecified abnormal,Unmatched,5th
Biopsy breast normal,biopsy boob normal,biopsy boob normal,Biopsy blood vessel normal,Unmatched,5th
Biopsy breast normal,biopsy tit normal,biopsy tit normal,Needle biopsy site unspecified abnormal,Unmatched,5th
Biopsy heart,biopsy fond,biopsy fond,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy heart,biopsy nub,biopsy nub,Biopsy fallopian tube abnormal,Unmatched,5th
Biopsy heart,biopsy core,biopsy core,Biopsy bone normal,Unmatched,5th
Biopsy heart,biopsy warm,biopsy warm,Biopsy chest wall,Unmatched,5th
Biopsy heart abnormal,biopsy fond abnormal,biopsy fond abnormal,Biopsy spinal cord abnormal,Unmatched,5th
Biopsy heart abnormal,biopsy core abnormal,biopsy core abnormal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy heart abnormal,biopsy warm abnormal,biopsy warm abnormal,Biopsy chest wall abnormal,Unmatched,5th
Biopsy heart normal,biopsy fond normal,biopsy fond normal,Biopsy spinal cord abnormal,Unmatched,5th
Biopsy heart normal,biopsy core normal,biopsy core normal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy heart normal,biopsy warm normal,biopsy warm normal,Biopsy chest wall abnormal,Unmatched,5th
Biopsy skin,biopsy hide,biopsy hide,Biopsy bile duct normal,Unmatched,5th
Biopsy skin abnormal,biopsy hide abnormal,biopsy hide abnormal,Needle biopsy site unspecified abnormal,Unmatched,5th
Biopsy skin normal,biopsy hide normal,biopsy hide normal,Needle biopsy site unspecified abnormal,Unmatched,5th
Biopsy stomach,biopsy stand,biopsy stand,Biopsy thymus gland,Unmatched,5th
Biopsy stomach,biopsy bear,biopsy bear,Biopsy ear normal,Unmatched,5th
Biopsy stomach abnormal,biopsy stand abnormal,biopsy stand abnormal,Biopsy parathyroid gland abnormal,Unmatched,5th
Biopsy stomach normal,biopsy stand normal,biopsy stand normal,Biopsy parathyroid gland abnormal,Unmatched,5th
Biopsy testes,biopsy nut,biopsy nut,Biopsy bile duct abnormal,Unmatched,5th
Biopsy testes,biopsy ball,biopsy ball,Biopsy bile duct abnormal,Unmatched,5th
Biopsy testes abnormal,biopsy ball abnormal,biopsy ball abnormal,Biopsy chest wall abnormal,Unmatched,5th
Biopsy testes normal,biopsy ball normal,biopsy ball normal,Biopsy chest wall abnormal,Unmatched,5th
Biopsy tongue,biopsy spit,biopsy spit,Biopsy site unspecified abnormal,Unmatched,5th
Biopsy tongue abnormal,biopsy spit abnormal,biopsy spit abnormal,Needle biopsy site unspecified abnormal,Unmatched,5th
Biopsy tongue normal,biopsy spit normal,biopsy spit normal,Needle biopsy site unspecified abnormal,Unmatched,5th
Biotin deficiency,vitamin_H deficiency,vitamin_h deficiency,Vitamin B2 deficiency,Unmatched,5th
Birth trauma,birth injure,birth injure,XIth nerve injury,Unmatched,5th
Birth trauma,birth injury,birth injury,XIth nerve injury,Unmatched,5th
Bisexuality,androgenous,androgenous,Androgens normal,Unmatched,5th
Bisexuality,bisexual,bisexual,Sexual relationship change,Unmatched,5th
Bisexuality,androgyny,androgyny,Androgens normal,Unmatched,5th
Bite,morsel,morsel,Dorsal root ganglion block,Unmatched,5th
Bite,sting,sting,Staring,Unmatched,5th
Bite,burn,burn,Chemical burn,Unmatched,5th
Bite,prick,prick,Pica,Unmatched,5th
Bite,collation,collation,Perinephric collection,Unmatched,5th
Bite,snack,snack,Electric shock,Unmatched,5th
Bite,racy,racy,Face and mouth X-ray abnormal,Unmatched,5th
Bite,chomp,chomp,Coma,Unmatched,5th
Bite,stinger,stinger,Finger licking,Unmatched,5th
Bladder repair,bladder fix,bladder fix,Bladder cancer stage III,Unmatched,5th
Bleeding time,run time,run time,Tear break up time test,Unmatched,5th
Blindness,blind,blind,Blood beryllium,Unmatched,5th
Blindness,cecity,cecity,Abdominal cavity drainage,Unmatched,5th
Blister,bulla,bulla,Bulbar palsy,Unmatched,5th
Blister,scald,scald,NIH stroke scale,Unmatched,5th
Blister,bleb,bleb,Flea infestation,Unmatched,5th
Blister,whip,whip,Hip deformity,Unmatched,5th
Blister,vesication,vesication,Intercepted medication error,Unmatched,5th
Blister,vesicate,vesicate,Seminal vesicle operation,Unmatched,5th
Blood aluminium,blood Al,blood al,Blood group AB,Unmatched,5th
Blood aluminium decreased,blood Al decreased,blood al decreased,Blood chromogranin A increased,Unmatched,5th
Blood aluminium increased,blood Al increased,blood al increased,Blood chromogranin A increased,Unmatched,5th
Blood antimony,rip antimony,rip antimony,Anti-SRP antibody positive,Unmatched,5th
Blood antimony,roue antimony,roue antimony,Human anti-mouse antibody test,Unmatched,5th
Blood antimony,blood Sb,blood sb,Blood group B,Unmatched,5th
Blood antimony decreased,blood Sb decreased,blood sb decreased,Blood creatine phosphokinase MB decreased,Unmatched,5th
Blood antimony increased,blood Sb increased,blood sb increased,Blood creatine phosphokinase MB decreased,Unmatched,5th
Blood arsenic increased,blood As increased,blood as increased,Blood chromogranin A increased,Unmatched,5th
Blood beryllium,blood Be,blood be,Blood beta-D-glucan increased,Unmatched,5th
Blood beryllium,blood glucinium,blood glucinium,Blood aluminium normal,Unmatched,5th
Blood beryllium decreased,blood Be decreased,blood be decreased,Blood beta-D-glucan decreased,Unmatched,5th
Blood beryllium increased,blood Be increased,blood be increased,Blood beta-D-glucan decreased,Unmatched,5th
Blood blister,blood whip,blood whip,Blood HIV RNA below assay limit,Unmatched,5th
Blood cadmium,blood Cd,blood cd,Blood acid phosphatase increased,Unmatched,5th
Blood cadmium decreased,blood Cd decreased,blood cd decreased,Blood pyruvic acid decreased,Unmatched,5th
Blood cadmium increased,blood Cd increased,blood cd increased,Blood pyruvic acid decreased,Unmatched,5th
Blood cadmium normal,blood Cd normal,blood cd normal,Blood pyruvic acid abnormal,Unmatched,5th
Blood calcium,blood Ca,blood ca,Blood group AB,Unmatched,5th
Blood calcium decreased,blood Ca decreased,blood ca decreased,Blood chromogranin A increased,Unmatched,5th
Blood calcium increased,blood Ca increased,blood ca increased,Blood chromogranin A increased,Unmatched,5th
Blood chromium,blood Cr,blood cr,Blood creatine phosphokinase BB,Unmatched,5th
Blood copper,blood Cu,blood cu,Blood creatine phosphokinase BB,Unmatched,5th
Blood copper,blood cupric,blood cupric,Blood uric acid normal,Unmatched,5th
Blood copper,blood pig,blood pig,Blood HIV RNA below assay limit,Unmatched,5th
Blood copper,blood bull,blood bull,Red blood cell scan,Unmatched,5th
Blood copper abnormal,blood bull abnormal,blood bull abnormal,Red blood cell enzymes abnormal,Unmatched,5th
Blood copper decreased,blood bull decreased,blood bull decreased,CSF white blood cell count increased,Unmatched,5th
Blood copper increased,blood bull increased,blood bull increased,CSF white blood cell count increased,Unmatched,5th
Blood copper normal,blood bull normal,blood bull normal,Red blood cell enzymes abnormal,Unmatched,5th
Blood corticotrophin,blood ACTH,blood acth,Blood acid phosphatase increased,Unmatched,5th
Blood corticotrophin abnormal,blood ACTH abnormal,blood acth abnormal,Blood pyruvic acid abnormal,Unmatched,5th
Blood corticotrophin decreased,blood ACTH decreased,blood acth decreased,Blood pyruvic acid decreased,Unmatched,5th
Blood corticotrophin increased,blood ACTH increased,blood acth increased,Blood pyruvic acid decreased,Unmatched,5th
Blood corticotrophin normal,blood ACTH normal,blood acth normal,Blood pyruvic acid abnormal,Unmatched,5th
Blood cyanide,blood nitril,blood nitril,Blood citric acid normal,Unmatched,5th
Blood donor,blood presenter,blood presenter,Polychromic red blood cells present,Unmatched,5th
Blood donor,blood give,blood give,Blood HIV RNA below assay limit,Unmatched,5th
Blood donor,blood present,blood present,Polychromic red blood cells present,Unmatched,5th
Blood gases,line gases,line gases,Infusion site mass,Unmatched,5th
Blood gases,blood vaunt,blood vaunt,Full blood count abnormal,Unmatched,5th
Blood gases,blood tout,blood tout,Blood test abnormal,Unmatched,5th
Blood gases,blood gun,blood gun,Blood immunoglobulin G normal,Unmatched,5th
Blood gases,blood brag,blood brag,Antemortem blood drug level abnormal,Unmatched,5th
Blood gases abnormal,blood vaunt abnormal,blood vaunt abnormal,Red blood cell count abnormal,Unmatched,5th
Blood gases abnormal,blood tout abnormal,blood tout abnormal,Full blood count abnormal,Unmatched,5th
Blood gases normal,blood vaunt normal,blood vaunt normal,Red blood cell count abnormal,Unmatched,5th
Blood gases normal,blood tout normal,blood tout normal,Full blood count abnormal,Unmatched,5th
Blood group A,rip group a,rip group a,HIV infection CDC Group IV subgroup E,Unmatched,5th
Blood group B,rip group b,rip group b,HIV infection CDC Group IV subgroup E,Unmatched,5th
Blood group O,rip group o,rip group o,HIV infection CDC Group IV subgroup E,Unmatched,5th
Blood grouping,blood aggroup,blood aggroup,Kell blood group positive,Unmatched,5th
Blood grouping,blood group,blood group,Kell blood group positive,Unmatched,5th
Blood immunoglobulin G increased,bloody immunoglobulin g increased,bloody immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immune_globulin g increased,blood immune_globulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin M increased,blood immunoglobulin m increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin G increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin K increased,blood immunoglobulin k increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G normal,bloody immunoglobulin g normal,bloody immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immune_globulin g normal,blood immune_globulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin M normal,blood immunoglobulin m normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin G normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin K normal,blood immunoglobulin k normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,bloody immunoglobulin m abnormal,bloody immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,blood immune_globulin m abnormal,blood immune_globulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,blood immunoglobulin M abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,blood immunoglobulin G abnormal,blood immunoglobulin g abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,blood immunoglobulin k abnormal,blood immunoglobulin k abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,blood immunoglobulin K abnormal,blood immunoglobulin k abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M decreased,bloody immunoglobulin m decreased,bloody immunoglobulin m decreased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin M decreased,blood immune_globulin m decreased,blood immune_globulin m decreased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin M decreased,blood immunoglobulin M decreased,blood immunoglobulin m decreased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin M decreased,blood immunoglobulin G decreased,blood immunoglobulin g decreased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin M decreased,blood immunoglobulin k decreased,blood immunoglobulin k decreased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin M decreased,blood immunoglobulin K decreased,blood immunoglobulin k decreased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin M increased,bloody immunoglobulin m increased,bloody immunoglobulin m increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin M increased,blood immune_globulin m increased,blood immune_globulin m increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin M increased,blood immunoglobulin M increased,blood immunoglobulin m increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin M increased,blood immunoglobulin G increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin M increased,blood immunoglobulin k increased,blood immunoglobulin k increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin M increased,blood immunoglobulin K increased,blood immunoglobulin k increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin M normal,bloody immunoglobulin m normal,bloody immunoglobulin m normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M normal,blood immune_globulin m normal,blood immune_globulin m normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M normal,blood immunoglobulin M normal,blood immunoglobulin m normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M normal,blood immunoglobulin G normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M normal,blood immunoglobulin k normal,blood immunoglobulin k normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M normal,blood immunoglobulin K normal,blood immunoglobulin k normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood iron,line iron,line iron,Liver iron concentration increased,Unmatched,5th
Blood iron,blood Fe,blood fe,Blood creatine phosphokinase BB,Unmatched,5th
Blood lead,blood wind,blood wind,Blood zinc normal,Unmatched,5th
Blood lead,blood hint,blood hint,Blood zinc normal,Unmatched,5th
Blood lead,blood Pb,blood pb,Blood pH normal,Unmatched,5th
Blood lead,blood steer,blood steer,Peripheral blood stem cell apheresis,Unmatched,5th
Blood lead,blood run,blood run,Blood iron normal,Unmatched,5th
Blood lead,blood pass,blood pass,Blood loss anaemia neonatal,Unmatched,5th
Blood lead,blood tip,blood tip,Blood HIV RNA fluctuation,Unmatched,5th
Blood lead,blood take,blood take,Red blood cell sedimentation rate increased,Unmatched,5th
Blood lead,blood go,blood go,Blood creatine phosphokinase BB,Unmatched,5th
Blood lead,blood star,blood star,Peripheral blood stem cell apheresis,Unmatched,5th
Blood lead,blood topper,blood topper,Blood copper normal,Unmatched,5th
Blood lead abnormal,blood run abnormal,blood run abnormal,Postmortem blood drug level normal,Unmatched,5th
Blood lead decreased,blood Pb decreased,blood pb decreased,Blood creatine phosphokinase MB increased,Unmatched,5th
Blood lead decreased,blood run decreased,blood run decreased,Antemortem blood drug level increased,Unmatched,5th
Blood lead increased,blood Pb increased,blood pb increased,Blood creatine phosphokinase MB increased,Unmatched,5th
Blood lead increased,blood run increased,blood run increased,Antemortem blood drug level increased,Unmatched,5th
Blood lead normal,blood run normal,blood run normal,Postmortem blood drug level normal,Unmatched,5th
Blood magnesium,blood Mg,blood mg,Blood creatine phosphokinase MB,Unmatched,5th
Blood magnesium decreased,blood Mg decreased,blood mg decreased,Blood creatine phosphokinase BB increased,Unmatched,5th
Blood magnesium increased,blood Mg increased,blood mg increased,Blood creatine phosphokinase BB increased,Unmatched,5th
Blood phosphorus,blood P,blood p,Blood pH normal,Unmatched,5th
Blood potassium,blood K,blood k,Blood group B,Unmatched,5th
Blood potassium abnormal,blood K abnormal,blood k abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood potassium decreased,blood K decreased,blood k decreased,Blood immunoglobulin G decreased,Unmatched,5th
Blood potassium increased,blood K increased,blood k increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood potassium normal,blood K normal,blood k normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood selenium,blood Se,blood se,Blood creatine phosphokinase BB,Unmatched,5th
Blood sodium,blood Na,blood na,Blood group AB,Unmatched,5th
Blood sodium decreased,blood Na decreased,blood na decreased,Blood 25-hydroxycholecalciferol increased,Unmatched,5th
Blood sodium increased,blood Na increased,blood na increased,Blood 25-hydroxycholecalciferol increased,Unmatched,5th
Blood urea,rip urea,rip urea,Blood HIV RNA decreased,Unmatched,5th
Blood urine,blood pee,blood pee,Blood testosterone free abnormal,Unmatched,5th
Blood urine,blood water,blood water,Red blood cell sedimentation rate normal,Unmatched,5th
Blood zinc,blood Zn,blood zn,Blood creatine phosphokinase BB,Unmatched,5th
Body height,body tall,body tall,Bone marrow leukaemic cell infiltration,Unmatched,5th
Bone cancer,os cancer,os cancer,Lip and/or oral cavity cancer stage II,Unmatched,5th
Bone cancer,cram cancer,cram cancer,Lip and/or oral cavity cancer stage I,Unmatched,5th
Bone cyst,drum cyst,drum cyst,Genotype drug resistance test negative,Unmatched,5th
Bone cyst,pearl cyst,pearl cyst,Peak nasal inspiratory flow test,Unmatched,5th
Bone cyst,os cyst,os cyst,Atypical teratoid/rhabdoid tumour of CNS,Unmatched,5th
Bone disorder,pearl disorder,pearl disorder,Foetal heart rate disorder,Unmatched,5th
Bone graft,os graft,os graft,Transposition of the great vessels,Unmatched,5th
Bone graft,cram graft,cram graft,Removal of foreign body from respiratory tract,Unmatched,5th
Bone neoplasm,pearl neoplasm,pearl neoplasm,Malignant middle ear neoplasm,Unmatched,5th
Bone neoplasm,bone tumor,bone tumor,Bone giant cell tumour malignant,Unmatched,5th
Bone neoplasm,bone tumour,bone tumour,Bone giant cell tumour malignant,Unmatched,5th
Bone pain,swot pain,swot pain,Short-chain acyl-coenzyme A dehydrogenase deficiency,Unmatched,5th
Bone pain,drum pain,drum pain,Dry skin prophylaxis,Unmatched,5th
Bone pain,os pain,os pain,Yaws of skin,Unmatched,5th
Bone pain,cram pain,cram pain,Acral peeling skin syndrome,Unmatched,5th
Bone pain,bone ail,bone ail,"Ear, nose and throat examination abnormal",Unmatched,5th
Bone pain,bone hurt,bone hurt,Perforation bile duct,Unmatched,5th
Bone scan,drum scan,drum scan,Dry skin prophylaxis,Unmatched,5th
Bone scan,os scan,os scan,Basosquamous carcinoma of skin,Unmatched,5th
Bone scan,cram scan,cram scan,Coma scale normal,Unmatched,5th
Bone scan,bone read,bone read,Body surface area increased,Unmatched,5th
Bone scan,bone scanner,bone scanner,Bile duct cancer stage I,Unmatched,5th
Bone trimming,bone trim,bone trim,Removal of foreign body from larynx,Unmatched,5th
Bone trimming,bone crop,bone crop,Removal of foreign body from joint,Unmatched,5th
Bone trimming,bone parer,bone parer,Bone metabolism biochemical marker increased,Unmatched,5th
Bone trimming,bone cut,bone cut,Bile duct exploration,Unmatched,5th
Bone trimming,bone shave,bone shave,Extragonadal primary non-seminoma stage I,Unmatched,5th
Bone trimming,bone pare,bone pare,Body surface area increased,Unmatched,5th
Bone trimming,bone lop,bone lop,Hepatitis non-A non-B,Unmatched,5th
Brain abscess,wit abscess,wit abscess,Infusion site abscess,Unmatched,5th
Breast abscess,tit abscess,tit abscess,Infusion site abscess,Unmatched,5th
Breast atrophy,tit atrophy,tit atrophy,Periorbital fat atrophy,Unmatched,5th
Breast cancer,tit cancer,tit cancer,Lip and/or oral cavity cancer stage I,Unmatched,5th
Breast cellulitis,tit cellulitis,tit cellulitis,Application site cellulitis,Unmatched,5th
Breast cyst,boob cyst,boob cyst,Bone cyst excision,Unmatched,5th
