MRA_term,Modified_term,ChangedBack,SearcherReturned_term,State,Rank
Adrenal suppression,adrenal quell,adrenal quell,Renal cell dysplasia,Unmatched,2nd
Aged parent,aged raise,aged raise,Acid base balance abnormal,Unmatched,2nd
Aged parent,aged rearing,aged rearing,Ear and hearing disorder prophylaxis,Unmatched,2nd
Aged parent,aged rear,aged rear,Red ear syndrome,Unmatched,2nd
Aggression,hostility,hostility,Oesophageal motility test,Unmatched,2nd
Agitated depression,stir depression,stir depression,Electrocardiogram ST-T segment depression,Unmatched,2nd
Agitation,unrest,unrest,Cardiac arrest,Unmatched,2nd
Agitation,ferment,ferment,Electrocardiogram ST segment,Unmatched,2nd
Agitation neonatal,unrest neonatal,unrest neonatal,Cardio-respiratory arrest neonatal,Unmatched,2nd
Agranulocytosis,granulocytopenia,granulocytopenia,Granulocytopenia neonatal,Unmatched,2nd
Air embolism,vent embolism,vent embolism,Hepatic vein embolism,Unmatched,2nd
Albinism,albinal,albinal,Labial frenectomy,Unmatched,2nd
Albuminuria,proteinuria,proteinuria,Orthostatic proteinuria,Unmatched,2nd
Alcoholic,souse,souse,Child abuse,Unmatched,2nd
Alcoholic,alky,alky,ALK gene rearrangement assay,Unmatched,2nd
Alcoholic,booze,booze,Loose tooth,Unmatched,2nd
Alcoholic,alcohol,alcohol,Alcohol interaction,Unmatched,2nd
Alcoholic,soaker,soaker,Sex worker,Unmatched,2nd
Alcoholic,lush,lush,Rash,Unmatched,2nd
Alcoholic,soak,soak,Scab,Unmatched,2nd
Alcoholism,potomania,potomania,Pyromania,Unmatched,2nd
Amenorrhoea,amenia,amenia,Amnesia,Unmatched,2nd
Amniocentesis,amnio,amnio,Amino acid level,Unmatched,2nd
Amniocentesis abnormal,amnio abnormal,amnio abnormal,Anion gap normal,Unmatched,2nd
Amniocentesis normal,amnio normal,amnio normal,Anion gap normal,Unmatched,2nd
Anaemia folate deficiency,anaemia vitamin_M deficiency,anaemia vitamin_m deficiency,Anaemia vitamin B6 deficiency,Unmatched,2nd
Anaesthesia,anaesthetic,anaesthetic,Anaesthetic complication,Unmatched,2nd
Anaesthesia,anesthetic,anesthetic,Anaesthetic complication,Unmatched,2nd
Anaesthesia,anaesthetist,anaesthetist,Anaesthetic complication,Unmatched,2nd
Anal cancer stage 0,anal Crab stage 0,anal crab stage 0,Lip and/or oral cavity cancer stage I,Unmatched,2nd
Anal cancer stage I,anal Crab stage i,anal crab stage i,Lip and/or oral cavity cancer stage I,Unmatched,2nd
Anal cancer stage II,anal Crab stage ii,anal crab stage ii,Lip and/or oral cavity cancer stage III,Unmatched,2nd
Anal cancer stage II,anal cancer stage 2,anal cancer stage 2,Anal cancer stage I,Unmatched,2nd
Anal cancer stage III,anal Crab stage iii,anal crab stage iii,Lip and/or oral cavity cancer stage III,Unmatched,2nd
Anal cancer stage III,anal cancer stage 3,anal cancer stage 3,Anal cancer stage I,Unmatched,2nd
Anal cancer stage IV,anal Crab stage iv,anal crab stage iv,Lip and/or oral cavity cancer stage IV,Unmatched,2nd
Anal cancer stage IV,anal cancer stage 4,anal cancer stage 4,Anal cancer stage I,Unmatched,2nd
Anal fissure,anal chap,anal chap,Anal pap smear abnormal,Unmatched,2nd
Anal fistula,anal sinus,anal sinus,Nasal sinus irrigation,Unmatched,2nd
Anal skin tags,anal pelt tags,anal pelt tags,Renal cell carcinoma stage II,Unmatched,2nd
Anal skin tags,anal peel tags,anal peel tags,Renal cell carcinoma stage II,Unmatched,2nd
Aneurysm,aneurismal,aneurismal,Vein of Galen aneurysmal malformation,Unmatched,2nd
Anger,choler,choler,Cholera immunisation,Unmatched,2nd
Anger,ire,ire,Pre-eclampsia,Unmatched,2nd
Anger,choleric,choleric,Cholera,Unmatched,2nd
Anger,wrath,wrath,Breath holding,Unmatched,2nd
Anger,ira,ira,Linear IgA disease,Unmatched,2nd
Angiotensin II,angiotensin 2,angiotensin 2,Angiotensin I abnormal,Unmatched,2nd
Angiotensin II abnormal,angiotensin 2 abnormal,angiotensin 2 abnormal,Angiotensin I normal,Unmatched,2nd
Angiotensin II decreased,angiotensin 2 decreased,angiotensin 2 decreased,Angiotensin I increased,Unmatched,2nd
Angiotensin II increased,angiotensin 2 increased,angiotensin 2 increased,Angiotensin I increased,Unmatched,2nd
Angiotensin II normal,angiotensin 2 normal,angiotensin 2 normal,Angiotensin I normal,Unmatched,2nd
Animal bite,beast bite,beast bite,Heart rate abnormal,Unmatched,2nd
Animal bite,carnal bite,carnal bite,Acral angiokeratoma-like pseudolymphoma,Unmatched,2nd
Animal bite,animal sting,animal sting,Anal skin tag excision,Unmatched,2nd
Animal bite,animal prick,animal prick,CHA2DS2-VASc annual stroke risk moderate,Unmatched,2nd
Animal scratch,animal incision,animal incision,Anal lesion excision,Unmatched,2nd
Animal scratch,animal prick,animal prick,CHA2DS2-VASc annual stroke risk moderate,Unmatched,2nd
Animal scratch,animal strike,animal strike,CHA2DS2-VASc annual stroke risk moderate,Unmatched,2nd
Animal scratch,animal start,animal start,Anal cancer stage I,Unmatched,2nd
Animal scratch,animal excision,animal excision,Anal lesion excision,Unmatched,2nd
Animal scratch,animal cancel,animal cancel,Anal cancer recurrent,Unmatched,2nd
Animal scratch,animal scar,animal scar,Anal pap smear abnormal,Unmatched,2nd
Animal scratch,animal mark,animal mark,Anomaly of external ear congenital,Unmatched,2nd
Animal scratch,animal sugar,animal sugar,Anal pap smear abnormal,Unmatched,2nd
Animal scratch,animal lucre,animal lucre,Anal ulcer haemorrhage,Unmatched,2nd
Animal scratch,animal slit,animal slit,Anal skin tag excision,Unmatched,2nd
Animal scratch,animal loot,animal loot,CHA2DS2-VASc annual stroke risk low,Unmatched,2nd
Anion gap,anion col,anion col,Non-small cell lung cancer recurrent,Unmatched,2nd
Antidiuretic hormone abnormality,antidiuretic hormone abnormal,antidiuretic hormone abnormal,Blood antidiuretic hormone normal,Unmatched,2nd
Antisocial behaviour,asocial behaviour,asocial behaviour,Disturbance in social behaviour,Unmatched,2nd
Anuria,anuresis,anuresis,Paruresis,Unmatched,2nd
Apathy,numb,numb,Limb malformation,Unmatched,2nd
Apathy,indifference,indifference,Temperature difference of extremities,Unmatched,2nd
Apolipoprotein A-I,apolipoprotein a one,apolipoprotein a one,Apolipoprotein E e4 gene carrier,Unmatched,2nd
Apolipoprotein A-I,apolipoprotein a ane,apolipoprotein a ane,Apolipoprotein E e4 gene carrier,Unmatched,2nd
Apolipoprotein A-II,apolipoprotein a 2,apolipoprotein a 2,Apolipoprotein B/Apolipoprotein A-1 ratio,Unmatched,2nd
Apolipoprotein A-II decreased,apolipoprotein a 2 decreased,apolipoprotein a 2 decreased,Apolipoprotein A-I increased,Unmatched,2nd
Apolipoprotein A-II increased,apolipoprotein a 2 increased,apolipoprotein a 2 increased,Apolipoprotein A-I increased,Unmatched,2nd
Apolipoprotein A-II normal,apolipoprotein a 2 normal,apolipoprotein a 2 normal,Apolipoprotein A-I normal,Unmatched,2nd
Application site irritation,application site discomfort,application site discomfort,Application site joint discomfort,Unmatched,2nd
Application site pain,application site infliction,application site infliction,Application site joint infection,Unmatched,2nd
Apraxia,apractic,apractic,Congenital aplastic anaemia,Unmatched,2nd
Arm amputation,fort amputation,fort amputation,Short stature homeobox gene mutation,Unmatched,2nd
Arm amputation,gird amputation,gird amputation,HRD gene mutation assay positive,Unmatched,2nd
Arm amputation,limb amputation,limb amputation,Limb traumatic amputation,Unmatched,2nd
Arterial rupture,artery rupture,artery rupture,Peripheral artery aneurysm rupture,Unmatched,2nd
Arterial rupture,arterial bust,arterial bust,Bacterial test,Unmatched,2nd
Arterial rupture,arterial tear,arterial tear,Bacterial test positive,Unmatched,2nd
Arterial thrombosis,artery thrombosis,artery thrombosis,Cerebellar artery thrombosis,Unmatched,2nd
Arthropod bite,arthropod sting,arthropod sting,Allergy to arthropod sting,Unmatched,2nd
Arthropod bite,arthropod stinger,arthropod stinger,Allergy to arthropod sting,Unmatched,2nd
Arthropod sting,arthropod bite,arthropod bite,Allergy to arthropod bite,Unmatched,2nd
Aspiration,inhalation,inhalation,Dust inhalation pneumopathy,Unmatched,2nd
Aspiration,intake,intake,Fluid intake reduced,Unmatched,2nd
Aspiration,inhale,inhale,Fluid intake reduced,Unmatched,2nd
Aspiration,aspire,aspire,Tracheal aspirate culture,Unmatched,2nd
Aspiration,dream,dream,Dreamy state,Unmatched,2nd
Aspiration,aspirate,aspirate,Aspartate aminotransferase,Unmatched,2nd
Asthma,asthmatic,asthmatic,Status asthmaticus,Unmatched,2nd
Ataxia,atactic,atactic,Blood lactic acid,Unmatched,2nd
Atrophy,wasting,wasting,Facial wasting,Unmatched,2nd
Atrophy,wither,wither,Water intoxication,Unmatched,2nd
Aura,air,air,Air-borne transmission,Unmatched,2nd
Aura,aureole,aureole,Cervical auricle,Unmatched,2nd
Aura,halo,halo,Hypo HDL cholesterolaemia,Unmatched,2nd
Aura,glory,glory,Glare,Unmatched,2nd
Azotaemia,uremia,uremia,Coma uraemic,Unmatched,2nd
Azotaemia,uremic,uremic,Pericarditis uraemic,Unmatched,2nd
Azotaemia,uraemia,uraemia,Coma uraemic,Unmatched,2nd
Azotaemia,uraemic,uraemic,Pericarditis uraemic,Unmatched,2nd
B-cell lymphoma stage II,b cell lymphoma stage 2,b cell lymphoma stage 2,T-cell lymphoma stage I,Unmatched,2nd
B-cell lymphoma stage III,b cell lymphoma stage 3,b cell lymphoma stage 3,T-cell lymphoma stage I,Unmatched,2nd
B-cell lymphoma stage IV,b cell lymphoma stage 4,b cell lymphoma stage 4,T-cell lymphoma stage I,Unmatched,2nd
Back disorder,punt disorder,punt disorder,Dental pulp disorder,Unmatched,2nd
Back disorder,spinal disorder,spinal disorder,Seminal vesicular disorder,Unmatched,2nd
Back disorder,bind disorder,bind disorder,Nail bed disorder,Unmatched,2nd
Back disorder,game disorder,game disorder,Non-24-hour sleep-wake disorder,Unmatched,2nd
Back disorder,gage disorder,gage disorder,Non-24-hour sleep-wake disorder,Unmatched,2nd
Back disorder,rear disorder,rear disorder,Renal disorder,Unmatched,2nd
Back disorder,stake disorder,stake disorder,Irregular sleep wake rhythm disorder,Unmatched,2nd
Back disorder,gaming disorder,gaming disorder,Gambling disorder,Unmatched,2nd
Back disorder,hind disorder,hind disorder,Ear and hearing disorder prophylaxis,Unmatched,2nd
Back disorder,cover disorder,cover disorder,Retinal fovea disorder,Unmatched,2nd
Back disorder,spine disorder,spine disorder,Spinal disorder,Unmatched,2nd
Back disorder,back cark,back cark,Lack of prenatal care,Unmatched,2nd
Back injury,punt injury,punt injury,Traumatic lung injury,Unmatched,2nd
Back injury,spinal injury,spinal injury,Spinal column injury,Unmatched,2nd
Back injury,rear injury,rear injury,Ear injury,Unmatched,2nd
Back injury,cover injury,cover injury,Mixed liver injury,Unmatched,2nd
Back injury,spine injury,spine injury,Radiation skin injury,Unmatched,2nd
Back injury,back wound,back wound,Band neutrophil count increased,Unmatched,2nd
Back pain,punt pain,punt pain,Post-traumatic pain,Unmatched,2nd
Back pain,bind pain,bind pain,Exposed bone in jaw,Unmatched,2nd
Back pain,game pain,game pain,Gram stain negative,Unmatched,2nd
Back pain,gage pain,gage pain,Cafe au lait spots,Unmatched,2nd
Back pain,rear pain,rear pain,Renal pain,Unmatched,2nd
Back pain,stake pain,stake pain,"Bladder cancer stage 0, with cancer in situ",Unmatched,2nd
Back pain,dorsal pain,dorsal pain,Portal vein phlebitis,Unmatched,2nd
Back pain,hind pain,hind pain,Hyperintensity in brain deep nuclei,Unmatched,2nd
Back pain,spine pain,spine pain,Spinal pain,Unmatched,2nd
Back pain,back infliction,back infliction,Epstein-Barr virus infection,Unmatched,2nd
Back pain,back ail,back ail,Face and mouth X-ray abnormal,Unmatched,2nd
Bankruptcy,failure,failure,Ejaculation failure,Unmatched,2nd
Bankruptcy,fail,fail,Fall,Unmatched,2nd
Barium meal,Ba meal,ba meal,B-cell aplasia,Unmatched,2nd
Barrel chest,drum chest,drum chest,Drug provocation test,Unmatched,2nd
Barrel chest,cask chest,cask chest,CSF test normal,Unmatched,2nd
Barrel chest,bbl chest,bbl chest,Parvovirus B19 test,Unmatched,2nd
Belligerence,aggressive,aggressive,Regressive behaviour,Unmatched,2nd
Bereavement,mourn,mourn,Mouth breathing,Unmatched,2nd
Bereavement,mourning,mourning,Moaning,Unmatched,2nd
Biliary fibrosis,bile fibrosis,bile fibrosis,Implant site fibrosis,Unmatched,2nd
Biliary fistula,bile fistula,bile fistula,Medical device site fistula,Unmatched,2nd
Biliary neoplasm,bile neoplasm,bile neoplasm,Benign bone neoplasm,Unmatched,2nd
Binge eating,bust eating,bust eating,Out of specification product testing issue,Unmatched,2nd
Binge eating,bout eating,bout eating,Out of specification product testing issue,Unmatched,2nd
Binge eating,tear eating,tear eating,Ear and hearing disorder prophylaxis,Unmatched,2nd
Binge eating,orgy eating,orgy eating,Circumstance or information capable of leading to device use error,Unmatched,2nd
Binge eating,binge rust,binge rust,Aneurysmal bone cyst,Unmatched,2nd
Binge eating,binge eat,binge eat,Exposed bone in jaw,Unmatched,2nd
Biopsy bladder,biopsy vesical,biopsy vesical,Biopsy seminal vesicle abnormal,Unmatched,2nd
Biopsy bladder,biopsy vesica,biopsy vesica,Biopsy seminal vesicle abnormal,Unmatched,2nd
Biopsy bladder abnormal,biopsy vesical abnormal,biopsy vesical abnormal,Biopsy seminal vesicle normal,Unmatched,2nd
Biopsy bladder abnormal,biopsy vesica abnormal,biopsy vesica abnormal,Biopsy seminal vesicle normal,Unmatched,2nd
Biopsy bladder normal,biopsy vesical normal,biopsy vesical normal,Biopsy seminal vesicle normal,Unmatched,2nd
Biopsy bladder normal,biopsy vesica normal,biopsy vesica normal,Biopsy seminal vesicle normal,Unmatched,2nd
Biopsy bone,biopsy ivory,biopsy ivory,Biopsy ovary abnormal,Unmatched,2nd
Biopsy bone,biopsy pearl,biopsy pearl,Biopsy ear,Unmatched,2nd
Biopsy bone abnormal,biopsy ivory abnormal,biopsy ivory abnormal,Biopsy ovary normal,Unmatched,2nd
Biopsy bone abnormal,biopsy pearl abnormal,biopsy pearl abnormal,Biopsy heart normal,Unmatched,2nd
Biopsy bone normal,biopsy ivory normal,biopsy ivory normal,Biopsy ovary normal,Unmatched,2nd
Biopsy bone normal,biopsy pearl normal,biopsy pearl normal,Biopsy heart normal,Unmatched,2nd
Biopsy brain,biopsy nous,biopsy nous,Biopsy anus abnormal,Unmatched,2nd
Biopsy brain,biopsy wit,biopsy wit,Biopsy lip abnormal,Unmatched,2nd
Biopsy brain,biopsy head,biopsy head,Biopsy ear,Unmatched,2nd
Biopsy brain,biopsy genius,biopsy genius,Biopsy penis abnormal,Unmatched,2nd
Biopsy brain abnormal,biopsy nous abnormal,biopsy nous abnormal,Biopsy anus normal,Unmatched,2nd
Biopsy brain abnormal,biopsy wit abnormal,biopsy wit abnormal,Biopsy lip normal,Unmatched,2nd
Biopsy brain abnormal,biopsy head abnormal,biopsy head abnormal,Biopsy heart normal,Unmatched,2nd
Biopsy brain abnormal,biopsy genius abnormal,biopsy genius abnormal,Biopsy penis normal,Unmatched,2nd
Biopsy brain normal,biopsy nous normal,biopsy nous normal,Biopsy anus normal,Unmatched,2nd
Biopsy brain normal,biopsy wit normal,biopsy wit normal,Biopsy lip normal,Unmatched,2nd
Biopsy brain normal,biopsy head normal,biopsy head normal,Biopsy heart normal,Unmatched,2nd
Biopsy brain normal,biopsy genius normal,biopsy genius normal,Biopsy penis normal,Unmatched,2nd
Biopsy breast,biopsy boob,biopsy boob,Biopsy bone abnormal,Unmatched,2nd
Biopsy breast,biopsy chest,biopsy chest,Biopsy chest wall abnormal,Unmatched,2nd
Biopsy breast,biopsy tit,biopsy tit,Biopsy lip abnormal,Unmatched,2nd
Biopsy breast abnormal,biopsy boob abnormal,biopsy boob abnormal,Biopsy bone normal,Unmatched,2nd
Biopsy breast abnormal,biopsy chest abnormal,biopsy chest abnormal,Biopsy chest wall normal,Unmatched,2nd
Biopsy breast abnormal,biopsy tit abnormal,biopsy tit abnormal,Biopsy lip normal,Unmatched,2nd
Biopsy breast normal,biopsy boob normal,biopsy boob normal,Biopsy bone normal,Unmatched,2nd
Biopsy breast normal,biopsy chest normal,biopsy chest normal,Biopsy chest wall normal,Unmatched,2nd
Biopsy breast normal,biopsy tit normal,biopsy tit normal,Biopsy lip normal,Unmatched,2nd
Biopsy heart,biopsy fond,biopsy fond,Biopsy bone abnormal,Unmatched,2nd
Biopsy heart,biopsy marrow,biopsy marrow,Biopsy bone marrow abnormal,Unmatched,2nd
Biopsy heart,biopsy pith,biopsy pith,Biopsy site unspecified normal,Unmatched,2nd
Biopsy heart,biopsy nub,biopsy nub,Biopsy anus abnormal,Unmatched,2nd
Biopsy heart,biopsy core,biopsy core,Biopsy cornea,Unmatched,2nd
Biopsy heart,biopsy warm,biopsy warm,Biopsy ear normal,Unmatched,2nd
Biopsy heart,biopsy eye,biopsy eye,Biopsy ear normal,Unmatched,2nd
Biopsy heart,biopsy nerve,biopsy nerve,Biopsy peripheral nerve abnormal,Unmatched,2nd
Biopsy heart,biopsy tender,biopsy tender,Biopsy tendon abnormal,Unmatched,2nd
Biopsy heart,biopsy nervy,biopsy nervy,Biopsy peripheral nerve abnormal,Unmatched,2nd
Biopsy heart abnormal,biopsy fond abnormal,biopsy fond abnormal,Biopsy bone normal,Unmatched,2nd
Biopsy heart abnormal,biopsy marrow abnormal,biopsy marrow abnormal,Biopsy bone marrow normal,Unmatched,2nd
Biopsy heart abnormal,biopsy pith abnormal,biopsy pith abnormal,Biopsy site unspecified normal,Unmatched,2nd
Biopsy heart abnormal,biopsy nub abnormal,biopsy nub abnormal,Biopsy anus normal,Unmatched,2nd
Biopsy heart abnormal,biopsy core abnormal,biopsy core abnormal,Biopsy bone normal,Unmatched,2nd
Biopsy heart abnormal,biopsy warm abnormal,biopsy warm abnormal,Biopsy ear abnormal,Unmatched,2nd
Biopsy heart abnormal,biopsy eye abnormal,biopsy eye abnormal,Biopsy ear abnormal,Unmatched,2nd
Biopsy heart abnormal,biopsy nerve abnormal,biopsy nerve abnormal,Biopsy peripheral nerve normal,Unmatched,2nd
Biopsy heart abnormal,biopsy tender abnormal,biopsy tender abnormal,Biopsy tendon normal,Unmatched,2nd
Biopsy heart abnormal,biopsy nervy abnormal,biopsy nervy abnormal,Biopsy peripheral nerve normal,Unmatched,2nd
Biopsy heart normal,biopsy fond normal,biopsy fond normal,Biopsy bone normal,Unmatched,2nd
Biopsy heart normal,biopsy marrow normal,biopsy marrow normal,Biopsy bone marrow normal,Unmatched,2nd
Biopsy heart normal,biopsy pith normal,biopsy pith normal,Biopsy site unspecified normal,Unmatched,2nd
Biopsy heart normal,biopsy nub normal,biopsy nub normal,Biopsy anus normal,Unmatched,2nd
Biopsy heart normal,biopsy core normal,biopsy core normal,Biopsy bone normal,Unmatched,2nd
Biopsy heart normal,biopsy warm normal,biopsy warm normal,Biopsy ear abnormal,Unmatched,2nd
Biopsy heart normal,biopsy eye normal,biopsy eye normal,Biopsy ear abnormal,Unmatched,2nd
Biopsy heart normal,biopsy nerve normal,biopsy nerve normal,Biopsy peripheral nerve normal,Unmatched,2nd
Biopsy heart normal,biopsy tender normal,biopsy tender normal,Biopsy tendon normal,Unmatched,2nd
Biopsy heart normal,biopsy nervy normal,biopsy nervy normal,Biopsy peripheral nerve normal,Unmatched,2nd
Biopsy lip,biopsy brim,biopsy brim,Biopsy brain abnormal,Unmatched,2nd
Biopsy lip abnormal,biopsy brim abnormal,biopsy brim abnormal,Biopsy brain normal,Unmatched,2nd
Biopsy lip normal,biopsy brim normal,biopsy brim normal,Biopsy brain normal,Unmatched,2nd
Biopsy liver abnormal,biopsy live abnormal,biopsy live abnormal,Biopsy lip normal,Unmatched,2nd
Biopsy liver normal,biopsy live normal,biopsy live normal,Biopsy lip normal,Unmatched,2nd
Biopsy muscle,biopsy brawn,biopsy brawn,Biopsy brain abnormal,Unmatched,2nd
Biopsy muscle,biopsy brawny,biopsy brawny,Biopsy brain abnormal,Unmatched,2nd
Biopsy muscle,biopsy sinew,biopsy sinew,Biopsy site unspecified normal,Unmatched,2nd
Biopsy muscle abnormal,biopsy brawn abnormal,biopsy brawn abnormal,Biopsy brain normal,Unmatched,2nd
Biopsy muscle abnormal,biopsy brawny abnormal,biopsy brawny abnormal,Biopsy brain normal,Unmatched,2nd
Biopsy muscle abnormal,biopsy sinew abnormal,biopsy sinew abnormal,Biopsy site unspecified normal,Unmatched,2nd
Biopsy muscle normal,biopsy brawn normal,biopsy brawn normal,Biopsy brain normal,Unmatched,2nd
Biopsy muscle normal,biopsy brawny normal,biopsy brawny normal,Biopsy brain normal,Unmatched,2nd
Biopsy muscle normal,biopsy sinew normal,biopsy sinew normal,Biopsy site unspecified normal,Unmatched,2nd
Biopsy skin,biopsy bark,biopsy bark,Biopsy ear normal,Unmatched,2nd
Biopsy skin,biopsy hide,biopsy hide,Biopsy site unspecified abnormal,Unmatched,2nd
Biopsy skin abnormal,biopsy bark abnormal,biopsy bark abnormal,Biopsy ear abnormal,Unmatched,2nd
Biopsy skin abnormal,biopsy hide abnormal,biopsy hide abnormal,Biopsy site unspecified normal,Unmatched,2nd
Biopsy skin normal,biopsy bark normal,biopsy bark normal,Biopsy ear abnormal,Unmatched,2nd
Biopsy skin normal,biopsy hide normal,biopsy hide normal,Biopsy site unspecified normal,Unmatched,2nd
Biopsy stomach,biopsy abdominal,biopsy abdominal,Biopsy abdominal wall abnormal,Unmatched,2nd
Biopsy stomach,biopsy stand,biopsy stand,Biopsy lymph gland,Unmatched,2nd
Biopsy stomach,biopsy tum,biopsy tum,Biopsy fallopian tube abnormal,Unmatched,2nd
Biopsy stomach,biopsy brook,biopsy brook,Biopsy blood vessel normal,Unmatched,2nd
Biopsy stomach,biopsy bear,biopsy bear,Biopsy ear,Unmatched,2nd
Biopsy stomach,biopsy abide,biopsy abide,Biopsy bile duct abnormal,Unmatched,2nd
Biopsy stomach abnormal,biopsy abdominal abnormal,biopsy abdominal abnormal,Biopsy abdominal wall normal,Unmatched,2nd
Biopsy stomach abnormal,biopsy stand abnormal,biopsy stand abnormal,Biopsy adrenal gland normal,Unmatched,2nd
Biopsy stomach abnormal,biopsy tum abnormal,biopsy tum abnormal,Biopsy fallopian tube normal,Unmatched,2nd
Biopsy stomach abnormal,biopsy brook abnormal,biopsy brook abnormal,Biopsy blood vessel abnormal,Unmatched,2nd
Biopsy stomach abnormal,biopsy bear abnormal,biopsy bear abnormal,Biopsy heart normal,Unmatched,2nd
Biopsy stomach abnormal,biopsy abide abnormal,biopsy abide abnormal,Biopsy bile duct normal,Unmatched,2nd
Biopsy stomach normal,biopsy abdominal normal,biopsy abdominal normal,Biopsy abdominal wall normal,Unmatched,2nd
Biopsy stomach normal,biopsy stand normal,biopsy stand normal,Biopsy adrenal gland normal,Unmatched,2nd
Biopsy stomach normal,biopsy tum normal,biopsy tum normal,Biopsy fallopian tube normal,Unmatched,2nd
Biopsy stomach normal,biopsy brook normal,biopsy brook normal,Biopsy blood vessel abnormal,Unmatched,2nd
Biopsy stomach normal,biopsy bear normal,biopsy bear normal,Biopsy heart normal,Unmatched,2nd
Biopsy stomach normal,biopsy abide normal,biopsy abide normal,Biopsy bile duct normal,Unmatched,2nd
Biopsy testes,biopsy nut,biopsy nut,Biopsy anus abnormal,Unmatched,2nd
Biopsy testes,biopsy egg,biopsy egg,Biopsy ear normal,Unmatched,2nd
Biopsy testes,biopsy ball,biopsy ball,Biopsy bile duct,Unmatched,2nd
Biopsy testes,biopsy testicle,biopsy testicle,Biopsy seminal vesicle abnormal,Unmatched,2nd
Biopsy testes abnormal,biopsy nut abnormal,biopsy nut abnormal,Biopsy anus normal,Unmatched,2nd
Biopsy testes abnormal,biopsy egg abnormal,biopsy egg abnormal,Biopsy ear abnormal,Unmatched,2nd
Biopsy testes abnormal,biopsy ball abnormal,biopsy ball abnormal,Biopsy abdominal wall normal,Unmatched,2nd
Biopsy testes abnormal,biopsy testicle abnormal,biopsy testicle abnormal,Biopsy seminal vesicle normal,Unmatched,2nd
Biopsy testes normal,biopsy nut normal,biopsy nut normal,Biopsy anus normal,Unmatched,2nd
Biopsy testes normal,biopsy egg normal,biopsy egg normal,Biopsy ear abnormal,Unmatched,2nd
Biopsy testes normal,biopsy ball normal,biopsy ball normal,Biopsy abdominal wall normal,Unmatched,2nd
Biopsy testes normal,biopsy testicle normal,biopsy testicle normal,Biopsy seminal vesicle normal,Unmatched,2nd
Biopsy tongue,biopsy spit,biopsy spit,Biopsy skin abnormal,Unmatched,2nd
Biopsy tongue,biopsy clap,biopsy clap,Biopsy lip abnormal,Unmatched,2nd
Biopsy tongue abnormal,biopsy spit abnormal,biopsy spit abnormal,Biopsy skin normal,Unmatched,2nd
Biopsy tongue abnormal,biopsy clap abnormal,biopsy clap abnormal,Biopsy lip normal,Unmatched,2nd
Biopsy tongue normal,biopsy spit normal,biopsy spit normal,Biopsy skin normal,Unmatched,2nd
