unfoundTokens,addedTokens,count
melas,meigs,2
macroorchidism,microorchidism,2
thyroid,steroid,2
dosage,dose,2
lenticular,testicular,2
meigs,meige's,2
brain,pain,2
splenic,pelvic,2
buccal,aural,2
papule,macule,2
cyp3a5,cyp1a2,2
abscess,excess,2
pelvic,splenic,2
pelvis,penis,2
penis,pelvis,2
renal,mental,2
spleen,spine,2
pharyngeal,oropharyngeal,2
brash,crush,2
cystitis,colitis,2
renal,adrenal,2
rectal,caecal,2
reading,eating,2
adhesion,lesion,2
adrenal,renal,2
rubulavirus,rubivirus,2
scale,care,2
orbivirus,arbovirus,2
aortogram,arthrogram,2
scan,scar,2
oncovirus,echovirus,2
omental,dental,2
ogden,cohen,2
dental,dermal,2
dental,genital,2
nr5a1,brca1,2
nephropathy,neuropathy,2
septic,hepatic,2
sinus,skin,2
soft,lift,2
laryngitis,pharyngitis,2
tooth,foot,2
larsen,aase,2
haemoptysis,haemolysis,2
faeces,face,2
facial,nail,2
urethroscopy,ureteroscopy,2
insertion,infection,2
hearing,learning,2
urogenital,genital,2
colposcopy,colonoscopy,2
heart,head,2
hepatitis,keratitis,2
autoscopy,otoscopy,2
endoscopy,fundoscopy,2
coeliac,iliac,2
vulval,ileal,2
hypertonia,hypotonia,2
ileal,ear,2
clonic,tonic,2
vestibular,testicular,2
chromium,cadmium,2
visceral,scleral,2
hypoxia,anoxia,2
bilateral,unilateral,2
chemokine,cytokine,2
atopic,toxic,2
haptoglobin,haemoglobin,2
heart,ear,2
groin,gram,2
haemangioma,haematoma,2
xiith,viith,2
aplasia,aphasia,2
xiith,ivth,2
unilateral,bilateral,2
cancer,ulcer,2
gonioscopy,amnioscopy,2
card9,acad9,2
flood,good,2
groin,brain,2
bone,base,2
tracheal,urachal,2
eczema,oedema,2
joint,foot,2
gastric,aortic,2
coma,stoma,2
cystopathy,mastopathy,1
chance,hand,1
cast,cyst,1
rectal,anorectal,1
viral,iris,1
cyp2c9,cyp2d6,1
viith,ivth,1
bursal,burn,1
viith,iiird,1
cyanopsia,cyanosis,1
caecal,anal,1
sarcomatosis,sarcoidosis,1
western,eastern,1
xiith,viiith,1
cyp3a4,cyp1a2,1
reocclusion,occlusion,1
repair,pain,1
renal,head,1
retinal,rectal,1
renal,ear,1
crush,crest,1
xerosis,necrosis,1
capnogram,venogram,1
retinoscopy,rhinoscopy,1
wound,lung,1
cyp3a4,cyp2d6,1
riley,red,1
rod,cord,1
cementoplasty,omentoplasty,1
cerebral,vertebral,1
viiith,iiird,1
semen,skin,1
scar,scan,1
congenital,genital,1
urethritis,retinitis,1
cranial,facial,1
cranial,corneal,1
tarsal,carpal,1
urethrectomy,nephrectomy,1
urethral,ureteric,1
coronavirus,rotavirus,1
tenoplasty,anoplasty,1
urethra,retina,1
corneal,oral,1
thermohyperaesthesia,thermohypoaesthesia,1
thrombectomy,thymectomy,1
systolic,diastolic,1
thyroglobulin,macroglobulin,1
ureteral,arterial,1
thyroid,throat,1
tolerance,clearance,1
underdose,overdose,1
tongue,bone,1
tongue,toe,1
ulcer,scar,1
tube,lobe,1
toxicity,opacity,1
toxic,atopic,1
systolic,symbolic,1
synaesthesia,anaesthesia,1
chest,head,1
bypass,spasm,1
choluria,cholera,1
scleral,ileal,1
choroid,thyroid,1
sehcat,sweat,1
seizure,seizures,1
torch,tooth,1
senile,penile,1
citric,uric,1
sodium,odour,1
vascular,ocular,1
solar,cold,1
spherocytes,siderocytes,1
sweat,flat,1
vascular,macular,1
vaginal,facial,1
spine,bone,1
coating,foaming,1
colitis,iritis,1
sputum,sodium,1
stapes,stress,1
subdural,dural,1
suture,rupture,1
uveitis,iritis,1
sweat,breast,1
pyelitis,myelitis,1
fungal,renal,1
pustule,papule,1
epiglottic,epiglottis,1
irlen,irvan,1
iodine,biotin,1
intolerance,tolerance,1
internal,sternal,1
inhalation,chelation,1
ingrown,ingrowing,1
endocarditis,myocarditis,1
endoscopy,amnioscopy,1
infection,infarction,1
indentation,induration,1
enlargement,engorgement,1
incompatible,compatible,1
enophthalmos,anophthalmos,1
in,at,1
enterovirus,astrovirus,1
entropion,ectropion,1
arthritis,arteritis,1
arenavirus,arbovirus,1
arbovirus,rubivirus,1
application,aspiration,1
laceration,operation,1
liver,limb,1
lipase,lipids,1
anuria,anoxia,1
lesion,erosion,1
aortic,carotid,1
lagophthalmos,anophthalmos,1
lactose,glucose,1
labrune,laband,1
aplasia,apraxia,1
laband,laron,1
keratosis,keratitis,1
keratectomy,hepatectomy,1
aphasia,aphakia,1
joint,skin,1
joint,bone,1
jeavons,evans,1
epididymitis,ependymitis,1
eschar,scar,1
pupillary,capillary,1
ataxia,apraxia,1
hepatitis,dermatitis,1
heart,hair,1
heart,breast,1
facial,anal,1
hamartoma,haematoma,1
haemophilia,haemobilia,1
foetal,oral,1
growth,tooth,1
growing,groin,1
groin,skin,1
greig's,meige's,1
gracile,garcin,1
globulin,albumin,1
genital,mental,1
genital,dental,1
gastritis,cystitis,1
gaming,eating,1
histology,cytology,1
hoigne's,meige's,1
bartter's,potter's,1
hypoplasia,dysplasia,1
blood,bone,1
exfoliation,excoriation,1
extrusion,expulsion,1
atrio,aorto,1
autonomic,atonic,1
hysterometry,hydrometra,1
hypotensive,hypertensive,1
hypokinesia,dyskinesia,1
homicidal,suicidal,1
hypertrichosis,hypotrichosis,1
hyperphosphatasaemia,hyperphosphataemia,1
hyperlipasaemia,hyperlipidaemia,1
hyperglycinaemia,hyperglycaemia,1
hyperglycaemic,hypoglycaemic,1
hyperchromasia,hypochromasia,1
homocysteine,cysteine,1
lymphadenopathy,lymphangiopathy,1
anoxia,agnosia,1
macrognathia,micrognathia,1
macrostomia,macrosomia,1
paresis,paralysis,1
paratonia,paranoia,1
paraesthesia,hypoaesthesia,1
palmar,plantar,1
pains,pain,1
agonal,nodal,1
otoscopy,gonioscopy,1
osteochondrosis,osteochondritis,1
ossicular,vascular,1
ortner's,horner's,1
oropharyngeal,hypopharyngeal,1
fraser,larsen,1
alloimmune,autoimmune,1
oncovirus,norovirus,1
omenn,cohen,1
oestrone,oestriol,1
oedema,eczema,1
day,man,1
acceleration,deceleration,1
penile,renal,1
plantar,palmar,1
proteus,poems,1
prolapse,polyps,1
proctotomy,proctostomy,1
proctitis,bronchitis,1
breast,blast,1
prerenal,renal,1
polyomavirus,poliovirus,1
abnormality,abnormal,1
penis,anus,1
peritoneum,perineum,1
periportal,periorbital,1
periosteal,peritoneal,1
perineal,corneal,1
penis,renal,1
penis,panic,1
penis,iris,1
ocular,nodular,1
dental,rectal,1
norovirus,nairovirus,1
metrorrhagia,menorrhagia,1
mouth,tooth,1
morton's,rotor's,1
moraxella,morganella,1
ankle,knee,1
dysaesthesia,anaesthesia,1
microglobulin,macroglobulin,1
microangiopathy,macroangiopathy,1
annuloplasty,anoplasty,1
myelitis,myositis,1
methanol,ethanal,1
methaemoglobin,haemoglobin,1
dysphonia,aphonia,1
mastopathy,gastropathy,1
anosmia,anaemia,1
anotia,anoxia,1
macular,vascular,1
mucosal,mucosa,1
myelitis,pyelitis,1
alpers,eales,1
nairovirus,arbovirus,1
nodal,foetal,1
neuroendoscopy,nasoendoscopy,1
dental,renal,1
amimia,milia,1
dermopathy,neuropathy,1
amniorrhoea,amenorrhoea,1
diverticuloma,diverticulum,1
brain,iris,1
myelocyte,monocyte,1
angiogram,audiogram,1
nail,gait,1
nager,magic,1
nager,aase,1
angioma,angina,1
myocarditis,carditis,1
myiasis,miosis,1
orbivirus,rubivirus,1
