MRA_term,Modified_term,ChangedBack,SearcherReturned_term,State,Rank
Barrel chest,drum chest,bone chest,Bone resorption test,Unmatched,5th
Belligerence,aggressive,aggressive,Non-Hodgkin's lymphoma unspecified histology aggressive refractory,Unmatched,5th
Belligerence,aggressiveness,aggression,Non-Hodgkin's lymphoma unspecified histology aggressive recurrent,Unmatched,5th
Biliary fibrosis,bilious fibrosis,bile fibrosis,Administration site fibrosis,Unmatched,5th
Biliary fibrosis,bile fibrosis,bile fibrosis,Administration site fibrosis,Unmatched,5th
Biopsy brain,biopsy head,biopsy head,Biopsy ear normal,Unmatched,5th
Biopsy heart,biopsy core,biopsy core,Biopsy bone normal,Unmatched,5th
Biopsy heart,biopsy warm,biopsy warm,Biopsy chest wall,Unmatched,5th
Biopsy heart abnormal,biopsy core abnormal,biopsy core abnormal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy heart abnormal,biopsy warm abnormal,biopsy warm abnormal,Biopsy chest wall abnormal,Unmatched,5th
Biopsy heart normal,biopsy core normal,biopsy core normal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy heart normal,biopsy warm normal,biopsy warm normal,Biopsy chest wall abnormal,Unmatched,5th
Biopsy stomach,biopsy put_up,biopsy borne,Biopsy bone normal,Unmatched,5th
Biopsy stomach,biopsy digest,biopsy borne,Biopsy bone normal,Unmatched,5th
Biopsy stomach,biopsy endure,biopsy borne,Biopsy bone normal,Unmatched,5th
Biopsy stomach,biopsy endurance,biopsy borne,Biopsy bone normal,Unmatched,5th
Biopsy stomach,biopsy stand,biopsy base,Biopsy bile duct,Unmatched,5th
Biopsy stomach,biopsy abidance,biopsy borne,Biopsy bone normal,Unmatched,5th
Biopsy stomach,biopsy bearable,biopsy borne,Biopsy bone normal,Unmatched,5th
Biopsy stomach,biopsy tolerant,biopsy borne,Biopsy bone normal,Unmatched,5th
Biopsy stomach,biopsy stick_out,biopsy borne,Biopsy bone normal,Unmatched,5th
Biopsy stomach,biopsy toleration,biopsy borne,Biopsy bone normal,Unmatched,5th
Biopsy stomach,biopsy sufferance,biopsy borne,Biopsy bone normal,Unmatched,5th
Biopsy stomach,biopsy brook,biopsy borne,Biopsy bone normal,Unmatched,5th
Biopsy stomach,biopsy abide,biopsy borne,Biopsy bone normal,Unmatched,5th
Biopsy stomach,biopsy tolerate,biopsy borne,Biopsy bone normal,Unmatched,5th
Biopsy stomach abnormal,biopsy put_up abnormal,biopsy borne abnormal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach abnormal,biopsy digest abnormal,biopsy borne abnormal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach abnormal,biopsy endure abnormal,biopsy borne abnormal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach abnormal,biopsy endurance abnormal,biopsy borne abnormal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach abnormal,biopsy stand abnormal,biopsy base abnormal,Biopsy bile duct abnormal,Unmatched,5th
Biopsy stomach abnormal,biopsy abidance abnormal,biopsy borne abnormal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach abnormal,biopsy bearable abnormal,biopsy borne abnormal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach abnormal,biopsy tolerant abnormal,biopsy borne abnormal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach abnormal,biopsy stick_out abnormal,biopsy borne abnormal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach abnormal,biopsy toleration abnormal,biopsy borne abnormal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach abnormal,biopsy sufferance abnormal,biopsy borne abnormal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach abnormal,biopsy brook abnormal,biopsy borne abnormal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach abnormal,biopsy abide abnormal,biopsy borne abnormal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach abnormal,biopsy tolerate abnormal,biopsy borne abnormal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach normal,biopsy put_up normal,biopsy borne normal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach normal,biopsy digest normal,biopsy borne normal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach normal,biopsy endure normal,biopsy borne normal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach normal,biopsy endurance normal,biopsy borne normal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach normal,biopsy stand normal,biopsy base normal,Biopsy bile duct abnormal,Unmatched,5th
Biopsy stomach normal,biopsy abidance normal,biopsy borne normal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach normal,biopsy bearable normal,biopsy borne normal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach normal,biopsy tolerant normal,biopsy borne normal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach normal,biopsy stick_out normal,biopsy borne normal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach normal,biopsy toleration normal,biopsy borne normal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach normal,biopsy sufferance normal,biopsy borne normal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach normal,biopsy brook normal,biopsy borne normal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach normal,biopsy abide normal,biopsy borne normal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy stomach normal,biopsy tolerate normal,biopsy borne normal,Biopsy bone marrow abnormal,Unmatched,5th
Biopsy testes,biopsy nut,biopsy nut,Biopsy bile duct abnormal,Unmatched,5th
Biotin deficiency,vitamin_H deficiency,vitamin_h deficiency,Vitamin B2 deficiency,Unmatched,5th
Birth mark,give_birth mark,borne mark,Extranodal marginal zone B-cell lymphoma (MALT type) stage I,Unmatched,5th
Birth mark,deliver mark,borne mark,Extranodal marginal zone B-cell lymphoma (MALT type) stage I,Unmatched,5th
Birth trauma,birth traumatise,birth injury,XIth nerve injury,Unmatched,5th
Birth trauma,birth harm,birth injury,XIth nerve injury,Unmatched,5th
Birth trauma,birth injure,birth injury,XIth nerve injury,Unmatched,5th
Birth trauma,birth injury,birth injury,XIth nerve injury,Unmatched,5th
Birth trauma,birth traumatize,birth injury,XIth nerve injury,Unmatched,5th
Bite,sharpness,acute,Cholangitis acute,Unmatched,5th
Bite,sting,sting,Staring,Unmatched,5th
Bite,burn,burn,Chemical burn,Unmatched,5th
Bite,prick,sting,Staring,Unmatched,5th
Bite,insect_bite,sting,Staring,Unmatched,5th
Bite,stinger,sting,Staring,Unmatched,5th
Bladder irritation,bladder bother,bladder pain,"Bladder cancer stage I, without cancer in situ",Unmatched,5th
Bladder irritation,bladder botheration,bladder pain,"Bladder cancer stage I, without cancer in situ",Unmatched,5th
Bladder irritation,bladder annoyance,bladder pain,"Bladder cancer stage I, without cancer in situ",Unmatched,5th
Blister,bulla,bulla,Bulbar palsy,Unmatched,5th
Blister,bleb,bleb,Flea infestation,Unmatched,5th
Blood aluminium,blood Al,blood al,Blood group AB,Unmatched,5th
Blood aluminium decreased,blood Al decreased,blood al decreased,Blood chromogranin A increased,Unmatched,5th
Blood aluminium increased,blood Al increased,blood al increased,Blood chromogranin A increased,Unmatched,5th
Blood antimony,blood Sb,blood sb,Blood group B,Unmatched,5th
Blood antimony decreased,blood Sb decreased,blood sb decreased,Blood creatine phosphokinase MB decreased,Unmatched,5th
Blood antimony increased,blood Sb increased,blood sb increased,Blood creatine phosphokinase MB decreased,Unmatched,5th
Blood arsenic increased,blood As increased,blood as increased,Blood chromogranin A increased,Unmatched,5th
Blood calcium,blood Ca,blood ca,Blood group AB,Unmatched,5th
Blood calcium decreased,blood Ca decreased,blood ca decreased,Blood chromogranin A increased,Unmatched,5th
Blood calcium increased,blood Ca increased,blood ca increased,Blood chromogranin A increased,Unmatched,5th
Blood chromium,blood Cr,blood cr,Blood creatine phosphokinase BB,Unmatched,5th
Blood copper,blood Cu,blood cu,Blood creatine phosphokinase BB,Unmatched,5th
Blood corticotrophin,blood adrenocorticotropic_hormone,blood acth,Blood acid phosphatase increased,Unmatched,5th
Blood corticotrophin,blood ACTH,blood acth,Blood acid phosphatase increased,Unmatched,5th
Blood corticotrophin,blood adrenocorticotropin,blood acth,Blood acid phosphatase increased,Unmatched,5th
Blood corticotrophin,blood adrenocorticotrophin,blood acth,Blood acid phosphatase increased,Unmatched,5th
Blood corticotrophin,blood adrenocorticotrophic_hormone,blood acth,Blood acid phosphatase increased,Unmatched,5th
Blood corticotrophin abnormal,blood adrenocorticotropic_hormone abnormal,blood acth abnormal,Blood pyruvic acid abnormal,Unmatched,5th
Blood corticotrophin abnormal,blood ACTH abnormal,blood acth abnormal,Blood pyruvic acid abnormal,Unmatched,5th
Blood corticotrophin abnormal,blood adrenocorticotropin abnormal,blood acth abnormal,Blood pyruvic acid abnormal,Unmatched,5th
Blood corticotrophin abnormal,blood adrenocorticotrophin abnormal,blood acth abnormal,Blood pyruvic acid abnormal,Unmatched,5th
Blood corticotrophin abnormal,blood adrenocorticotrophic_hormone abnormal,blood acth abnormal,Blood pyruvic acid abnormal,Unmatched,5th
Blood corticotrophin decreased,blood adrenocorticotropic_hormone decreased,blood acth decreased,Blood pyruvic acid decreased,Unmatched,5th
Blood corticotrophin decreased,blood ACTH decreased,blood acth decreased,Blood pyruvic acid decreased,Unmatched,5th
Blood corticotrophin decreased,blood adrenocorticotropin decreased,blood acth decreased,Blood pyruvic acid decreased,Unmatched,5th
Blood corticotrophin decreased,blood adrenocorticotrophin decreased,blood acth decreased,Blood pyruvic acid decreased,Unmatched,5th
Blood corticotrophin decreased,blood adrenocorticotrophic_hormone decreased,blood acth decreased,Blood pyruvic acid decreased,Unmatched,5th
Blood corticotrophin increased,blood adrenocorticotropic_hormone increased,blood acth increased,Blood pyruvic acid decreased,Unmatched,5th
Blood corticotrophin increased,blood ACTH increased,blood acth increased,Blood pyruvic acid decreased,Unmatched,5th
Blood corticotrophin increased,blood adrenocorticotropin increased,blood acth increased,Blood pyruvic acid decreased,Unmatched,5th
Blood corticotrophin increased,blood adrenocorticotrophin increased,blood acth increased,Blood pyruvic acid decreased,Unmatched,5th
Blood corticotrophin increased,blood adrenocorticotrophic_hormone increased,blood acth increased,Blood pyruvic acid decreased,Unmatched,5th
Blood corticotrophin normal,blood adrenocorticotropic_hormone normal,blood acth normal,Blood pyruvic acid abnormal,Unmatched,5th
Blood corticotrophin normal,blood ACTH normal,blood acth normal,Blood pyruvic acid abnormal,Unmatched,5th
Blood corticotrophin normal,blood adrenocorticotropin normal,blood acth normal,Blood pyruvic acid abnormal,Unmatched,5th
Blood corticotrophin normal,blood adrenocorticotrophin normal,blood acth normal,Blood pyruvic acid abnormal,Unmatched,5th
Blood corticotrophin normal,blood adrenocorticotrophic_hormone normal,blood acth normal,Blood pyruvic acid abnormal,Unmatched,5th
Blood donor,blood giver,blood present,Polychromic red blood cells present,Unmatched,5th
Blood donor,blood presenter,blood present,Polychromic red blood cells present,Unmatched,5th
Blood donor,blood give,blood present,Polychromic red blood cells present,Unmatched,5th
Blood donor,blood present,blood present,Polychromic red blood cells present,Unmatched,5th
Blood gases,blood gun,blood gun,Blood immunoglobulin G normal,Unmatched,5th
Blood grouping,blood aggroup,blood group,Kell blood group positive,Unmatched,5th
Blood grouping,blood group,blood group,Kell blood group positive,Unmatched,5th
Blood immunoglobulin G increased,rip immunoglobulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,lineage immunoglobulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,descent immunoglobulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,roue immunoglobulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood_line immunoglobulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,descend immunoglobulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,rakehell immunoglobulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,line_of_descent immunoglobulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,stemma immunoglobulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,pedigree immunoglobulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,ancestry immunoglobulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,bloodline immunoglobulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,profligate immunoglobulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,stock immunoglobulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,bloody immunoglobulin g increased,bloody immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immune_gamma_globulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immune_globulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immune_serum_globulin g increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin gravitational_constant increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin one_thousand increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin 1000 increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin constant_of_gravitation increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin M increased,blood immunoglobulin m increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin gee increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin yard increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin G increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin gm increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin deoxyguanosine_monophosphate increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin gramme increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin universal_gravitational_constant increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin thousand increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin gibibyte increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin K increased,blood immunoglobulin k increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin chiliad increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin gigabyte increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin thou increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin grand increased,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G increased,blood immunoglobulin g increase,blood immunoglobulin g increased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin G normal,rip immunoglobulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,lineage immunoglobulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,descent immunoglobulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,roue immunoglobulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood_line immunoglobulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,descend immunoglobulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,rakehell immunoglobulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,line_of_descent immunoglobulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,stemma immunoglobulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,pedigree immunoglobulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,ancestry immunoglobulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,bloodline immunoglobulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,profligate immunoglobulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,stock immunoglobulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,bloody immunoglobulin g normal,bloody immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immune_gamma_globulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immune_globulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immune_serum_globulin g normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin gravitational_constant normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin one_thousand normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin 1000 normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin constant_of_gravitation normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin M normal,blood immunoglobulin m normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin gee normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin yard normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin G normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin gm normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin deoxyguanosine_monophosphate normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin gramme normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin universal_gravitational_constant normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin thousand normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin gibibyte normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin K normal,blood immunoglobulin k normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin chiliad normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin gigabyte normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin thou normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin grand normal,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin g convention,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin g rule,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin g normality,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin G normal,blood immunoglobulin g formularize,blood immunoglobulin g normal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,rip immunoglobulin m abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,lineage immunoglobulin m abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,descent immunoglobulin m abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,roue immunoglobulin m abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,blood_line immunoglobulin m abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,descend immunoglobulin m abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,rakehell immunoglobulin m abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,line_of_descent immunoglobulin m abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,stemma immunoglobulin m abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,pedigree immunoglobulin m abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,ancestry immunoglobulin m abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,bloodline immunoglobulin m abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,profligate immunoglobulin m abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M abnormal,stock immunoglobulin m abnormal,blood immunoglobulin m abnormal,Blood immunoglobulin G abnormal,Unmatched,5th
