unfoundTokens,addedTokens,count
3,0,1
2b,2a,1
242,549,1
22,11,1
21,11,1
2,2a,1
2,0,1
19,18,1
19,15,1
18q,5q,1
18,11,1
17,11,1
16,11,1
15,19,1
15,11,1
14,11,1
13,11,1
12,11,1
4,0,1
4,3,1
4,9,1
alloimmune,autoimmune,1
arthrosis,arthritis,1
arteritis,arthritis,1
arenavirus,adenovirus,1
aplasia,apraxia,1
anuria,anoxia,1
anosmia,anaemia,1
angioma,angina,1
anaemia,pyaemia,1
american,african,1
acceleration,deceleration,1
4p,11,1
ab,a,1
9,3,1
9,11,1
8,6,1
8,11,1
72,19,1
72,15,1
7,6,1
5801,5701,1
dental,dermal,1
depletion,deletion,1
macroangiopathy,microangiopathy,1
hypofunction,hyperfunction,1
infectious,infection,1
infection,injection,1
incompatible,compatible,1
in,at,1
iiib,ii,1
iiia,ii,1
iib,ii,1
1,0,1
ii,ix,1
ii,iii,1
igm,ige,1
igd,ige,1
i,v,1
hypotonus,hypertonus,1
hypotensive,hypertensive,1
hypotension,hypertension,1
hypotelorism,hypertelorism,1
hyposecretion,hypersecretion,1
hypoparathyroidism,hyperparathyroidism,1
hypoosmolar,hyperosmolar,1
hypokinesia,hyperkinesia,1
infrequent,frequent,1
ingrown,ingrowing,1
internal,external,1
keratitis,hepatitis,1
lip,hiv,1
limb,rib,1
lens,lung,1
leakage,breakage,1
laryngitis,pharyngitis,1
laron,larsen,1
lactose,galactose,1
laceration,maceration,1
keratosis,keratitis,1
k,a,1
internal,sternal,1
jaw,ear,1
ix,xi,1
ix,iv,1
ivth,vith,1
ivb,i,1
iva,i,1
irlen,irvan,1
intravascular,extravascular,1
intolerance,tolerance,1
hypoinflation,hyperinflation,1
hypochromic,hyperchromic,1
direct,indirect,1
hypertonia,hypotonia,1
foetal,portal,1
flood,bloom,1
flat,flail,1
flap,fat,1
female,male,1
feeding,reading,1
fascial,facial,1
faeces,face,1
face,back,1
f,a,1
eye,toe,1
external,internal,1
exfoliation,excoriation,1
eschar,scar,1
enophthalmos,anophthalmos,1
enlargement,engorgement,1
ear,man,1
ear,jaw,1
e,s,1
dosage,dose,1
door,good,1
frasier,fraser,1
gaming,eating,1
gene,eye,1
hearing,learning,1
hyperresponsive,hyporesponsive,1
hyperkinesia,hypokinesia,1
hyperchromic,hypochromic,1
hyper,hypo,1
home,coma,1
heyde's,reye's,1
hepatopathy,keratopathy,1
hepatitis,keratitis,1
heart,head,1
head,hand,1
genital,mental,1
hcv,hiv,1
hbv,hiv,1
h3n2,h1n1,1
h2n2,h1n1,1
h,a,1
growing,groin,1
groin,brain,1
grandmother,grandfather,1
globin,globulin,1
zrsr2,srsf2,1
